id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385677892864987137,1385677892864987137,2021-04-24 01:02:08 IST,2021-04-24,01:02:08,+0530,2925571889,420properties,cannabist.eth 🍯,,Called $bgfv at $13.50 early Jan late Feb “seems to be the only game in town” a cartel @adamscrabble  https://t.co/MadgG2Uv10,en,"[{'screen_name': 'adamscrabble', 'name': 'adam townsend', 'id': '198179597'}]",[],['https://pbs.twimg.com/media/EzrqsxsVcAgWNkr.jpg'],0,0,0,[],['bgfv'],https://twitter.com/420properties/status/1385677892864987137,False,,1,https://pbs.twimg.com/media/EzrqsxsVcAgWNkr.jpg,,,,,,,[],,,,
1385409059109564417,1385392732022218756,2021-04-23 07:13:54 IST,2021-04-23,07:13:54,+0530,2925571889,420properties,cannabist.eth 🍯,,@DeezeFi It feels good to have doubled my ethereum vs holding mostly bitcoin at an economic loss  https://t.co/lU5ygzduY6,en,[],[],['https://pbs.twimg.com/media/Ezn2MlhVEAUHEQQ.jpg'],0,0,1,[],[],https://twitter.com/420properties/status/1385409059109564417,False,,1,https://pbs.twimg.com/media/Ezn2MlhVEAUHEQQ.jpg,,,,,,,"[{'screen_name': 'DeezeFi', 'name': 'DeeZe', 'id': '127646057'}]",,,,
1385314207575379969,1385314207575379969,2021-04-23 00:56:59 IST,2021-04-23,00:56:59,+0530,2925571889,420properties,cannabist.eth 🍯,,2025 warrants catching a bid today $APPHW,en,[],[],[],0,0,1,[],['apphw'],https://twitter.com/420properties/status/1385314207575379969,False,,0,,,,,,,,[],,,,
1384648103752396806,1384648103752396806,2021-04-21 04:50:08 IST,2021-04-21,04:50:08,+0530,2925571889,420properties,cannabist.eth 🍯,,02:4 YPPAH 🍁,fi,[],[],[],0,1,1,[],[],https://twitter.com/420properties/status/1384648103752396806,False,,0,,,,,,,,[],,,,
1383582388307988488,1383579177375305729,2021-04-18 06:15:21 IST,2021-04-18,06:15:21,+0530,2925571889,420properties,cannabist.eth 🍯,,@OnlyToasted Maybe I will join,en,[],[],[],0,0,1,[],[],https://twitter.com/420properties/status/1383582388307988488,False,,0,,,,,,,,"[{'screen_name': 'OnlyToasted', 'name': 'OnlyToasted', 'id': '1077058326545027072'}]",,,,
1383096794201079810,1382911354894385153,2021-04-16 22:05:47 IST,2021-04-16,22:05:47,+0530,2925571889,420properties,cannabist.eth 🍯,,@Coronawatch10  https://t.co/vwKMxGiYyc,und,[],['https://twitter.com/todd_harrison/status/1383096504550887428'],[],0,0,1,[],[],https://twitter.com/420properties/status/1383096794201079810,False,https://twitter.com/todd_harrison/status/1383096504550887428,0,,,,,,,,"[{'screen_name': 'Coronawatch10', 'name': 'Covid Watch', 'id': '1244117536356081667'}]",,,,
1382547628697718784,1382531525628018688,2021-04-15 09:43:35 IST,2021-04-15,09:43:35,+0530,2925571889,420properties,cannabist.eth 🍯,,@EastE__ If the managers / principals were limited to a certain # would be the easiest way.,en,[],[],[],0,0,1,[],[],https://twitter.com/420properties/status/1382547628697718784,False,,0,,,,,,,,"[{'screen_name': 'EastE__', 'name': 'EastE', 'id': '1328376540799885312'}]",,,,
1382361780232523777,1382152513089114112,2021-04-14 21:25:06 IST,2021-04-14,21:25:06,+0530,2925571889,420properties,cannabist.eth 🍯,,@mattmedved it’s innate,en,[],[],[],0,0,1,[],[],https://twitter.com/420properties/status/1382361780232523777,False,,0,,,,,,,,"[{'screen_name': 'mattmedved', 'name': 'medved', 'id': '23687471'}]",,,,
1382207573017919490,1382207573017919490,2021-04-14 11:12:20 IST,2021-04-14,11:12:20,+0530,2925571889,420properties,cannabist.eth 🍯,,@fugiolabs,und,[],[],[],0,0,0,[],[],https://twitter.com/420properties/status/1382207573017919490,False,https://twitter.com/TommyKimmelman/status/1341589002890178563,0,,,,,,,,[],,,,
1382207450594574342,1382019474442743809,2021-04-14 11:11:51 IST,2021-04-14,11:11:51,+0530,2925571889,420properties,cannabist.eth 🍯,,"@realOmarSheriff Likewise , do less",en,[],[],[],0,0,1,[],[],https://twitter.com/420properties/status/1382207450594574342,False,,0,,,,,,,,"[{'screen_name': 'realOmarSheriff', 'name': 'Omar🏅', 'id': '1247936003039346689'}]",,,,
