id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1181231525607723008,1181231525607723008,2019-10-07 21:05:16 IST,2019-10-07,21:05:16,+0530,2800874294,alphahatinc,Alpha Hat,,Popeyes’ ($QSR) launch of their Chicken Sandwich in mid-August almost immediately drove as much as 40% more foot traffic to the company’s stores.   https://t.co/0DRpYFPmm5  https://t.co/kEzqgK6AxI,en,[],['https://blog.alphahat.com/popeyes-squandered-opportunity-b04d1fc375c'],['https://pbs.twimg.com/media/EGSTzvhW4AAvyIK.jpg'],0,3,2,[],[],https://twitter.com/AlphaHatInc/status/1181231525607723008,False,,1,https://pbs.twimg.com/media/EGSTzvhW4AAvyIK.jpg,,,,,,,[],,,,
1098288517841670144,1098288517841670144,2019-02-20 23:59:22 IST,2019-02-20,23:59:22,+0530,2800874294,alphahatinc,Alpha Hat,,Our latest data shows surprisingly strong demand and deliveries for @Tesla in January $TSLA   https://t.co/hgfyOtyxX8,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['https://blog.alphahat.com/tesla-delivered-more-vehicles-in-january-than-reports-suggest-3cf14e08b19e'],[],2,5,15,[],['tsla'],https://twitter.com/AlphaHatInc/status/1098288517841670144,False,,0,,,,,,,,[],,,,
1084864705141854210,1084864705141854210,2019-01-14 22:57:56 IST,2019-01-14,22:57:56,+0530,2800874294,alphahatinc,Alpha Hat,," https://t.co/HSUTH9kcsz  While Burger King's ""Whopper Detour"" promo led to a lot of app downloads, Alpha Hat saw little effect on Burger King’s actual business, with~60k customers taking advantage of the deal, or ~0.3% of Burger King visits over the promo period.",en,[],['https://blog.alphahat.com/burger-kings-whopper-detour-had-minimal-impact-on-physical-traffic-20ef8539abce'],[],0,0,2,[],[],https://twitter.com/AlphaHatInc/status/1084864705141854210,False,,0,,,,,,,,[],,,,
1072922377657507841,1072922377657507841,2018-12-13 00:03:23 IST,2018-12-13,00:03:23,+0530,2800874294,alphahatinc,Alpha Hat,, https://t.co/REAesPtZjf A look back at some of the most interesting calls and insights we've derived from alternative data this year #alternativedata,en,[],['https://blog.alphahat.com/10-of-alpha-hats-best-data-driven-insights-in-2018-825315293c26'],[],0,0,4,['alternativedata'],[],https://twitter.com/AlphaHatInc/status/1072922377657507841,False,,0,,,,,,,,[],,,,
1069657931879276545,1069657931879276545,2018-12-03 23:51:38 IST,2018-12-03,23:51:38,+0530,2800874294,alphahatinc,Alpha Hat,,"According to our data, Tesla is executing in-line with their guidance on 3 major KPIs — Deliveries, ASPs and Production Efficiency. $TSLA  https://t.co/YYy5lnARxj",en,[],['https://blog.alphahat.com/tesla-q4-half-time-report-data-shows-the-ship-has-steadied-b9848b235a99'],[],0,1,7,[],['tsla'],https://twitter.com/AlphaHatInc/status/1069657931879276545,False,,0,,,,,,,,[],,,,
1044682034176757763,1044682034176757763,2018-09-26 01:46:20 IST,2018-09-26,01:46:20,+0530,2800874294,alphahatinc,Alpha Hat,,Hurricane Florence as seen through foot traffic data  https://t.co/rwUhGk9bEc,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Dn90tP-X0AIyKqp.jpg'],0,7,3,[],[],https://twitter.com/AlphaHatInc/status/1044682034176757763,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dn90tP-X0AIyKqp.jpg,,,,,,,[],,,,
1039597159551651841,1039597159551651841,2018-09-12 01:00:52 IST,2018-09-12,01:00:52,+0530,2800874294,alphahatinc,Alpha Hat,,"BI-LO, Holiday Inn Resorts and Bojangles’ Amongst the Brands to Be Hit Hardest by Hurricane Florence  https://t.co/bGvfYMZU1l  https://t.co/VV0qapG341",en,[],['https://blog.alphahat.com/bi-lo-holiday-inn-resorts-and-bojangles-amongst-the-brands-to-be-hit-hardest-by-hurricane-875ad4c92dbc'],"['https://pbs.twimg.com/media/Dm1j-8uXsAAt2h_.jpg', 'https://pbs.twimg.com/media/Dm1kAvUWsAYPlGz.jpg', 'https://pbs.twimg.com/media/Dm1kBmwXgAEh3EQ.jpg']",0,1,0,[],[],https://twitter.com/AlphaHatInc/status/1039597159551651841,False,,1,https://pbs.twimg.com/media/Dm1j-8uXsAAt2h_.jpg,,,,,,,[],,,,
989554706174431232,989554706174431232,2018-04-26 22:50:01 IST,2018-04-26,22:50:01,+0530,2800874294,alphahatinc,Alpha Hat,,Gordon Haskett Research Advisors Announces Geolocation Data Partnership with Alpha Hat  #AlternativeData  https://t.co/yCtYnWithm,en,[],['https://www.prnewswire.com/news-releases/gordon-haskett-research-advisors-announces-geolocation-data-partnership-with-alpha-hat-300637440.html'],[],0,0,0,['alternativedata'],[],https://twitter.com/AlphaHatInc/status/989554706174431232,False,,0,,,,,,,,[],,,,
888041539255095296,888041539255095296,2017-07-20 19:52:56 IST,2017-07-20,19:52:56,+0530,2800874294,alphahatinc,Alpha Hat,, https://t.co/jaoRCXpsEW  https://t.co/QlFzCMg8lI,und,[],"['https://insight.factset.com/beware-of-rising-dsos-at-enterprise-software-and-it-services-companies', 'http://fb.me/41YJ54X4A']",[],0,0,0,[],[],https://twitter.com/AlphaHatInc/status/888041539255095296,False,,0,,,,,,,,[],,,,
887660398077464576,887660398077464576,2017-07-19 18:38:25 IST,2017-07-19,18:38:25,+0530,2800874294,alphahatinc,Alpha Hat,,Blue Apron's IPO is a big flop — here's how it compares to other popular startups    https://t.co/WjBOETzUOq  https://t.co/fxhzxCSEsc,en,[],['http://www.businessinsider.com/blue-apron-stock-price-ipo-comparison-startups-2017-7'],['https://pbs.twimg.com/media/DFGabV8XYAYQAbl.jpg'],0,2,1,[],[],https://twitter.com/AlphaHatInc/status/887660398077464576,False,,1,https://pbs.twimg.com/media/DFGabV8XYAYQAbl.jpg,,,,,,,[],,,,
