id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385695993182703616,1385695993182703616,2021-04-24 02:14:04 IST,2021-04-24,02:14:04,+0530,690823,andyswan,Andy Swan,,Louisiana has #Bitcoin fever  https://t.co/yqSe62Qe82,en,[],[],['https://pbs.twimg.com/media/Ezr7KVlWEAMtda2.jpg'],0,0,0,['bitcoin'],[],https://twitter.com/AndySwan/status/1385695993182703616,False,,1,https://pbs.twimg.com/media/Ezr7KVlWEAMtda2.jpg,,,,,,,[],,,,
1385695624373354498,1385695624373354498,2021-04-24 02:12:36 IST,2021-04-24,02:12:36,+0530,690823,andyswan,Andy Swan,,Have u considered offering your services at a 39.4% discount for those paying in cryptocurrency?,en,[],[],[],0,1,5,[],[],https://twitter.com/AndySwan/status/1385695624373354498,False,,0,,,,,,,,[],,,,
1385654853138006017,1385654095122419716,2021-04-23 23:30:35 IST,2021-04-23,23:30:35,+0530,690823,andyswan,Andy Swan,,now I'm starting to think this is a simulation glitch and photo 3 is actually the younger version of photo 1 holding baby version of photo 2  https://t.co/nypJg47HLy,en,[],[],['https://pbs.twimg.com/media/EzrVQG2XoAA4C0G.jpg'],2,0,22,[],[],https://twitter.com/AndySwan/status/1385654853138006017,False,,1,https://pbs.twimg.com/media/EzrVQG2XoAA4C0G.jpg,,,,,,,[],,,,
1385654095122419716,1385654095122419716,2021-04-23 23:27:35 IST,2021-04-23,23:27:35,+0530,690823,andyswan,Andy Swan,,welcome to the thunderdome fellas.  https://t.co/o1v5s5l13j,en,[],[],['https://pbs.twimg.com/media/EzrUk4jWUAEClKC.jpg'],3,2,16,[],[],https://twitter.com/AndySwan/status/1385654095122419716,False,,1,https://pbs.twimg.com/media/EzrUk4jWUAEClKC.jpg,,,,,,,[],,,,
1385652797476155405,1385651015345709062,2021-04-23 23:22:25 IST,2021-04-23,23:22:25,+0530,690823,andyswan,Andy Swan,, https://t.co/komtzUoXzC,und,[],[],['https://pbs.twimg.com/media/EzrT3mQXoAcHnO2.png'],0,5,24,[],[],https://twitter.com/AndySwan/status/1385652797476155405,False,,1,https://pbs.twimg.com/media/EzrT3mQXoAcHnO2.png,,,,,,,[],,,,
1385652480797782017,1385651015345709062,2021-04-23 23:21:10 IST,2021-04-23,23:21:10,+0530,690823,andyswan,Andy Swan,,BUT ANDY 51% of people *WANT* to buy missiles for Ukraine!  Ok then let them.  WTF u bothering me for?,en,[],[],[],2,0,4,[],[],https://twitter.com/AndySwan/status/1385652480797782017,False,,0,,,,,,,,[],,,,
1385652155525308418,1385651015345709062,2021-04-23 23:19:52 IST,2021-04-23,23:19:52,+0530,690823,andyswan,Andy Swan,,ok maybe not organized crime but now I'm getting repetitive.,en,[],[],[],1,0,2,[],[],https://twitter.com/AndySwan/status/1385652155525308418,False,,0,,,,,,,,[],,,,
1385651990261288962,1385651015345709062,2021-04-23 23:19:13 IST,2021-04-23,23:19:13,+0530,690823,andyswan,Andy Swan,,it's crazy how (literally) every other organization in the world can provide value for its members without resorting to taking their money via threat of violence.,en,[],[],[],1,0,9,[],[],https://twitter.com/AndySwan/status/1385651990261288962,False,,0,,,,,,,,[],,,,
1385651255217897475,1385651015345709062,2021-04-23 23:16:18 IST,2021-04-23,23:16:18,+0530,690823,andyswan,Andy Swan,,if I could magically set all of your tax rates to zero I would.  Even the losers and the haters.  I really would.,en,[],[],[],2,0,18,[],[],https://twitter.com/AndySwan/status/1385651255217897475,False,,0,,,,,,,,[],,,,
1385651015345709062,1385651015345709062,2021-04-23 23:15:20 IST,2021-04-23,23:15:20,+0530,690823,andyswan,Andy Swan,,today i learned there are a large number of people who not only want other people to be taxed but also believe it will benefit them lol,en,[],[],[],1,10,50,[],[],https://twitter.com/AndySwan/status/1385651015345709062,False,,0,,,,,,,,[],,,,
