id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385674210329169920,1385674210329169920,2021-04-24 00:47:30 IST,2021-04-24,00:47:30,+0530,385581129,barstoolmintzy,Ben Mintz,,Gotta get dat soul food when on The Square in Oxford #PartyInTheSip @AjaxDiner  https://t.co/3sgyUHqbvi,en,"[{'screen_name': 'ajaxdiner', 'name': 'ajax diner', 'id': '930798655'}]",[],['https://pbs.twimg.com/media/EzrnV5_WYAUa_Oz.jpg'],12,0,141,['partyinthesip'],[],https://twitter.com/BarstoolMintzy/status/1385674210329169920,False,,1,https://pbs.twimg.com/media/EzrnV5_WYAUa_Oz.jpg,,,,,,,[],,,,
1385671627254415367,1385671627254415367,2021-04-24 00:37:15 IST,2021-04-24,00:37:15,+0530,385581129,barstoolmintzy,Ben Mintz,,They are gonna be burning couches in Morgantown tonight! #BuyRNR14 #BackyardBrawl  https://t.co/ANZYms54GL,en,[],[],['https://pbs.twimg.com/media/Ezrk_2-XEAAfCvn.jpg'],1,0,3,"['buyrnr14', 'backyardbrawl']",[],https://twitter.com/BarstoolMintzy/status/1385671627254415367,False,,1,https://pbs.twimg.com/media/Ezrk_2-XEAAfCvn.jpg,,,,,,,[],,,,
1385654708715417601,1385650815306715136,2021-04-23 23:30:01 IST,2021-04-23,23:30:01,+0530,385581129,barstoolmintzy,Ben Mintz,,@MissKYUS2011 @WidespreadPanic Too early to tell. Looks like Austin &gt; NYC &gt; Chi,en,[],[],[],1,0,1,[],[],https://twitter.com/BarstoolMintzy/status/1385654708715417601,False,,0,,,,,,,,"[{'screen_name': 'MissKYUS2011', 'name': 'LeeAnn Herring', 'id': '245133190'}, {'screen_name': 'WidespreadPanic', 'name': 'Widespread Panic', 'id': '23458786'}]",,,,
1385653028506808323,1385653028506808323,2021-04-23 23:23:20 IST,2021-04-23,23:23:20,+0530,385581129,barstoolmintzy,Ben Mintz,,Looks like a beautiful day at Founders Park in Columbia for @RazorbackBSB at @GamecockBasebll DH. #SECBaseball,en,"[{'screen_name': 'razorbackbsb', 'name': 'arkansas baseball', 'id': '606433843'}, {'screen_name': 'gamecockbasebll', 'name': 'gamecock baseball', 'id': '106808419'}]",[],[],1,0,19,['secbaseball'],[],https://twitter.com/BarstoolMintzy/status/1385653028506808323,False,https://twitter.com/thespursupshow/status/1385652650528673799,0,,,,,,,,[],,,,
1385651764880416770,1385650815306715136,2021-04-23 23:18:19 IST,2021-04-23,23:18:19,+0530,385581129,barstoolmintzy,Ben Mintz,,@HChurchman @WidespreadPanic Multiple night rumors,en,[],[],[],1,0,1,[],[],https://twitter.com/BarstoolMintzy/status/1385651764880416770,False,,0,,,,,,,,"[{'screen_name': 'HChurchman', 'name': '.', 'id': '1159109288947851264'}, {'screen_name': 'WidespreadPanic', 'name': 'Widespread Panic', 'id': '23458786'}]",,,,
1385650815306715136,1385650815306715136,2021-04-23 23:14:33 IST,2021-04-23,23:14:33,+0530,385581129,barstoolmintzy,Ben Mintz,,Might want to buy these today if you are @WidespreadPanic fan from rumors that are flying around everywhere. Memphis shows are neck &amp; neck with Nola as my favorites. #WSP,en,"[{'screen_name': 'widespreadpanic', 'name': 'widespread panic', 'id': '23458786'}]",[],[],4,0,13,['wsp'],[],https://twitter.com/BarstoolMintzy/status/1385650815306715136,False,https://twitter.com/memphofest/status/1384617887227338755,0,,,,,,,,[],,,,
1385649415822659592,1385648434007400449,2021-04-23 23:08:59 IST,2021-04-23,23:08:59,+0530,385581129,barstoolmintzy,Ben Mintz,,@KatieStonePoker @WPT @shrpo @tonydunsttv 🔥,und,[],[],[],0,0,1,[],[],https://twitter.com/BarstoolMintzy/status/1385649415822659592,False,,0,,,,,,,,"[{'screen_name': 'KatieStonePoker', 'name': 'Katie Stone', 'id': '64324859'}, {'screen_name': 'WPT', 'name': 'World Poker Tour', 'id': '27112621'}, {'screen_name': 'shrpo', 'name': 'Seminole Hard Rock Poker Open', 'id': '1569103525'}, {'screen_name': 'tonydunsttv', 'name': 'TonyDunstTV', 'id': '197903987'}]",,,,
1385647951192731653,1385646225618309120,2021-04-23 23:03:10 IST,2021-04-23,23:03:10,+0530,385581129,barstoolmintzy,Ben Mintz,,@Donald_Duck217 @Pitt_BASE @LouisvilleBSB Going to see @UHCougarBB at @GreenWaveBSB in Nola next Sunday actually. #AACBaseball,en,"[{'screen_name': 'uhcougarbb', 'name': 'houston baseball', 'id': '171189702'}, {'screen_name': 'greenwavebsb', 'name': 'tulane baseball', 'id': '31131182'}]",[],[],1,1,2,['aacbaseball'],[],https://twitter.com/BarstoolMintzy/status/1385647951192731653,False,,0,,,,,,,,"[{'screen_name': 'Donald_Duck217', 'name': 'Quack®️', 'id': '751491884455981056'}, {'screen_name': 'Pitt_BASE', 'name': 'Pitt Baseball', 'id': '47680611'}, {'screen_name': 'LouisvilleBSB', 'name': 'Louisville Baseball', 'id': '218602142'}]",,,,
1385646225618309120,1385646225618309120,2021-04-23 22:56:18 IST,2021-04-23,22:56:18,+0530,385581129,barstoolmintzy,Ben Mintz,,Was very curious about #16 @Pitt_BASE at #7 @LouisvilleBSB series but it looks like covid has gotten in the way. Pitt has been great story but not sure they could pull this series off on road. Louisville has a fantastic &amp; consistent program. #ACCBaseball,en,"[{'screen_name': 'pitt_base', 'name': 'pitt baseball', 'id': '47680611'}, {'screen_name': 'louisvillebsb', 'name': 'louisville baseball', 'id': '218602142'}]",[],[],1,0,10,['accbaseball'],[],https://twitter.com/BarstoolMintzy/status/1385646225618309120,False,,0,,,,,,,,[],,,,
1385645046519803905,1385645046519803905,2021-04-23 22:51:37 IST,2021-04-23,22:51:37,+0530,385581129,barstoolmintzy,Ben Mintz,,"Also want to mention the Top 20 series battle in @ConferenceUSA between @ODUBaseball &amp; @CharlotteBSB. These two, @LATechBSB &amp; @SouthernMissBSB at the top of the league are pretty strong. #CUSABaseball",en,"[{'screen_name': 'conferenceusa', 'name': 'conference usa', 'id': '28353108'}, {'screen_name': 'odubaseball', 'name': 'old dominion baseball', 'id': '478939767'}, {'screen_name': 'charlottebsb', 'name': '#19 charlotte baseball', 'id': '234870493'}, {'screen_name': 'latechbsb', 'name': '#14 diamond dogs', 'id': '567505611'}, {'screen_name': 'southernmissbsb', 'name': 'southern miss baseball', 'id': '351798937'}]",[],[],0,0,12,['cusabaseball'],[],https://twitter.com/BarstoolMintzy/status/1385645046519803905,False,,0,,,,,,,,[],,,,
