id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385694025395679235,1385692208876212225,2021-04-24 02:06:15 IST,2021-04-24,02:06:15,+0530,146569971,cdcgov,CDC,,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday:  https://t.co/m5w5IKMJIv.,en,[],['http://bit.ly/CDTsubscribe'],[],3,4,10,[],[],https://twitter.com/CDCgov/status/1385694025395679235,False,,0,,,,,,,,[],,,,
1385692208876212225,1385692208876212225,2021-04-24 01:59:02 IST,2021-04-24,01:59:02,+0530,146569971,cdcgov,CDC,,"As of April 22, 2021, more than one-third of people in the U.S. 18+ are fully vaccinated. Now, all people 16+ are eligible for a #COVID19 vaccine. Getting a vaccine will help protect you, help protect others, and help end the pandemic. Read more:  https://t.co/F4bAyObDp1.  https://t.co/xIcdFBok3i",en,[],['http://bit.ly/CDTweeklyreview'],['https://pbs.twimg.com/media/Ezr3uDyXsAA0STA.jpg'],20,40,109,['covid19'],[],https://twitter.com/CDCgov/status/1385692208876212225,False,,1,https://pbs.twimg.com/media/Ezr3uDyXsAA0STA.jpg,,,,,,,[],,,,
1385677380849737731,1385677380849737731,2021-04-24 01:00:06 IST,2021-04-24,01:00:06,+0530,146569971,cdcgov,CDC,,"As more people get #COVID19 vaccinations, recent COVID-NET data show adults over 65 years now make up less than a third of all COVID-19-associated hospitalizations - down from more than half at the beginning of the year. Get vaccinated when you can. More:  https://t.co/dTvhftTxuV  https://t.co/3y1t2YXI8m",en,[],['https://bit.ly/3aACOAU'],['https://pbs.twimg.com/media/EzrqO-xXsAM3iwG.jpg'],11,44,114,['covid19'],[],https://twitter.com/CDCgov/status/1385677380849737731,False,,1,https://pbs.twimg.com/media/EzrqO-xXsAM3iwG.jpg,,,,,,,[],,,,
1385665017027219456,1385665017027219456,2021-04-24 00:10:59 IST,2021-04-24,00:10:59,+0530,146569971,cdcgov,CDC,,"#WeCanDoThis! By getting vaccinated against #COVID19 as soon as we can, we bring our nation one step closer to stopping the COVID-19 pandemic. Let’s #SleeveUp and do our part. Find a COVID-19 vaccine provider near you:  https://t.co/6RIBRCJpZu.  https://t.co/lR7YJWKpZi",en,[],['https://bit.ly/3gqwYIO'],['https://pbs.twimg.com/media/Ezre_RtX0AM-c0Y.jpg'],27,91,178,"['wecandothis', 'covid19', 'sleeveup']",[],https://twitter.com/CDCgov/status/1385665017027219456,False,,1,https://pbs.twimg.com/media/Ezre_RtX0AM-c0Y.jpg,,,,,,,[],,,,
1385639700459933702,1385639700459933702,2021-04-23 22:30:23 IST,2021-04-23,22:30:23,+0530,146569971,cdcgov,CDC,,"CDC has classified SARS-CoV-2 variant B.1.526.1 as a variant of interest. Some treatments for #COVID19 have shown to be less effective for this variant, but current vaccines are still anticipated to reduce the risk of severe illness.  Learn more:  https://t.co/yl5AuKBhdt.  https://t.co/zMVdI5EIxy",en,[],['https://bit.ly/3eVFcrL'],['https://pbs.twimg.com/media/EzrH9qWXoAQ9nR-.jpg'],32,170,267,['covid19'],[],https://twitter.com/CDCgov/status/1385639700459933702,False,,1,https://pbs.twimg.com/media/EzrH9qWXoAQ9nR-.jpg,,,,,,,[],,,,
1385624011917381633,1385624011917381633,2021-04-23 21:28:02 IST,2021-04-23,21:28:02,+0530,146569971,cdcgov,CDC,,"SALMONELLA OUTBREAK: Do not eat, sell, or serve recalled Jule’s Foods products with any expiration date: cashew brie (classic, truffle, &amp; black garlic), artichoke spinach dip, and vegan ranch dressing.  https://t.co/ynuIbW5djG  https://t.co/9eh9BFIrX6",en,[],['https://bit.ly/3sGENfR'],['https://pbs.twimg.com/media/Ezq5seAWUAIZ0Nl.jpg'],9,185,189,[],[],https://twitter.com/CDCgov/status/1385624011917381633,False,,1,https://pbs.twimg.com/media/Ezq5seAWUAIZ0Nl.jpg,,,,,,,[],,,,
1385611937904480262,1385611937904480262,2021-04-23 20:40:04 IST,2021-04-23,20:40:04,+0530,146569971,cdcgov,CDC,,"In a new @CDCMMWR, possible COVID-19-related symptom visits were common 1-6 months after diagnosis among adults with #COVID19 who didn’t require a hospital stay. Patients &amp; clinicians should be aware of the potential for post-COVID conditions. More:  https://t.co/Z1jBzuGrFg.  https://t.co/YM5pEPamJG",en,"[{'screen_name': 'cdcmmwr', 'name': 'mmwr', 'id': '111354912'}]",['http://bit.ly/MMWR42321'],['https://pbs.twimg.com/media/EzqutqNWYAULHMC.jpg'],7,78,100,['covid19'],[],https://twitter.com/CDCgov/status/1385611937904480262,False,,1,https://pbs.twimg.com/media/EzqutqNWYAULHMC.jpg,,,,,,,[],,,,
1385607583449468930,1385607583449468930,2021-04-23 20:22:45 IST,2021-04-23,20:22:45,+0530,146569971,cdcgov,CDC,,CDC’s Laboratory Leadership Service trains PhD scientists to serve as #DiseaseDetectives in the field and in #PublicHealth labs across the country. Attend webinars to hear fellows’ experiences and get tips for applying by June 4:  https://t.co/JUzElI3iK5.  https://t.co/sXK2NSHcm9,en,[],['http://bit.ly/LLSwebinars'],['https://pbs.twimg.com/media/EzqqwP6XEAEsUbq.jpg'],4,26,64,"['diseasedetectives', 'publichealth']",[],https://twitter.com/CDCgov/status/1385607583449468930,False,,1,https://pbs.twimg.com/media/EzqqwP6XEAEsUbq.jpg,,,,,,,[],,,,
1385337629735104514,1385337621837197317,2021-04-23 02:30:03 IST,2021-04-23,02:30:03,+0530,146569971,cdcgov,CDC,,"As of April 19, national forecasts predict 2,200–8,200 new #COVID19 hospitalizations will likely be reported on May 17. More:  https://t.co/Xys80ZGlxV.  https://t.co/c4YaucwaNd",en,[],['http://bit.ly/CDC_HForecast'],['https://pbs.twimg.com/media/Ezm0GPRWUAABpLm.jpg'],6,20,43,['covid19'],[],https://twitter.com/CDCgov/status/1385337629735104514,False,,1,https://pbs.twimg.com/media/Ezm0GPRWUAABpLm.jpg,,,,,,,[],,,,
1385337626358657025,1385337621837197317,2021-04-23 02:30:03 IST,2021-04-23,02:30:03,+0530,146569971,cdcgov,CDC,,"As of April 19, national forecasts predict 2,100–8,800 new #COVID19 deaths will be reported during the week ending May 15. That would bring the projected total number of U.S. deaths to 579,000–596,000. More:  https://t.co/rcqjOX3Ypl.  https://t.co/NrtmJkcjfy",en,[],['http://bit.ly/CDC_MForecast'],['https://pbs.twimg.com/media/Ezmz9LAWUAEt7eK.jpg'],7,34,45,['covid19'],[],https://twitter.com/CDCgov/status/1385337626358657025,False,,1,https://pbs.twimg.com/media/Ezmz9LAWUAEt7eK.jpg,,,,,,,[],,,,
