id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1380964652214013955,1380964652214013955,2021-04-11 00:53:24 IST,2021-04-11,00:53:24,+0530,1271556332332691457,daddyspac,SPAC Daddy,,You jelly?  https://t.co/JsaBF04IqU,en,[],[],['https://pbs.twimg.com/media/EyosB6mXIAYPC2g.jpg'],0,0,4,[],[],https://twitter.com/DaddySpac/status/1380964652214013955,False,,1,https://pbs.twimg.com/media/EyosB6mXIAYPC2g.jpg,,,,,,,[],,,,
1379156089749569542,1379156089749569542,2021-04-06 01:06:49 IST,2021-04-06,01:06:49,+0530,1271556332332691457,daddyspac,SPAC Daddy,,Great work everyone. $DMYD,en,[],[],[],0,0,0,[],['dmyd'],https://twitter.com/DaddySpac/status/1379156089749569542,False,https://twitter.com/DaddySpac/status/1336684720374026243,0,,,,,,,,[],,,,
1379155650148712453,1379155650148712453,2021-04-06 01:05:05 IST,2021-04-06,01:05:05,+0530,1271556332332691457,daddyspac,SPAC Daddy,,We going to break $9 on the $DMYD warrants today?,en,[],[],[],1,0,0,[],['dmyd'],https://twitter.com/DaddySpac/status/1379155650148712453,False,,0,,,,,,,,[],,,,
1378844132836278273,1378824453677838337,2021-04-05 04:27:13 IST,2021-04-05,04:27:13,+0530,1271556332332691457,daddyspac,SPAC Daddy,,@drmsxmchns Tough to say. I will probably lighten up on the warrants just to lock in some upside and then hold through the merger. So that’s how I am attacking it.,en,[],[],[],0,0,1,[],[],https://twitter.com/DaddySpac/status/1378844132836278273,False,,0,,,,,,,,"[{'screen_name': 'drmsxmchns', 'name': 'drmsxmchns 横飯', 'id': '3226471824'}]",,,,
1378824453677838337,1378824453677838337,2021-04-05 03:09:01 IST,2021-04-05,03:09:01,+0530,1271556332332691457,daddyspac,SPAC Daddy,,Anyone else excited to watch $DMYD blast off tomorrow?,en,[],[],[],7,1,19,[],['dmyd'],https://twitter.com/DaddySpac/status/1378824453677838337,False,,0,,,,,,,,[],,,,
1378100487766077447,1378100487766077447,2021-04-03 03:12:14 IST,2021-04-03,03:12:14,+0530,1271556332332691457,daddyspac,SPAC Daddy,,For years I wished Atlanta would be taken more seriously as a city. Now I wish could go a single day without being in the news. #atl,en,[],[],[],1,0,0,['atl'],[],https://twitter.com/DaddySpac/status/1378100487766077447,False,https://twitter.com/Braves/status/1378072546088738818,0,,,,,,,,[],,,,
1376520820177170435,1376520820177170435,2021-03-29 18:35:12 IST,2021-03-29,18:35:12,+0530,1271556332332691457,daddyspac,SPAC Daddy,,$WWE,und,[],[],[],1,0,2,[],['wwe'],https://twitter.com/DaddySpac/status/1376520820177170435,False,https://twitter.com/JonahLupton/status/1375945025733996544,0,,,,,,,,[],,,,
1376324192950480900,1376324192950480900,2021-03-29 05:33:53 IST,2021-03-29,05:33:53,+0530,1271556332332691457,daddyspac,SPAC Daddy,,What rumored $PSTH target would you most like to see? Feel free to comment with others. #tontards,en,[],[],[],5,1,3,['tontards'],['psth'],https://twitter.com/DaddySpac/status/1376324192950480900,False,,0,,,,,,,,[],,,,
1375471868019359751,1375136585428111363,2021-03-26 21:07:03 IST,2021-03-26,21:07:03,+0530,1271556332332691457,daddyspac,SPAC Daddy,,@SpacGuru @addamloop @SPACdaddy @kingtutspacs @Spacul8r @SpacBobby @chamath @StockMarketHats sup,und,[],[],[],1,0,4,[],[],https://twitter.com/DaddySpac/status/1375471868019359751,False,,0,,,,,,,,"[{'screen_name': 'SpacGuru', 'name': 'Spac Guru', 'id': '2342334844'}, {'screen_name': 'addamloop', 'name': 'Addam Stine', 'id': '1120664306'}, {'screen_name': 'SPACdaddy', 'name': 'SPACdaddy', 'id': '1273694809744531456'}, {'screen_name': 'kingtutspacs', 'name': 'King Tut Acquisition Corp', 'id': '1340670806515474440'}, {'screen_name': 'Spacul8r', 'name': 'SPAC Gurl', 'id': '1278324669825744901'}, {'screen_name': 'SpacBobby', 'name': 'SpacBobby', 'id': '570754937'}, {'screen_name': 'chamath', 'name': 'Chamath Palihapitiya', 'id': '3291691'}, {'screen_name': 'StockMarketHats', 'name': 'Stock Market Hats (Hat/Hats)', 'id': '1267649553819488259'}]",,,,
1375233965964005377,1375232251869462536,2021-03-26 05:21:42 IST,2021-03-26,05:21:42,+0530,1271556332332691457,daddyspac,SPAC Daddy,,@fuzedddddd I’m still holding,en,[],[],[],0,0,1,[],[],https://twitter.com/DaddySpac/status/1375233965964005377,False,,0,,,,,,,,"[{'screen_name': 'fuzedddddd', 'name': 'James Hw', 'id': '3433572381'}]",,,,
