id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384212682421587968,1384167937766948883,2021-04-19 23:59:55 IST,2021-04-19,23:59:55,+0530,23892927,danamattioli,Dana Mattioli,,@adamjmoussa @SophRossss Legitimately laughed out loud when he said this during the ride.,en,[],[],[],0,0,10,[],[],https://twitter.com/DanaMattioli/status/1384212682421587968,False,,0,,,,,,,,"[{'screen_name': 'adamjmoussa', 'name': 'adam', 'id': '37610602'}, {'screen_name': 'SophRossss', 'name': 'Sophie Ross', 'id': '529022176'}]",,,,
1383028451041538049,1383012012335185921,2021-04-16 17:34:12 IST,2021-04-16,17:34:12,+0530,23892927,danamattioli,Dana Mattioli,,@katierosman This story is horrifying,en,[],[],[],2,0,4,[],[],https://twitter.com/DanaMattioli/status/1383028451041538049,False,,0,,,,,,,,"[{'screen_name': 'katierosman', 'name': 'katie rosman', 'id': '18083797'}]",,,,
1382698555194892291,1382539675978637313,2021-04-15 19:43:19 IST,2021-04-15,19:43:19,+0530,23892927,danamattioli,Dana Mattioli,,"@JFK_America @amazonnews Thank you, James 🙏🏻",en,[],[],[],0,0,0,[],[],https://twitter.com/DanaMattioli/status/1382698555194892291,False,,0,,,,,,,,"[{'screen_name': 'JFK_America', 'name': 'James Fontanella-Khan', 'id': '110929302'}, {'screen_name': 'amazonnews', 'name': 'Amazon News', 'id': '818902172347678720'}]",,,,
1382690757228834825,1382342424249401350,2021-04-15 19:12:20 IST,2021-04-15,19:12:20,+0530,23892927,danamattioli,Dana Mattioli,,"A graphic in today’s print editon lays out just how many industries Amazon is the No. 1 or top three player in. Many companies work with Amazon across several of these businesses, giving Amazon leverage in negotiations. $AMZN  https://t.co/kKEvzEeUCt",en,[],[],['https://pbs.twimg.com/media/EzBN6XaWUAECJ8p.jpg'],1,5,7,[],['amzn'],https://twitter.com/DanaMattioli/status/1382690757228834825,False,,1,https://pbs.twimg.com/media/EzBN6XaWUAECJ8p.jpg,,,,,,,[],,,,
1382678373663653892,1382445234521530372,2021-04-15 18:23:07 IST,2021-04-15,18:23:07,+0530,23892927,danamattioli,Dana Mattioli,,@davezatz @HalSinger Hi Dave. Would encourage you to read this story we wrote in July about this dynamic:  https://t.co/fP5Fj4cECW,en,[],['https://www.google.com/amp/s/www.wsj.com/amp/articles/amazon-tech-startup-echo-bezos-alexa-investment-fund-11595520249'],[],0,3,15,[],[],https://twitter.com/DanaMattioli/status/1382678373663653892,False,,0,,,,,,,,"[{'screen_name': 'davezatz', 'name': 'Dave Zatz', 'id': '14222615'}, {'screen_name': 'HalSinger', 'name': 'Hal Singer', 'id': '431728429'}]",,,,
1382418433082593283,1382418433082593283,2021-04-15 01:10:13 IST,2021-04-15,01:10:13,+0530,23892927,danamattioli,Dana Mattioli,,"“One has to ask, ‘How is it that such a successful business maintains partnerships with so many companies while bullying them?’” Because of Amazon’s power, he said, “they have to tolerate it.”  https://t.co/yJ68q8T8rN",en,[],['https://www.wsj.com/articles/amazon-strong-arms-partners-across-multiple-businesses-11618410439?mod=mhp'],[],3,12,15,[],[],https://twitter.com/DanaMattioli/status/1382418433082593283,False,,0,,,,,,,,[],,,,
1382409663455563778,1382407772801703939,2021-04-15 00:35:22 IST,2021-04-15,00:35:22,+0530,23892927,danamattioli,Dana Mattioli,,"@benfritz Thanks so much, Ben",en,[],[],[],0,0,1,[],[],https://twitter.com/DanaMattioli/status/1382409663455563778,False,,0,,,,,,,,"[{'screen_name': 'benfritz', 'name': 'Ben Fritz', 'id': '18617717'}]",,,,
1382401347811565568,1382393607164813317,2021-04-15 00:02:19 IST,2021-04-15,00:02:19,+0530,23892927,danamattioli,Dana Mattioli,,"@Moonalice Thanks, Roger",en,[],[],[],0,0,1,[],[],https://twitter.com/DanaMattioli/status/1382401347811565568,False,,0,,,,,,,,"[{'screen_name': 'Moonalice', 'name': 'Roger McNamee', 'id': '6585222'}]",,,,
1382344114755227650,1382342424249401350,2021-04-14 20:14:54 IST,2021-04-14,20:14:54,+0530,23892927,danamattioli,Dana Mattioli,,When WarnerMedia launched HBO Max is was told it couldn’t be on Amazon’s streaming device w/out also being on Prime Video. Smart thermostat maker Ecobee was told it needed to share more data or risk its ability to sell on Amazon. Read my story w/ @JBFlint  https://t.co/9CG34ewtEm,en,"[{'screen_name': 'jbflint', 'name': 'joe flint', 'id': '19771382'}]",['https://on.wsj.com/3mMb83r'],[],1,9,12,[],[],https://twitter.com/DanaMattioli/status/1382344114755227650,False,,0,,,,,,,,[],,,,
1382342906078433285,1382342424249401350,2021-04-14 20:10:06 IST,2021-04-14,20:10:06,+0530,23892927,danamattioli,Dana Mattioli,,"Opportunities for Amazon to link business lines are significant, with operations in retail, ads, streaming &amp; logistics. Tactics go beyond typical product bundling &amp; tough negotiating in part because it threatens punitive action on services it offers, such as its retail platform",en,[],[],[],1,0,5,[],[],https://twitter.com/DanaMattioli/status/1382342906078433285,False,,0,,,,,,,,[],,,,
1382342424249401350,1382342424249401350,2021-04-14 20:08:11 IST,2021-04-14,20:08:11,+0530,23892927,danamattioli,Dana Mattioli,,"Few companies dominate as many sectors as Amazon— from ecommerce to cloud computing to voice-enabled speakers. The company uses leverage in disparate areas to force terms on partners in others, our newest story found  https://t.co/oL3cKFlCXg",en,[],['https://on.wsj.com/3uVXT3j'],[],11,38,61,[],[],https://twitter.com/DanaMattioli/status/1382342424249401350,False,,0,,,,,,,,[],,,,
1381748345010524160,1381744641373040643,2021-04-13 04:47:31 IST,2021-04-13,04:47:31,+0530,23892927,danamattioli,Dana Mattioli,,@ChrisBrathw8 @glamourmag It might as well be! These are as offensive as your beloved cargo shorts 😉,en,[],[],[],0,0,1,[],[],https://twitter.com/DanaMattioli/status/1381748345010524160,False,,0,,,,,,,,"[{'screen_name': 'ChrisBrathw8', 'name': 'Chris Brathwaite', 'id': '15737882'}, {'screen_name': 'glamourmag', 'name': 'Glamour', 'id': '19247844'}]",,,,
1381746537219428362,1381744641373040643,2021-04-13 04:40:20 IST,2021-04-13,04:40:20,+0530,23892927,danamattioli,Dana Mattioli,,@glamourmag No.,und,[],[],[],1,0,0,[],[],https://twitter.com/DanaMattioli/status/1381746537219428362,False,,0,,,,,,,,"[{'screen_name': 'glamourmag', 'name': 'Glamour', 'id': '19247844'}]",,,,
