id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384982717528526850,1384982717528526850,2021-04-22 02:59:46 IST,2021-04-22,02:59:46,+0530,293651541,fintechlab,FinTech Lab,,"Great to hear from Lab mentor Jeffrey Gallimore, COO for US Commercial Insurance at @ZurichNA, during yesterday's insurance panel.  ""I like working with startups because they push companies to be more meaningfully innovative.""   #FILNY2021 is off to a great start!",en,"[{'screen_name': 'zurichna', 'name': 'zurich', 'id': '102129735'}]",[],[],0,1,9,['filny2021'],[],https://twitter.com/FinTechLab/status/1384982717528526850,False,,0,,,,,,,,[],,,,
1384592312068620290,1384592312068620290,2021-04-21 01:08:26 IST,2021-04-21,01:08:26,+0530,293651541,fintechlab,FinTech Lab,,Congrats to @virtualiticsVR (Class of 2018) on its $18M Series B round!    https://t.co/0QHX59w24o,en,"[{'screen_name': 'virtualiticsvr', 'name': 'virtualitics', 'id': '769250912611074049'}]",['https://labusinessjournal.com/news/2021/apr/14/virtualitics-gets-18m-data-analytics-software/'],[],0,0,0,[],[],https://twitter.com/FinTechLab/status/1384592312068620290,False,,0,,,,,,,,[],,,,
1380179344585330688,1380177488937168897,2021-04-08 20:52:52 IST,2021-04-08,20:52:52,+0530,293651541,fintechlab,FinTech Lab,,@itscinchy @CoverGoTech @DelioGroup @quarriocorp @hellorightfoot @safekeep #spinanalytics #theclimateservice @util_co @vesttoo,und,"[{'screen_name': 'covergotech', 'name': 'covergo l insurtech', 'id': '812563313510887424'}, {'screen_name': 'deliogroup', 'name': 'delio', 'id': '2901850964'}, {'screen_name': 'quarriocorp', 'name': 'quarrio corporation', 'id': '2618020946'}, {'screen_name': 'hellorightfoot', 'name': 'rightfoot', 'id': '1356610250292436992'}, {'screen_name': 'safekeep', 'name': 'safekeep.com', 'id': '1173758725313765376'}, {'screen_name': 'util_co', 'name': 'util', 'id': '899296437338595330'}, {'screen_name': 'vesttoo', 'name': 'vesttoo', 'id': '1345587247358357504'}]",[],[],0,0,0,"['spinanalytics', 'theclimateservice']",[],https://twitter.com/FinTechLab/status/1380179344585330688,False,,0,,,,,,,,[],,,,
1380177488937168897,1380177488937168897,2021-04-08 20:45:30 IST,2021-04-08,20:45:30,+0530,293651541,fintechlab,FinTech Lab,,"Excited to kick off the 11th year of the @FinTechLab! Our new cohort will work alongside mentors from top banking and insurance firms to refine their products, accelerate and take flight 🚀  Join us in welcoming the 2021 class! #FILNY2021  https://t.co/JuZY1d2Ev2",en,"[{'screen_name': 'fintechlab', 'name': 'fintech lab', 'id': '293651541'}]",[],[],2,2,17,['filny2021'],[],https://twitter.com/FinTechLab/status/1380177488937168897,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1380175595347271686/pu/img/cueckCYRAj_t9YMs.jpg,,,,,,,[],,,,
1379802428791476228,1379783373380579330,2021-04-07 19:55:09 IST,2021-04-07,19:55:09,+0530,293651541,fintechlab,FinTech Lab,,@itscinchy @CoverGoTech @DelioGroup @quarriocorp @hellorightfoot @safekeep @util_co @vesttoo We look forward to collaborating with these 10 companies over the next 12 weeks as we work together to redefine the future of fintech. Congrats and welcome to the Lab! #FILNY2021,en,[],[],[],0,0,9,['filny2021'],[],https://twitter.com/FinTechLab/status/1379802428791476228,False,,0,,,,,,,,"[{'screen_name': 'itscinchy', 'name': 'Cinchy', 'id': '4131313332'}, {'screen_name': 'CoverGoTech', 'name': 'CoverGo l Insurtech', 'id': '812563313510887424'}, {'screen_name': 'DelioGroup', 'name': 'Delio', 'id': '2901850964'}, {'screen_name': 'quarriocorp', 'name': 'Quarrio Corporation', 'id': '2618020946'}, {'screen_name': 'hellorightfoot', 'name': 'Rightfoot', 'id': '1356610250292436992'}, {'screen_name': 'safekeep', 'name': 'Safekeep.com', 'id': '1173758725313765376'}, {'screen_name': 'util_co', 'name': 'Util', 'id': '899296437338595330'}, {'screen_name': 'vesttoo', 'name': 'Vesttoo', 'id': '1345587247358357504'}]",,,,
1379785212243144712,1379783373380579330,2021-04-07 18:46:44 IST,2021-04-07,18:46:44,+0530,293651541,fintechlab,FinTech Lab,,"@itscinchy @CoverGoTech @DelioGroup @quarriocorp @hellorightfoot @safekeep @util_co @vesttoo Our financial institution and venture partners selected 10 companies that are using technologies like #artificialIntelligence and #dataanalytics to tackle key industry challenges, including sustainability. #FILNY2021",en,[],[],[],0,0,5,"['artificialintelligence', 'dataanalytics', 'filny2021']",[],https://twitter.com/FinTechLab/status/1379785212243144712,False,,0,,,,,,,,"[{'screen_name': 'itscinchy', 'name': 'Cinchy', 'id': '4131313332'}, {'screen_name': 'CoverGoTech', 'name': 'CoverGo l Insurtech', 'id': '812563313510887424'}, {'screen_name': 'DelioGroup', 'name': 'Delio', 'id': '2901850964'}, {'screen_name': 'quarriocorp', 'name': 'Quarrio Corporation', 'id': '2618020946'}, {'screen_name': 'hellorightfoot', 'name': 'Rightfoot', 'id': '1356610250292436992'}, {'screen_name': 'safekeep', 'name': 'Safekeep.com', 'id': '1173758725313765376'}, {'screen_name': 'util_co', 'name': 'Util', 'id': '899296437338595330'}, {'screen_name': 'vesttoo', 'name': 'Vesttoo', 'id': '1345587247358357504'}]",,,,
1379783373380579330,1379783373380579330,2021-04-07 18:39:26 IST,2021-04-07,18:39:26,+0530,293651541,fintechlab,FinTech Lab,,We are thrilled to announce the 2021 cohort of the FinTech Lab NY @itscinchy @CoverGoTech @DelioGroup @quarriocorp @hellorightfoot @safekeep #spinanalytics #theclimateservice @util_co @vesttoo 🎉    Learn more about the class here:  https://t.co/oPQQj0KTjI #FILNY2021  https://t.co/2qrStt3pQe,en,"[{'screen_name': 'itscinchy', 'name': 'cinchy', 'id': '4131313332'}, {'screen_name': 'covergotech', 'name': 'covergo l insurtech', 'id': '812563313510887424'}, {'screen_name': 'deliogroup', 'name': 'delio', 'id': '2901850964'}, {'screen_name': 'quarriocorp', 'name': 'quarrio corporation', 'id': '2618020946'}, {'screen_name': 'hellorightfoot', 'name': 'rightfoot', 'id': '1356610250292436992'}, {'screen_name': 'safekeep', 'name': 'safekeep.com', 'id': '1173758725313765376'}, {'screen_name': 'util_co', 'name': 'util', 'id': '899296437338595330'}, {'screen_name': 'vesttoo', 'name': 'vesttoo', 'id': '1345587247358357504'}]",['https://www.fintechinnovationlab.com/news/new-york/10-tech-companies-selected-for-11th-annual-fintech-innovation-lab-new-york/'],['https://pbs.twimg.com/media/EyXzErxXEAQ2c-L.jpg'],3,4,18,"['spinanalytics', 'theclimateservice', 'filny2021']",[],https://twitter.com/FinTechLab/status/1379783373380579330,False,,1,https://pbs.twimg.com/media/EyXzErxXEAQ2c-L.jpg,,,,,,,[],,,,
1377982208883970060,1377982208883970060,2021-04-02 19:22:14 IST,2021-04-02,19:22:14,+0530,293651541,fintechlab,FinTech Lab,,"Congrats to @_skyhive (class of 2020) on an exiting new collaboration with Unilever, Walmart, World Economic Forum, and Accenture to prepare more people for the future of work:  https://t.co/drZv3y7vC9",en,"[{'screen_name': '_skyhive', 'name': 'skyhive', 'id': '729055429448241152'}]",['https://www.accenture.com/us-en/case-studies/consulting/future-skills-pilot-report'],[],0,1,5,[],[],https://twitter.com/FinTechLab/status/1377982208883970060,False,,0,,,,,,,,[],,,,
1376894882267197443,1376894882267197443,2021-03-30 19:21:36 IST,2021-03-30,19:21:36,+0530,293651541,fintechlab,FinTech Lab,,Congrats to Tanya Van Court of @goalsetter (class of 2019) and Gabrielle Haddad of @SigmaRatings (class of 2020) on being named to @InnFin's Women in FinTech Powerlist! #WIFPowerlist20    https://t.co/Tu3O4hJC3w,en,"[{'screen_name': 'goalsetter', 'name': 'goalsetter', 'id': '17614931'}, {'screen_name': 'sigmaratings', 'name': 'sigma ratings', 'id': '874782023835111424'}, {'screen_name': 'innfin', 'name': 'innovate finance', 'id': '2548341234'}]",['https://www.innovatefinance.com/womeninfintech/powerlist2020/?utm_campaign=Women%20in%20FinTech%20Powerlist%202020&utm_source=twitter&utm_medium=social'],[],0,2,3,['wifpowerlist20'],[],https://twitter.com/FinTechLab/status/1376894882267197443,False,,0,,,,,,,,[],,,,
1375128462915215368,1375128462915215368,2021-03-25 22:22:28 IST,2021-03-25,22:22:28,+0530,293651541,fintechlab,FinTech Lab,,Congrats to @gocutover (Class of 2018) on this exciting milestone!,en,"[{'screen_name': 'gocutover', 'name': 'cutover', 'id': '2872088255'}]",[],[],1,1,6,[],[],https://twitter.com/FinTechLab/status/1375128462915215368,False,https://twitter.com/gocutover/status/1375098407585480704,0,,,,,,,,[],,,,
1374005861006344196,1374005861006344196,2021-03-22 20:01:39 IST,2021-03-22,20:01:39,+0530,293651541,fintechlab,FinTech Lab,,"The deadline for PitchIt at @LendIt Fintech is approaching! Past winners have raised $140M in equity &amp; $210M in debt. If your fintech startup has raised less than $20M in equity, apply today:  https://t.co/ZMgNf34z1R   #fintechstartup #LendItFintech  https://t.co/48eqpouNFf",en,"[{'screen_name': 'lendit', 'name': 'lendit fintech', 'id': '1267633260'}]",['https://www.f6s.com/pitchitlenditusa2021/apply'],['https://pbs.twimg.com/media/ExFy-y8XIAUl6s-.jpg'],0,1,2,"['fintechstartup', 'lenditfintech']",[],https://twitter.com/FinTechLab/status/1374005861006344196,False,,1,https://pbs.twimg.com/media/ExFy-y8XIAUl6s-.jpg,,,,,,,[],,,,
