id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385666078299262978,1385666078299262978,2021-04-24 00:15:12 IST,2021-04-24,00:15:12,+0530,18506925,fiserv,Fiserv,,Short-term loans have long-term potential for consumers and financial institutions. Learn more.  https://t.co/uWyQXYepBL  #FinancialLiteracyMonth,en,[],['https://fisv.co/2Hlotzr'],[],0,0,1,['financialliteracymonth'],[],https://twitter.com/Fiserv/status/1385666078299262978,False,,0,,,,,,,,[],,,,
1385618241117212674,1385618241117212674,2021-04-23 21:05:06 IST,2021-04-23,21:05:06,+0530,18506925,fiserv,Fiserv,,"Consumers want financial institutions to provide liquidity for three key reasons - trust in their financial institution, convenience, and lower costs. Learn more from Ken Patrick, General Manager, Deposit Liquidity Solutions, Fiserv via @paymentsjournal:  https://t.co/1CsoT6El3P  https://t.co/M365XYMTUd",en,"[{'screen_name': 'paymentsjournal', 'name': 'paymentsjournal.com', 'id': '2584423076'}]",['https://fisv.co/3n7fYZn'],['https://pbs.twimg.com/media/Ezq0cn_XsAEs83l.jpg'],0,0,8,[],[],https://twitter.com/Fiserv/status/1385618241117212674,False,,1,https://pbs.twimg.com/media/Ezq0cn_XsAEs83l.jpg,,,,,,,[],,,,
1385577974523744258,1385577974523744258,2021-04-23 18:25:06 IST,2021-04-23,18:25:06,+0530,18506925,fiserv,Fiserv,,"In a competitive financial services market, offering P2P services can help community financial institutions level the playing field. Here are five reasons why.  https://t.co/uARySV44Oz  https://t.co/t5SBlebZUS",en,[],['https://fisv.co/3awKp61'],['https://pbs.twimg.com/media/EzqP0urWQAEenan.jpg'],0,0,3,[],[],https://twitter.com/Fiserv/status/1385577974523744258,False,,1,https://pbs.twimg.com/media/EzqP0urWQAEenan.jpg,,,,,,,[],,,,
1385435796044398596,1385435796044398596,2021-04-23 09:00:08 IST,2021-04-23,09:00:08,+0530,18506925,fiserv,Fiserv,,"Learn about trends and the future of Cloud Computing via panel discussion; this event is hosted by @nasscom and will feature Girish Raghavan, Fiserv and other industry experts. Register here:  https://t.co/Ef2ZOX1lZN  https://t.co/NOVJbY2nDk",en,"[{'screen_name': 'nasscom', 'name': 'nasscom', 'id': '17097223'}]",['https://fisv.co/3dFACg0'],['https://pbs.twimg.com/media/EzoOg7LXIAI_niu.jpg'],0,0,6,[],[],https://twitter.com/Fiserv/status/1385435796044398596,False,,1,https://pbs.twimg.com/media/EzoOg7LXIAI_niu.jpg,,,,,,,[],,,,
1385348967404392450,1385348967404392450,2021-04-23 03:15:07 IST,2021-04-23,03:15:07,+0530,18506925,fiserv,Fiserv,,"By working alongside the @SBAgov and using @clovercommerce and Fiserv technology, we are expediting the Restaurant Revitalization Fund application process for restaurants so they can get faster access to much-need capital. Learn more:  https://t.co/Chmq2GUGv9  https://t.co/EBZ7mgNBAR",en,"[{'screen_name': 'sbagov', 'name': 'sba', 'id': '153149305'}, {'screen_name': 'clovercommerce', 'name': 'clover', 'id': '386316812'}]",['https://fisv.co/3nadNV3'],['https://pbs.twimg.com/media/Ezm_i2QXEAMJZP0.jpg'],0,0,8,[],[],https://twitter.com/Fiserv/status/1385348967404392450,False,,1,https://pbs.twimg.com/media/Ezm_i2QXEAMJZP0.jpg,,,,,,,[],,,,
1385328820551573506,1385328820551573506,2021-04-23 01:55:03 IST,2021-04-23,01:55:03,+0530,18506925,fiserv,Fiserv,,Robotics are catching on in finance. Learn more about the use of intelligent automation in risk and compliance.  https://t.co/6kcScbjRHo  https://t.co/Z90XkykB9o,en,[],['https://fisv.co/3guh6Vu'],['https://pbs.twimg.com/media/EzmtOHOXsAQllRm.jpg'],0,2,9,[],[],https://twitter.com/Fiserv/status/1385328820551573506,False,,1,https://pbs.twimg.com/media/EzmtOHOXsAQllRm.jpg,,,,,,,[],,,,
1385262914739789824,1385262914739789824,2021-04-22 21:33:10 IST,2021-04-22,21:33:10,+0530,18506925,fiserv,Fiserv,,Consumers are expressing low satisfaction with their financial health. Find out how financial institutions can turn that trend around.  https://t.co/4pcmYn9trn  #FinancialLiteracyMonth,en,[],['https://fisv.co/2RLMULj'],[],0,0,9,['financialliteracymonth'],[],https://twitter.com/Fiserv/status/1385262914739789824,False,,0,,,,,,,,[],,,,
1385210554554503171,1385210554554503171,2021-04-22 18:05:06 IST,2021-04-22,18:05:06,+0530,18506925,fiserv,Fiserv,,“Much of the industry is wrestling with data—how do I make it relevant? How do I use it in a way so I can achieve my goals that and ultimately help my members?” said Becky Summers of @TheRaddonReport. Read more via @CUTodayBuzz:  https://t.co/XvW8zjiv1Z  https://t.co/ljkICW3I1A,en,"[{'screen_name': 'theraddonreport', 'name': 'raddon', 'id': '28203551'}, {'screen_name': 'cutodaybuzz', 'name': 'cutoday', 'id': '28583024'}]",['https://fisv.co/2QpnfHG'],['https://pbs.twimg.com/media/EzlBqLWXEAIKtkO.png'],0,0,5,[],[],https://twitter.com/Fiserv/status/1385210554554503171,False,,1,https://pbs.twimg.com/media/EzlBqLWXEAIKtkO.png,,,,,,,[],,,,
1385143879872262144,1385143879872262144,2021-04-22 13:40:10 IST,2021-04-22,13:40:10,+0530,18506925,fiserv,Fiserv,,"The date is set! Mark your calendar and plan to join us 18 May for Forum Europe, Middle East &amp; Africa 2021. Learn more:  https://t.co/hXnhg9SKGu  #ForumMomentum2021  https://t.co/c7PqE311bJ",en,[],['https://fisv.co/3atRELY'],[],1,1,8,['forummomentum2021'],[],https://twitter.com/Fiserv/status/1385143879872262144,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1385142593290489856/pu/img/3Bxf9aXpYvZentLw.jpg,,,,,,,[],,,,
1385001674763345924,1385001674763345924,2021-04-22 04:15:06 IST,2021-04-22,04:15:06,+0530,18506925,fiserv,Fiserv,,"We are #FISVProud to support the @ShermanRising project, a mostly minority-owned market in the Sherman Park neighborhood of Milwaukee. Together we are helping entrepreneurs get #Back2Business in their community. Learn more:  https://t.co/25QDWMy0hT  #FiservGivesBack  https://t.co/xV1RabCMDY",en,"[{'screen_name': 'shermanrising', 'name': 'sherman phoenix', 'id': '966855940808028161'}]",['https://fisv.co/2POanHp'],[],0,2,11,"['fisvproud', 'back2business', 'fiservgivesback']",[],https://twitter.com/Fiserv/status/1385001674763345924,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1385000435954683905/pu/img/B_xPVysxvlxQom_v.jpg,,,,,,,[],,,,
1384902302222389252,1384902302222389252,2021-04-21 21:40:13 IST,2021-04-21,21:40:13,+0530,18506925,fiserv,Fiserv,,Consumers are storing more than just credit and debit cards in their #digitalwallets and they expect merchants to keep up. Make sure your business is prepared for the #digital consumer.   Get more critical 2021 digital wallet insights:  https://t.co/7YuLbtQA19  https://t.co/sGLw92CDPq,en,[],['https://fisv.co/2J7Uigb'],[],0,1,12,"['digitalwallets', 'digital']",[],https://twitter.com/Fiserv/status/1384902302222389252,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384901591543713792/pu/img/B6kBTXfGJBY0R0zp.jpg,,,,,,,[],,,,
1384844386341724164,1384844386341724164,2021-04-21 17:50:05 IST,2021-04-21,17:50:05,+0530,18506925,fiserv,Fiserv,,People struggle to manage finances and lack confidence in overall financial health. Learn how financial institutions can help.  https://t.co/A0nItfoqY0  #FinancialLiteracyMonth,en,[],['https://fisv.co/3uQb9WV'],[],0,0,6,['financialliteracymonth'],[],https://twitter.com/Fiserv/status/1384844386341724164,False,,0,,,,,,,,[],,,,
1384631744872304647,1384631744872304647,2021-04-21 03:45:07 IST,2021-04-21,03:45:07,+0530,18506925,fiserv,Fiserv,,"Your payments strategy should include quick, secure, and efficient digital payout options that give your customers control and choice over how and when they receive their funds. Join us on April 21 for a panel discussion to learn more. Register here:  https://t.co/WCwOA3mGln  https://t.co/6xfNCHP3GL",en,[],['https://fisv.co/3ryNqZj'],['https://pbs.twimg.com/media/EzczPAVX0AAiR5p.jpg'],0,1,12,[],[],https://twitter.com/Fiserv/status/1384631744872304647,False,,1,https://pbs.twimg.com/media/EzczPAVX0AAiR5p.jpg,,,,,,,[],,,,
1384604041276182530,1384604041276182530,2021-04-21 01:55:02 IST,2021-04-21,01:55:02,+0530,18506925,fiserv,Fiserv,, https://t.co/8OjulgXHWc,und,[],['https://twitter.com/Bucks/status/1384546400852054020'],[],0,0,4,[],[],https://twitter.com/Fiserv/status/1384604041276182530,False,https://twitter.com/Bucks/status/1384546400852054020,0,,,,,,,,[],,,,
1384568832560336900,1384568832560336900,2021-04-20 23:35:08 IST,2021-04-20,23:35:08,+0530,18506925,fiserv,Fiserv,,Veterans make up a significant proportion of the restaurant industry. That's why we're joining @SBAgov and @IVMFSyracuseU to discuss the Restaurant Revitalization Fund and how veteran-owned businesses can apply. Register:  https://t.co/dQf818gLfz  https://t.co/qe1cVf44Ro,en,"[{'screen_name': 'sbagov', 'name': 'sba', 'id': '153149305'}, {'screen_name': 'ivmfsyracuseu', 'name': 'institute for veterans and military families', 'id': '320839156'}]",['https://fisv.co/3mZUmy5'],['https://pbs.twimg.com/media/Ezb6BA5WUAIFunw.jpg'],0,0,7,[],[],https://twitter.com/Fiserv/status/1384568832560336900,False,,1,https://pbs.twimg.com/media/Ezb6BA5WUAIFunw.jpg,,,,,,,[],,,,
1384518532109582337,1384518532109582337,2021-04-20 20:15:15 IST,2021-04-20,20:15:15,+0530,18506925,fiserv,Fiserv,,"Looking for more of our expertise, perspectives and research? Check out our Insights page:  https://t.co/HsqWx0MmY8  https://t.co/ySBHQ0mO8m",en,[],['https://fisv.co/3qrimKB'],['https://pbs.twimg.com/media/EzbMRKsWUAUWp24.jpg'],0,0,7,[],[],https://twitter.com/Fiserv/status/1384518532109582337,False,,1,https://pbs.twimg.com/media/EzbMRKsWUAUWp24.jpg,,,,,,,[],,,,
1384246703612514307,1384246703612514307,2021-04-20 02:15:06 IST,2021-04-20,02:15:06,+0530,18506925,fiserv,Fiserv,,"Conversational AI offers more accurate data, better insights and hyper-personalized interactions. These key benefits will accelerate adoption in 2021 and beyond as banks continue to invest in this next-generation technology. Learn more via @BAI_Info:  https://t.co/qpZGjC0zW8  https://t.co/N1bKjDPAcR",en,"[{'screen_name': 'bai_info', 'name': 'bai', 'id': '57687059'}]",['https://fisv.co/3uTSnhk'],['https://pbs.twimg.com/media/EzXVCpJUcAMTggw.jpg'],0,0,8,[],[],https://twitter.com/Fiserv/status/1384246703612514307,False,,1,https://pbs.twimg.com/media/EzXVCpJUcAMTggw.jpg,,,,,,,[],,,,
1384214002230730759,1384214002230730759,2021-04-20 00:05:10 IST,2021-04-20,00:05:10,+0530,18506925,fiserv,Fiserv,,"""It's important for financial institutions to have choice and flexibility when it comes to real time payments. It encourages innovation, accountability and provides options to users."" Carrie Blankenship, Fiserv. Read more via @FinLedgerNews:  https://t.co/VowSu8B4Aq  https://t.co/cI9Pitj8rr",en,"[{'screen_name': 'finledgernews', 'name': 'finledger', 'id': '1275169877586739201'}]",['https://fisv.co/3edU7eV'],['https://pbs.twimg.com/media/EzW3TFcVoAIKEq4.jpg'],0,3,14,[],[],https://twitter.com/Fiserv/status/1384214002230730759,False,,1,https://pbs.twimg.com/media/EzW3TFcVoAIKEq4.jpg,,,,,,,[],,,,
1384122233061187594,1384122233061187594,2021-04-19 18:00:30 IST,2021-04-19,18:00:30,+0530,18506925,fiserv,Fiserv,,Open banking helps financial institutions meet evolving consumer expectations. Learn how it also can improve interoperability within banks and credit unions.  https://t.co/bR9PHNp5gO  https://t.co/NDRamhaKUd,en,[],['https://fisv.co/32j30Or'],['https://pbs.twimg.com/media/EzVj1d_VUAog3qx.jpg'],1,1,11,[],[],https://twitter.com/Fiserv/status/1384122233061187594,False,,1,https://pbs.twimg.com/media/EzVj1d_VUAog3qx.jpg,,,,,,,[],,,,
1383986238848262155,1383986238848262155,2021-04-19 09:00:07 IST,2021-04-19,09:00:07,+0530,18506925,fiserv,Fiserv,,"Learn more about ""agile in the new normal"" at the Digital Engineering Leadership Series by @Zinnov, featuring Vinaya Muralidharan and other industry experts. Register here:  https://t.co/rN73VyRndD  https://t.co/YKZMzhL1jb",en,"[{'screen_name': 'zinnov', 'name': 'zinnov', 'id': '49253006'}]",['https://fisv.co/3sCSrAR'],['https://pbs.twimg.com/media/EzToJluVkAkiQ7O.jpg'],0,1,11,[],[],https://twitter.com/Fiserv/status/1383986238848262155,False,,1,https://pbs.twimg.com/media/EzToJluVkAkiQ7O.jpg,,,,,,,[],,,,
1383852851881906188,1383852851881906188,2021-04-19 00:10:05 IST,2021-04-19,00:10:05,+0530,18506925,fiserv,Fiserv,, https://t.co/YvfYBJEqUb,und,[],['https://twitter.com/Bucks/status/1383828168520343552'],[],0,0,5,[],[],https://twitter.com/Fiserv/status/1383852851881906188,False,https://twitter.com/Bucks/status/1383828168520343552,0,,,,,,,,[],,,,
1383155826588844035,1383155826588844035,2021-04-17 02:00:21 IST,2021-04-17,02:00:21,+0530,18506925,fiserv,Fiserv,,"Your payments strategy should include quick, secure, and efficient digital payout options that give your customers control and choice over how and when they receive their funds. Join us on April 21 for a panel discussion to learn more. Register here:  https://t.co/WCwOA3mGln  https://t.co/TU1ppujCFy",en,[],['https://fisv.co/3ryNqZj'],['https://pbs.twimg.com/media/EzH05N5XAAE1Yuf.jpg'],0,1,13,[],[],https://twitter.com/Fiserv/status/1383155826588844035,False,,1,https://pbs.twimg.com/media/EzH05N5XAAE1Yuf.jpg,,,,,,,[],,,,
1383125642330390532,1383125642330390532,2021-04-17 00:00:25 IST,2021-04-17,00:00:25,+0530,18506925,fiserv,Fiserv,, https://t.co/aQHp1RlrBz,und,[],['https://twitter.com/Bucks/status/1383096346555604992'],[],0,0,3,[],[],https://twitter.com/Fiserv/status/1383125642330390532,False,https://twitter.com/Bucks/status/1383096346555604992,0,,,,,,,,[],,,,
1383033700544315394,1383033700544315394,2021-04-16 17:55:04 IST,2021-04-16,17:55:04,+0530,18506925,fiserv,Fiserv,,“Much of the industry is wrestling with data—how do I make it relevant? How do I use it in a way so I can achieve my goals that and ultimately help my members?” said Becky Summers of @TheRaddonReport. Read more via @CUTodayBuzz:  https://t.co/XvW8zjiv1Z  https://t.co/WIGTHoDWfc,en,"[{'screen_name': 'theraddonreport', 'name': 'raddon', 'id': '28203551'}, {'screen_name': 'cutodaybuzz', 'name': 'cutoday', 'id': '28583024'}]",['https://fisv.co/2QpnfHG'],['https://pbs.twimg.com/media/EzGF0mJW8AYWFFE.png'],0,0,9,[],[],https://twitter.com/Fiserv/status/1383033700544315394,False,,1,https://pbs.twimg.com/media/EzGF0mJW8AYWFFE.png,,,,,,,[],,,,
1382731720303198208,1382731720303198208,2021-04-15 21:55:06 IST,2021-04-15,21:55:06,+0530,18506925,fiserv,Fiserv,,"In an interview with @DataProtectWF, Andrew Davies, VP at Fiserv, shares further insight around his role and what it’s like being part of the global community fighting #financialcrime:  https://t.co/tkF3GJ8OQD    #DPWF #RiskManagement  https://t.co/OOJiTdmtXI",en,"[{'screen_name': 'dataprotectwf', 'name': 'data protection world forum', 'id': '19658856'}]",['https://bit.ly/39THx32'],['https://pbs.twimg.com/media/EzBzLB4WEAIMxQr.jpg'],0,2,10,"['financialcrime', 'dpwf', 'riskmanagement']",[],https://twitter.com/Fiserv/status/1382731720303198208,False,,1,https://pbs.twimg.com/media/EzBzLB4WEAIMxQr.jpg,,,,,,,[],,,,
1382675093906673664,1382675093906673664,2021-04-15 18:10:05 IST,2021-04-15,18:10:05,+0530,18506925,fiserv,Fiserv,,Our 2020 Expectations and Experiences research found that 24 percent of consumers believed mobile was the safest form of payment to help prevent the spread of COVID-19. Read more about changes in payment trends this year by visiting @PaymentsDive:  https://t.co/Dra2IEfezr  https://t.co/q8JgNEFlVi,en,"[{'screen_name': 'paymentsdive', 'name': 'payments dive', 'id': '222188747'}]",['https://fisv.co/3fQpheE'],['https://pbs.twimg.com/media/EzA_q7wWEAAJeSi.jpg'],0,0,11,[],[],https://twitter.com/Fiserv/status/1382675093906673664,False,,1,https://pbs.twimg.com/media/EzA_q7wWEAAJeSi.jpg,,,,,,,[],,,,
1382536689852223491,1382536689852223491,2021-04-15 09:00:07 IST,2021-04-15,09:00:07,+0530,18506925,fiserv,Fiserv,,"Learn more about taking a holistic approach to employee wellness at the SHRMI Talent Conference 2021, featuring Mamta Sharma and other industry experts. Register here:  https://t.co/rrARwNHOqS  https://t.co/kl8iJqqM3L",en,[],['https://fisv.co/3g7sgPR'],['https://pbs.twimg.com/media/Ey_ByxFXAAEouG8.jpg'],0,1,9,[],[],https://twitter.com/Fiserv/status/1382536689852223491,False,,1,https://pbs.twimg.com/media/Ey_ByxFXAAEouG8.jpg,,,,,,,[],,,,
1382383178107789315,1382383178107789315,2021-04-14 22:50:07 IST,2021-04-14,22:50:07,+0530,18506925,fiserv,Fiserv,,"Looking for more of our expertise, perspectives and research? Check out our Insights page:  https://t.co/HsqWx0MmY8  https://t.co/QwhFGbvfkQ",en,[],['https://fisv.co/3qrimKB'],['https://pbs.twimg.com/media/Ey82LMtWgAIvI_X.jpg'],0,3,11,[],[],https://twitter.com/Fiserv/status/1382383178107789315,False,,1,https://pbs.twimg.com/media/Ey82LMtWgAIvI_X.jpg,,,,,,,[],,,,
1382320296011694086,1382320296011694086,2021-04-14 18:40:15 IST,2021-04-14,18:40:15,+0530,18506925,fiserv,Fiserv,,"Your payments strategy should include quick, secure, and efficient digital payout options that give your customers control and choice over how and when they receive their funds. Join us on April 21 for a panel discussion to learn more. Register here:  https://t.co/WCwOA3mGln  https://t.co/hvLtkahW1z",en,[],['https://fisv.co/3ryNqZj'],['https://pbs.twimg.com/media/Ey78--WXMAcP2T1.jpg'],0,4,18,[],[],https://twitter.com/Fiserv/status/1382320296011694086,False,,1,https://pbs.twimg.com/media/Ey78--WXMAcP2T1.jpg,,,,,,,[],,,,
