id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385702544203296771,1385702544203296771,2021-04-24 02:40:06 IST,2021-04-24,02:40:06,+0530,19399038,forexlive,ForexLive,,Forexlive Americas FX news wrap: USD is the weakest currency for the day and week  https://t.co/hbb7OqOdQS,en,[],['https://www.forexlive.com/news/!/forexlive-nth-american-fx-news-23-apr-20210423'],[],0,0,0,[],[],https://twitter.com/ForexLive/status/1385702544203296771,False,,0,,,,,,,,[],,,,
1385686801118076928,1385686801118076928,2021-04-24 01:37:32 IST,2021-04-24,01:37:32,+0530,19399038,forexlive,ForexLive,,No new high close for the S&amp;P after trading to a new all-time intraday high  https://t.co/Fb60Fcw7yE,en,[],['https://www.forexlive.com/technical-analysis/!/no-new-high-close-for-the-sp-after-trading-to-a-new-all-time-intraday-high-20210423'],[],0,0,5,[],[],https://twitter.com/ForexLive/status/1385686801118076928,False,,0,,,,,,,,[],,,,
1385680415751643138,1385680415751643138,2021-04-24 01:12:10 IST,2021-04-24,01:12:10,+0530,19399038,forexlive,ForexLive,,CFTC commitment of traders: Mixed changes for currency positions  https://t.co/Wh1u5HeYQX,en,[],['https://www.forexlive.com/technical-analysis/!/cftc-commitment-of-traders-00-20210423'],[],0,2,1,[],[],https://twitter.com/ForexLive/status/1385680415751643138,False,,0,,,,,,,,[],,,,
1385677829736747013,1385677829736747013,2021-04-24 01:01:53 IST,2021-04-24,01:01:53,+0530,19399038,forexlive,ForexLive,,S&amp;P index trades at a new all time record intraday high  https://t.co/7IknBvI1Gs,en,[],['https://www.forexlive.com/technical-analysis/!/sp-index-trades-at-a-new-all-time-record-intraday-high-20210423'],[],0,5,6,[],[],https://twitter.com/ForexLive/status/1385677829736747013,False,,0,,,,,,,,[],,,,
1385671803687874560,1385671803687874560,2021-04-24 00:37:57 IST,2021-04-24,00:37:57,+0530,19399038,forexlive,ForexLive,,WTI crude oil futures settle at $62.14  https://t.co/qovnqMDq3C,en,[],['https://www.forexlive.com/technical-analysis/!/wti-crude-oil-futures-settle-at-6214-20210423'],[],0,3,4,[],[],https://twitter.com/ForexLive/status/1385671803687874560,False,,0,,,,,,,,[],,,,
1385668554201223168,1385668554201223168,2021-04-24 00:25:02 IST,2021-04-24,00:25:02,+0530,19399038,forexlive,ForexLive,,AstraZeneca vaccine 85% effective against symptomatic cases 15 days after second dose among people over-65 -- Chilean trial,en,[],[],[],0,1,12,[],[],https://twitter.com/ForexLive/status/1385668554201223168,False,,0,,,,,,,,[],,,,
1385668037412524032,1385668037412524032,2021-04-24 00:22:59 IST,2021-04-24,00:22:59,+0530,19399038,forexlive,ForexLive,,AUDUSD breaks above the 100 hour MA  https://t.co/Xri0xUEuZ0,en,[],['https://www.forexlive.com/technical-analysis/!/audusd-breaks-above-the-100-hour-ma-20210423'],[],0,1,3,[],[],https://twitter.com/ForexLive/status/1385668037412524032,False,,0,,,,,,,,[],,,,
1385664781961605132,1385664781961605132,2021-04-24 00:10:03 IST,2021-04-24,00:10:03,+0530,19399038,forexlive,ForexLive,,EURGBP trades near April high  https://t.co/zJvPdnWYNm,en,[],['https://www.forexlive.com/technical-analysis/!/eurgbp-trades-near-april-high-20210423'],[],0,3,5,[],[],https://twitter.com/ForexLive/status/1385664781961605132,False,,0,,,,,,,,[],,,,
1385656695502909440,1385645213037772808,2021-04-23 23:37:55 IST,2021-04-23,23:37:55,+0530,19399038,forexlive,ForexLive,,@faragotothemoon The Fed,en,[],[],[],0,0,0,[],[],https://twitter.com/ForexLive/status/1385656695502909440,False,,0,,,,,,,,"[{'screen_name': 'faragotothemoon', 'name': 'fara', 'id': '725694072514437121'}]",,,,
1385655852917563404,1385655852917563404,2021-04-23 23:34:34 IST,2021-04-23,23:34:34,+0530,19399038,forexlive,ForexLive,,MUFG trade of the week: Stay long AUD/USD  https://t.co/iKxGoIkaE3,en,[],['https://www.forexlive.com/news/!/mufg-trade-of-the-week-stay-long-audusd-20210423'],[],0,1,1,[],[],https://twitter.com/ForexLive/status/1385655852917563404,False,,0,,,,,,,,[],,,,
