id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1179922199127437312,1179417346773065730,2019-10-04 06:22:28 IST,2019-10-04,06:22:28,+0530,14325574,johnehart_,John Hart,,@tonesfiles @lakaiia1 @TDAmeritrade It already started today 10/3/19,en,[],[],[],1,0,1,[],[],https://twitter.com/JohnEHart_/status/1179922199127437312,False,,0,,,,,,,,"[{'screen_name': 'tonesfiles', 'name': 'apm', 'id': '2445907500'}, {'screen_name': 'lakaiia1', 'name': 'lakaiia', 'id': '48793263'}, {'screen_name': 'TDAmeritrade', 'name': 'TD Ameritrade', 'id': '16816021'}]",,,,
1141507482554175488,1141507482554175488,2019-06-20 06:16:06 IST,2019-06-20,06:16:06,+0530,14325574,johnehart_,John Hart,,Sadly this is what I have come to expect from #chicago cab travel.  https://t.co/BcbK23ujvN,en,[],[],['https://pbs.twimg.com/media/D9dzAOkXsAAUjLk.jpg'],0,0,2,['chicago'],[],https://twitter.com/JohnEHart_/status/1141507482554175488,False,,1,https://pbs.twimg.com/media/D9dzAOkXsAAUjLk.jpg,,,,,,,[],,,,
1141449493025566720,1141441524892360704,2019-06-20 02:25:40 IST,2019-06-20,02:25:40,+0530,14325574,johnehart_,John Hart,,@GrabberBlue71 @TDAJJKinahan Which ever has the fastest single core performance,en,[],[],[],0,0,1,[],[],https://twitter.com/JohnEHart_/status/1141449493025566720,False,,0,,,,,,,,"[{'screen_name': 'GrabberBlue71', 'name': 'iKnowNothing', 'id': '712982213491429376'}, {'screen_name': 'TDAJJKinahan', 'name': 'JJ Kinahan', 'id': '913175707'}]",,,,
1140261852263395329,1139938455260188672,2019-06-16 19:46:25 IST,2019-06-16,19:46:25,+0530,14325574,johnehart_,John Hart,,@Sunayna Psychologically you benefit from any of these and you happiness will be equally satisfied in the completion of any of these goals.,en,[],[],[],0,0,2,[],[],https://twitter.com/JohnEHart_/status/1140261852263395329,False,,0,,,,,,,,"[{'screen_name': 'Sunayna', 'name': 'Sunayna🌿', 'id': '158738001'}]",,,,
1131237080422584322,1131217236306386945,2019-05-22 22:05:11 IST,2019-05-22,22:05:11,+0530,14325574,johnehart_,John Hart,,@susanmoller You got this.  https://t.co/vhz3U8eRgz,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/D7L2Hx7WwAEieaP.jpg'],1,0,2,[],[],https://twitter.com/JohnEHart_/status/1131237080422584322,False,,1,https://pbs.twimg.com/tweet_video_thumb/D7L2Hx7WwAEieaP.jpg,,,,,,,"[{'screen_name': 'susanmoller', 'name': 'Susan', 'id': '51623'}]",,,,
1126201636274282510,1126150825389305858,2019-05-09 00:36:08 IST,2019-05-09,00:36:08,+0530,14325574,johnehart_,John Hart,,@CMoneyTrading The details are always welcome... and encouraged.,en,[],[],[],0,0,1,[],[],https://twitter.com/JohnEHart_/status/1126201636274282510,False,,0,,,,,,,,"[{'screen_name': 'CMoneyTrading', 'name': 'Chris', 'id': '2883550752'}]",,,,
1126197083227267072,1126150825389305858,2019-05-09 00:18:03 IST,2019-05-09,00:18:03,+0530,14325574,johnehart_,John Hart,,@CMoneyTrading You can enter standard stop orders from the AT ladder. Just move over to the other side of the market. Stop Limits is some thing we will have to think on. Thanks for the suggestion,en,[],[],[],1,0,1,[],[],https://twitter.com/JohnEHart_/status/1126197083227267072,False,,0,,,,,,,,"[{'screen_name': 'CMoneyTrading', 'name': 'Chris', 'id': '2883550752'}]",,,,
1123231778389594114,1123231373337165824,2019-04-30 19:54:59 IST,2019-04-30,19:54:59,+0530,14325574,johnehart_,John Hart,,"@CMoneyTrading Hi Chris, for now the studies are stored with the User and not a part of the workspace.  That you for the suggestion",en,[],[],[],0,0,1,[],[],https://twitter.com/JohnEHart_/status/1123231778389594114,False,,0,,,,,,,,"[{'screen_name': 'CMoneyTrading', 'name': 'Chris', 'id': '2883550752'}]",,,,
1112814365076537345,1112807488200564736,2019-04-02 01:59:54 IST,2019-04-02,01:59:54,+0530,14325574,johnehart_,John Hart,,"@danielle_fava You don’t or you send a screen shot, I am sure that is a feature in some interpretation of the world.",en,[],[],[],1,0,2,[],[],https://twitter.com/JohnEHart_/status/1112814365076537345,False,,0,,,,,,,,"[{'screen_name': 'danielle_fava', 'name': 'Dani Fava', 'id': '114904894'}]",,,,
1103731104526278657,1103729781424746497,2019-03-08 00:26:16 IST,2019-03-08,00:26:16,+0530,14325574,johnehart_,John Hart,,"@CMoneyTrading Hi Chris, I’ll add a vote 🗳 for Cleveland. It is not on the planned destinations yet.",en,[],[],[],0,0,1,[],[],https://twitter.com/JohnEHart_/status/1103731104526278657,False,,0,,,,,,,,"[{'screen_name': 'CMoneyTrading', 'name': 'Chris', 'id': '2883550752'}]",,,,
