id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Sentiments,Emotions,,,
8.55029E+17,8.55029E+17,2017-04-20 17:32:10 IST,20-04-2017,17:32:10,530,2253557707,newshedge,NewsHedge,,Looking for #AlternativeData to build #systematic #trading models? NewsHedge's #Twitter data may be the answer.  https://t.co/sDxnKt6mbi,en,[],['http://www.prweb.com/releases/2017/04/prweb14255571.htm'],[],0,0,3,"['alternativedata', 'systematic', 'trading', 'twitter']",[],https://twitter.com/NewsHedge/status/855028819576672256,FALSE,,0,,,,,,,,[],,,,,Positive,Hope,,,
8.55021E+17,8.55021E+17,2017-04-20 17:00:22 IST,20-04-2017,17:00:22,530,2253557707,newshedge,NewsHedge,,Looking for alternative data to build profitable trading models? NewsHedge may have the answer...  https://t.co/XjhmzEmrtN,en,[],['https://lnkd.in/gWpQfb3'],[],0,1,1,[],[],https://twitter.com/NewsHedge/status/855020813082165248,FALSE,,0,,,,,,,,[],,,,,Positive,Hope,,,
8.54775E+17,8.54775E+17,2017-04-20 00:42:48 IST,20-04-2017,00:42:48,530,2253557707,newshedge,NewsHedge,,$SBGI and $TRCO spiking on news.,in,[],[],[],0,0,1,[],"['sbgi', 'trco']",https://twitter.com/NewsHedge/status/854774803584122881,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.478E+17,8.478E+17,2017-03-31 18:46:21 IST,31-03-2017,18:46:21,530,2253557707,newshedge,NewsHedge,,NewsHedge has been nominated #BZawards. Vote for us at the link below!  https://t.co/8VSoUREiEv via @BZAwards,en,"[{'screen_name': 'bzawards', 'name': 'bz fintech awards', 'id': '2840319232'}]",['http://benzingafintechawards.com/vote-2017/newshedge/'],[],0,0,0,['bzawards'],[],https://twitter.com/NewsHedge/status/847799731447312384,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.47529E+17,8.47529E+17,2017-03-31 00:51:42 IST,31-03-2017,00:51:42,530,2253557707,newshedge,NewsHedge,,"I voted NewsHedge for Best Analysis Platform, Tool, or App. Cast your vote for the #BZAwards today!  https://t.co/8VSoUREiEv via @BZAwards",en,"[{'screen_name': 'bzawards', 'name': 'bz fintech awards', 'id': '2840319232'}]",['http://benzingafintechawards.com/vote-2017/newshedge/'],[],0,0,0,['bzawards'],[],https://twitter.com/NewsHedge/status/847529284768018434,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.431E+17,8.431E+17,2017-03-18 19:32:43 IST,18-03-2017,19:32:43,530,2253557707,newshedge,NewsHedge,,"I voted NewsHedge for Best Analysis Platform, Tool, or App. Cast your vote for the #BZAwards today!  https://t.co/8VSoUREiEv via @BZAwards",en,"[{'screen_name': 'bzawards', 'name': 'bz fintech awards', 'id': '2840319232'}]",['http://benzingafintechawards.com/vote-2017/newshedge/'],[],0,0,1,['bzawards'],[],https://twitter.com/NewsHedge/status/843100357156913155,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.42854E+17,8.42854E+17,2017-03-18 03:12:09 IST,18-03-2017,03:12:09,530,2253557707,newshedge,NewsHedge,,"I voted NewsHedge for Best Analysis Platform, Tool, or App. Cast your vote for the #BZAwards today!  https://t.co/8VSoURVTw3 via @BZAwards",en,"[{'screen_name': 'bzawards', 'name': 'bz fintech awards', 'id': '2840319232'}]",['http://benzingafintechawards.com/vote-2017/newshedge/'],[],0,0,0,['bzawards'],[],https://twitter.com/NewsHedge/status/842853590079172608,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.39921E+17,8.39921E+17,2017-03-10 00:58:50 IST,10-03-2017,00:58:50,530,2253557707,newshedge,NewsHedge,,#Chatbots and #Trading Learn more from our interview with  https://t.co/X99D0Ks8wB  https://t.co/wugnsjUdQu,en,[],"['http://TalkMarkets.com', 'https://twitter.com/SpeakingAlgos/status/839919819105390593']",[],0,0,0,"['chatbots', 'trading']",[],https://twitter.com/NewsHedge/status/839920934643462144,FALSE,https://twitter.com/SpeakingAlgos/status/839919819105390593,0,,,,,,,,[],,,,,Positive,Hope,,,
8.39505E+17,8.39505E+17,2017-03-08 21:27:08 IST,08-03-2017,21:27:08,530,2253557707,newshedge,NewsHedge,,"Hello traders. If you're using our platform to receive market alerts, our #chatbot audio is down for today. We're working on the issue now.",en,[],[],[],0,0,0,['chatbot'],[],https://twitter.com/NewsHedge/status/839505271584083969,FALSE,,0,,,,,,,,[],,,,,Positive,Excitement,,,
8.316E+17,8.316E+17,2017-02-15 01:54:03 IST,15-02-2017,01:54:03,530,2253557707,newshedge,NewsHedge,,$PG spiked lower on very heavy trading volume.,en,[],[],[],0,0,0,[],['pg'],https://twitter.com/NewsHedge/status/831599909140885504,FALSE,,0,,,,,,,,[],,,,,Neutral,Fear,,,
