id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385699899992416262,1385699899992416262,2021-04-24 02:29:35 IST,2021-04-24,02:29:35,+0530,22948692,local4news,Local 4 WDIV Detroit,,"The Johnson &amp; Johnson vaccine pause has been lifted and its use will resume in the United States, the CDC decided Friday.  https://t.co/bvQD6ks81F",en,[],['https://www.clickondetroit.com/news/national/2021/04/23/cdc-panel-votes-to-lift-johnson-johnson-pause-use-resumes/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,0,[],[],https://twitter.com/Local4News/status/1385699899992416262,False,,0,,,,,,,,[],,,,
1385695214610825218,1385695214610825218,2021-04-24 02:10:58 IST,2021-04-24,02:10:58,+0530,22948692,local4news,Local 4 WDIV Detroit,,"We finally got temperatures back to seasonal norms, but can we keep it going for the weekend?  https://t.co/i24x8oYhuj",en,[],['https://www.clickondetroit.com/weather/2021/04/23/metro-detroit-weather-breaking-down-rain-chances-for-this-weekend/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,7,[],[],https://twitter.com/Local4News/status/1385695214610825218,False,,0,,,,,,,,[],,,,
1385692073010122756,1385692073010122756,2021-04-24 01:58:29 IST,2021-04-24,01:58:29,+0530,22948692,local4news,Local 4 WDIV Detroit,,And it’s pretty much the perfect time of year! 🧺  https://t.co/rCRU4xh7dZ,en,[],['https://urldefense.proofpoint.com/v2/url?u=https-3A__chevydetroit.com_in-2Dthe-2Dd_life_grab-2Da-2Dbasket-2Dand-2Dgo-2Dto-2Dthese-2Dmetro-2Ddetroit-2Dpicnic-2Dspots-3Futm-5Fsource-3DWDIV-2DFB-26utm-5Fmedium-3DITD-2DPost-26utm-5Fcampaign-3DWDIV-2DSP&d=DwMFaQ&c=IdVe9qYOlLvEHvfqFspkfxuOEuSulhj36o8Ug6l7Bq4&r=eUZ3pN5umsY-_Zrtg_UUqw&m=Hc3SVUy2HJ6V8w6JHQla7OrEzMAR3M2phNi5_AquRNI&s=bOkapbe_g2RyNQaoJ78NWVuUMmJV8PRg3Y9q3OO81ek&e=&utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,0,[],[],https://twitter.com/Local4News/status/1385692073010122756,False,,0,,,,,,,,[],,,,
1385686419667136522,1385686419667136522,2021-04-24 01:36:01 IST,2021-04-24,01:36:01,+0530,22948692,local4news,Local 4 WDIV Detroit,,Calls mount for video release in fatal shooting by deputies  https://t.co/izm2HoQXJ3,en,[],['https://www.clickondetroit.com/news/national/2021/04/23/calls-mount-for-video-release-in-fatal-shooting-by-deputies/?utm_campaign=snd-autopilot&utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],1,1,0,[],[],https://twitter.com/Local4News/status/1385686419667136522,False,,0,,,,,,,,[],,,,
1385685225712275466,1385685225712275466,2021-04-24 01:31:17 IST,2021-04-24,01:31:17,+0530,22948692,local4news,Local 4 WDIV Detroit,,"FYI: Today's COVID-19 data update is delayed. ""Data is delayed today do to technical difficulty. Updates will be made as soon as available,"" a note reads on the state's COVID-19 data website. We'll keep you posted.",en,[],[],[],0,1,1,[],[],https://twitter.com/Local4News/status/1385685225712275466,False,,0,,,,,,,,[],,,,
1385670950579052546,1385670950579052546,2021-04-24 00:34:33 IST,2021-04-24,00:34:33,+0530,22948692,local4news,Local 4 WDIV Detroit,,"A 31-year-old man was shot and killed Friday on Detroit’s west side, police said.  https://t.co/inLB2rcIq0",en,[],['https://www.clickondetroit.com/news/local/2021/04/23/31-year-old-man-shot-killed-on-detroits-west-side-police-say/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],1,0,1,[],[],https://twitter.com/Local4News/status/1385670950579052546,False,,0,,,,,,,,[],,,,
1385669338775052294,1385669338775052294,2021-04-24 00:28:09 IST,2021-04-24,00:28:09,+0530,22948692,local4news,Local 4 WDIV Detroit,,Attention peony enthusiasts. 🌸   https://t.co/dXxpPVIQ1A,en,[],['https://www.clickondetroit.com/all-about-ann-arbor/2021/04/23/university-of-michigans-famed-peony-garden-in-ann-arbor-will-reopen-this-spring/#//?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],3,3,3,[],[],https://twitter.com/Local4News/status/1385669338775052294,False,,0,,,,,,,,[],,,,
1385667466492354566,1385667466492354566,2021-04-24 00:20:43 IST,2021-04-24,00:20:43,+0530,22948692,local4news,Local 4 WDIV Detroit,,Update: I-94 in Van Buren Township has reopened.  https://t.co/Qu6tryx8Tc,en,[],['https://www.clickondetroit.com/news/local/2021/04/23/investigation-into-shooting-on-i-94-closes-down-eastbound-lanes-in-van-buren-township/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,1,3,[],[],https://twitter.com/Local4News/status/1385667466492354566,False,,0,,,,,,,,[],,,,
1385663581291753476,1385663581291753476,2021-04-24 00:05:16 IST,2021-04-24,00:05:16,+0530,22948692,local4news,Local 4 WDIV Detroit,,"An armed Waterford Township man accused of assaulting his mother barricaded himself inside a home for hours with another woman while heavily armed authorities surrounded the building, police said.  https://t.co/gXzTxXsk7g",en,[],['https://www.clickondetroit.com/news/local/2021/04/23/waterford-man-causes-hours-long-standoff-with-heavily-armed-officials-after-assaulting-mother/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,2,[],[],https://twitter.com/Local4News/status/1385663581291753476,False,,0,,,,,,,,[],,,,
1385662166515306498,1385662166515306498,2021-04-23 23:59:39 IST,2021-04-23,23:59:39,+0530,22948692,local4news,Local 4 WDIV Detroit,,"More than 400 Moderna doses will be available to anyone 18 and older at a drive-thru COVID-19 vaccine clinic in Sterling Heights on Monday, April 26.  https://t.co/0zATz5qWIT",en,[],['https://www.clickondetroit.com/news/local/2021/04/23/drive-thru-covid-vaccines-open-to-18-at-lakeside-mall-on-april-26/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],1,4,6,[],[],https://twitter.com/Local4News/status/1385662166515306498,False,,0,,,,,,,,[],,,,
1385654151007375360,1385654151007375360,2021-04-23 23:27:48 IST,2021-04-23,23:27:48,+0530,22948692,local4news,Local 4 WDIV Detroit,,The investigation has closed the eastbound lanes of I-94 from Belleville to Haggerty roads.   https://t.co/Qu6tryx8Tc,en,[],['https://www.clickondetroit.com/news/local/2021/04/23/investigation-into-shooting-on-i-94-closes-down-eastbound-lanes-in-van-buren-township/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,3,1,[],[],https://twitter.com/Local4News/status/1385654151007375360,False,,0,,,,,,,,[],,,,
1385639613100929025,1385639613100929025,2021-04-23 22:30:02 IST,2021-04-23,22:30:02,+0530,22948692,local4news,Local 4 WDIV Detroit,,In-person summer camps are still pending university approval.   https://t.co/1gjjd9LLiw,en,[],['https://www.clickondetroit.com/all-about-ann-arbor/2021/04/23/registration-opens-for-university-of-michigan-museum-of-natural-historys-virtual-summer-camp/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,0,[],[],https://twitter.com/Local4News/status/1385639613100929025,False,,0,,,,,,,,[],,,,
1385637440321372160,1385637440321372160,2021-04-23 22:21:24 IST,2021-04-23,22:21:24,+0530,22948692,local4news,Local 4 WDIV Detroit,,"A Michigan mother has gone missing with three of her children after a court ordered them to be removed from her custody, officials said.  https://t.co/8Teul20Yv0",en,[],['https://www.clickondetroit.com/news/local/2021/04/23/michigan-mom-missing-with-children-after-court-order-to-remove-them-from-her-custody/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],2,7,4,[],[],https://twitter.com/Local4News/status/1385637440321372160,False,,0,,,,,,,,[],,,,
1385634781497630725,1385634781497630725,2021-04-23 22:10:50 IST,2021-04-23,22:10:50,+0530,22948692,local4news,Local 4 WDIV Detroit,,The Michigan School of Psychology has officially opened a clinic meant to offer mental health care at a minimal cost to people in Metro Detroit.  https://t.co/52zl776e8W,en,[],['https://www.clickondetroit.com/health/2021/04/23/metro-detroit-clinic-offers-minimal-cost-mental-health-support-to-those-in-need/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],1,8,31,[],[],https://twitter.com/Local4News/status/1385634781497630725,False,,0,,,,,,,,[],,,,
1385627031065530370,1385627031065530370,2021-04-23 21:40:02 IST,2021-04-23,21:40:02,+0530,22948692,local4news,Local 4 WDIV Detroit,,Caitlyn Jenner says she will run for governor of California  https://t.co/JR2EanRryT,en,[],['https://www.clickondetroit.com/news/politics/2021/04/23/caitlyn-jenner-says-she-will-run-for-governor-of-california/?utm_campaign=snd-autopilot&utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],11,1,4,[],[],https://twitter.com/Local4News/status/1385627031065530370,False,,0,,,,,,,,[],,,,
1385611644559036421,1385611644559036421,2021-04-23 20:38:54 IST,2021-04-23,20:38:54,+0530,22948692,local4news,Local 4 WDIV Detroit,,The Pets Edition of Vote 4 The Best is now open for you to nominate your favorite local businesses! #V4TBpets  https://t.co/ILAjXOvTYL,en,[],['https://www.clickondetroit.com/vote-4-the-best/2021/04/23/vote-4-the-best-pets-nominate-here/#//?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wdiv4'],[],0,0,0,['v4tbpets'],[],https://twitter.com/Local4News/status/1385611644559036421,False,,0,,,,,,,,[],,,,
