id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385657118338977792,1385657118338977792,2021-04-23 23:39:35 IST,2021-04-23,23:39:35,+0530,69600690,luxresearch,Lux Research Inc.,,"Our new report forecasts the adoption of conventional and advanced recycling, bio-based plastics, and alternative materials and quantifies the impact of bans and other regulations to predict the future of sustainable plastics. | Learn more:  https://t.co/Nq8q34etCf #sustainability  https://t.co/sziTSw3Bt3",en,[],['https://lux.works/3erZfvI'],['https://pbs.twimg.com/media/EzrXzg3XoAAq0aP.jpg'],0,0,1,['sustainability'],[],https://twitter.com/LuxResearch/status/1385657118338977792,False,,1,https://pbs.twimg.com/media/EzrXzg3XoAAq0aP.jpg,,,,,,,[],,,,
1385521243567370240,1385521243567370240,2021-04-23 14:39:40 IST,2021-04-23,14:39:40,+0530,69600690,luxresearch,Lux Research Inc.,,"On April 28th, Lux’s Senior Analyst, Nardev Ramanathan will be joining the panel discussion on Health-Tech Landscape in Asia at Asia Healthcare 2021. Find out more:  https://t.co/5JSO2D9tuT @Nardev_R  https://t.co/g78SNFwhRq",en,"[{'screen_name': 'nardev_r', 'name': 'nardev ramanathan', 'id': '249678660'}]",['https://lux.works/2RMVM3g'],['https://pbs.twimg.com/media/EzpcOk8WQAAuzjn.jpg'],0,0,0,[],[],https://twitter.com/LuxResearch/status/1385521243567370240,False,,1,https://pbs.twimg.com/media/EzpcOk8WQAAuzjn.jpg,,,,,,,[],,,,
1385385176692404224,1385385176692404224,2021-04-23 05:38:59 IST,2021-04-23,05:38:59,+0530,69600690,luxresearch,Lux Research Inc.,,"In 2030, 15% of plastics will be sustainable, fueled primarily by a tripling of global plastics recycling along with strong regulatory action that bans the most problematic types of plastic products. Read the press release:  https://t.co/OAXDxuIflP #LuxTake #news #EarthDay",en,[],['https://lux.works/32EfK2p'],[],0,0,0,"['luxtake', 'news', 'earthday']",[],https://twitter.com/LuxResearch/status/1385385176692404224,False,,0,,,,,,,,[],,,,
1385335771096289288,1385335771096289288,2021-04-23 02:22:40 IST,2021-04-23,02:22:40,+0530,69600690,luxresearch,Lux Research Inc.,,"Our new report, “The Sustainable Plastics Roadmap: Recycling, Bioplastics, and Alternatives,” predicts the state of plastics sustainability over the next decade. Download your copy of the executive summary to learn more:  https://t.co/WDmBsWfvSp #EarthDay #LuxTake #research  https://t.co/zCO8T1IbXT",en,[],['https://lux.works/3xgHecz'],['https://pbs.twimg.com/media/Ezmzir_XIAMP6zx.jpg'],0,1,1,"['earthday', 'luxtake', 'research']",[],https://twitter.com/LuxResearch/status/1385335771096289288,False,,1,https://pbs.twimg.com/media/Ezmzir_XIAMP6zx.jpg,,,,,,,[],,,,
1385327327433957377,1385305535596089346,2021-04-23 01:49:07 IST,2021-04-23,01:49:07,+0530,69600690,luxresearch,Lux Research Inc.,,"@highpromonthly Thank you for sharing, and happy #EarthDay !",en,[],[],[],0,0,1,['earthday'],[],https://twitter.com/LuxResearch/status/1385327327433957377,False,,0,,,,,,,,"[{'screen_name': 'highpromonthly', 'name': 'High-Profile', 'id': '66376921'}]",,,,
1385294225865072641,1385294225865072641,2021-04-22 23:37:35 IST,2021-04-22,23:37:35,+0530,69600690,luxresearch,Lux Research Inc.,,"To provide a comprehensive overview of the plastic pyrolysis landscape, we leveraged various Lux data tools alongside our existing coverage to compile a list of relevant organizations. Learn more:  https://t.co/0qKeNsYmOl #innovation #EarthDay  https://t.co/j1cG6x2erq",en,[],['https://lux.works/3sEEpyx'],['https://pbs.twimg.com/media/EzmNwa_XMAEIhfV.jpg'],0,0,0,"['innovation', 'earthday']",[],https://twitter.com/LuxResearch/status/1385294225865072641,False,,1,https://pbs.twimg.com/media/EzmNwa_XMAEIhfV.jpg,,,,,,,[],,,,
1385260842330083342,1385260842330083342,2021-04-22 21:24:56 IST,2021-04-22,21:24:56,+0530,69600690,luxresearch,Lux Research Inc.,,"We want to know, what's your biggest environmental concern? #EarthDay",en,[],[],[],0,2,0,['earthday'],[],https://twitter.com/LuxResearch/status/1385260842330083342,False,,0,,,,,,,,[],,,,
1385250108292452361,1385250108292452361,2021-04-22 20:42:17 IST,2021-04-22,20:42:17,+0530,69600690,luxresearch,Lux Research Inc.,,"Apple to support its decarbonization efforts by building a large-scale storage project. As companies continue to commit to carbon reductions, we'll see more renewables-plus-storage projects supporting the decarbonization of their sectors. Learn more:  https://t.co/UxW0G8Iry5  https://t.co/652nOegs9b",en,[],['https://lux.works/3gr3fQ1'],['https://pbs.twimg.com/media/EzlloggWYAgnMY3.jpg'],0,0,1,[],[],https://twitter.com/LuxResearch/status/1385250108292452361,False,,1,https://pbs.twimg.com/media/EzlloggWYAgnMY3.jpg,,,,,,,[],,,,
1385224631200661506,1385148976631009282,2021-04-22 19:01:02 IST,2021-04-22,19:01:02,+0530,69600690,luxresearch,Lux Research Inc.,,@wef @ggequilibrium @tiff_hua the future of threads.,en,[],[],[],0,0,0,[],[],https://twitter.com/LuxResearch/status/1385224631200661506,False,,0,,,,,,,,"[{'screen_name': 'wef', 'name': 'World Economic Forum', 'id': '5120691'}, {'screen_name': 'ggequilibrium', 'name': 'Gucci Equilibrium', 'id': '1158918746'}]",,,,
1385208962732204032,1385208962732204032,2021-04-22 17:58:47 IST,2021-04-22,17:58:47,+0530,69600690,luxresearch,Lux Research Inc.,,"In 2030, 15% of #plastics will be sustainable, fueled primarily by a tripling of global plastics #recycling along with strong regulatory action that bans the most problematic types of plastic products. Read the press release:  https://t.co/3k52rk24sn #LuxTake #EarthDay  https://t.co/LaNcqjtBzi",en,[],['https://lux.works/3sIsqzM'],['https://pbs.twimg.com/media/EzlANXdWQAEeb1t.jpg'],1,0,2,"['plastics', 'recycling', 'luxtake', 'earthday']",[],https://twitter.com/LuxResearch/status/1385208962732204032,False,,1,https://pbs.twimg.com/media/EzlANXdWQAEeb1t.jpg,,,,,,,[],,,,
1385208618006589441,1385208618006589441,2021-04-22 17:57:25 IST,2021-04-22,17:57:25,+0530,69600690,luxresearch,Lux Research Inc.,,Happy Earth Day from all of us here at Lux! What sustainability innovations and projects are you most excited about right now? We want to know. 🌏💚🌊 #EarthDay2021  https://t.co/WDneuGL8Dl,en,[],[],['https://pbs.twimg.com/media/Ezk_5bpWUAMPqdX.jpg'],0,0,2,['earthday2021'],[],https://twitter.com/LuxResearch/status/1385208618006589441,False,,1,https://pbs.twimg.com/media/Ezk_5bpWUAMPqdX.jpg,,,,,,,[],,,,
1385071069049012224,1385071069049012224,2021-04-22 08:50:50 IST,2021-04-22,08:50:50,+0530,69600690,luxresearch,Lux Research Inc.,,"FiveT Hydrogen aims to raise €1 billion fund dedicated to green hydrogen; Plug Power and Baker Hughes are initial investment partners. Get the full #LuxTake from our Research Director, Yuan-Sheng Yu:  https://t.co/p391do46XF @808sAndInnovate  https://t.co/h92djRxtNb",en,"[{'screen_name': '808sandinnovate', 'name': 'yuan-sheng yu', 'id': '794428198683447297'}]",['https://lux.works/3xedEo6'],['https://pbs.twimg.com/media/EzjCy-0WQAEYa2p.jpg'],0,1,2,['luxtake'],[],https://twitter.com/LuxResearch/status/1385071069049012224,False,,1,https://pbs.twimg.com/media/EzjCy-0WQAEYa2p.jpg,,,,,,,[],,,,
1384886417474609153,1384886417474609153,2021-04-21 20:37:06 IST,2021-04-21,20:37:06,+0530,69600690,luxresearch,Lux Research Inc.,,"Tomorrow, our Senior Research Associate, Chloe Herrera, will be presenting on Next Gen Lithium-ion Battery Manufacturing at The Singapore Battery Consortium’s webinar, “Battery Manufacturing Solutions."" Learn more &amp; register for this free event:  https://t.co/tCt3j4eHsZ  https://t.co/c9b1qp5woV",en,[],['https://lux.works/2QKrLk0'],['https://pbs.twimg.com/media/Ezga26VWQAEBfdw.jpg'],0,1,2,[],[],https://twitter.com/LuxResearch/status/1384886417474609153,False,,1,https://pbs.twimg.com/media/Ezga26VWQAEBfdw.jpg,,,,,,,[],,,,
1384612262527262722,1384595939411730436,2021-04-21 02:27:42 IST,2021-04-21,02:27:42,+0530,69600690,luxresearch,Lux Research Inc.,,@drvolts @808sAndInnovate thoughts?,en,[],[],[],1,0,0,[],[],https://twitter.com/LuxResearch/status/1384612262527262722,False,,0,,,,,,,,"[{'screen_name': 'drvolts', 'name': 'David Roberts', 'id': '22737278'}]",,,,
1384069631657189377,1384069631657189377,2021-04-19 14:31:29 IST,2021-04-19,14:31:29,+0530,69600690,luxresearch,Lux Research Inc.,,"This Thursday, our Senior Research Associate, Chloe Herrera, will be presenting on Next Gen Lithium-ion Battery Manufacturing at The Singapore Battery Consortium’s webinar, “Battery Manufacturing Solutions."" Learn more &amp; register for this free event:  https://t.co/1PQAzaC4cP #🔋",en,[],['https://lux.works/3trpEQM'],[],0,0,0,[],[],https://twitter.com/LuxResearch/status/1384069631657189377,False,,0,,,,,,,,[],,,,
1383097973538758660,1383097310423449610,2021-04-16 22:10:28 IST,2021-04-16,22:10:28,+0530,69600690,luxresearch,Lux Research Inc.,,"Companies need to have their technology and product development teams work closely with marketing teams to accurately represent new innovations and avoid the pitfalls of #greenwashing. Learn more from our expert,  @DrishtiMasand:  https://t.co/kFXQXSNXZT",en,"[{'screen_name': 'drishtimasand', 'name': 'drishti masand', 'id': '1175188755738693632'}]",['https://lux.works/32lpfU6'],[],0,0,1,['greenwashing'],[],https://twitter.com/LuxResearch/status/1383097973538758660,False,,0,,,,,,,,[],,,,
1383097575922880522,1383097310423449610,2021-04-16 22:08:53 IST,2021-04-16,22:08:53,+0530,69600690,luxresearch,Lux Research Inc.,,"Social media is a powerful tool for quick marketing and directly connecting with consumers, but it has also proven to be a faster mode for consumers to berate brands.",en,[],[],[],1,0,0,[],[],https://twitter.com/LuxResearch/status/1383097575922880522,False,,0,,,,,,,,[],,,,
1383097490233290752,1383097310423449610,2021-04-16 22:08:33 IST,2021-04-16,22:08:33,+0530,69600690,luxresearch,Lux Research Inc.,,"The greater issue this example highlights is that once brands are caught #greenwashing, it is extremely difficult for them to recover and regain consumer trust and loyalty.",en,[],[],[],1,0,0,['greenwashing'],[],https://twitter.com/LuxResearch/status/1383097490233290752,False,,0,,,,,,,,[],,,,
1383097310423449610,1383097310423449610,2021-04-16 22:07:50 IST,2021-04-16,22:07:50,+0530,69600690,luxresearch,Lux Research Inc.,,"""We weren't trying to greenwash!"" Infamous words from another ‘sustainable’ solution gone wrong. Innisfree was forced to clarify that its recent ""paper bottle"" packaging was actually a paper label innovation &amp; the reference to a paper bottle was misused.  https://t.co/1mLetPXYsk  https://t.co/qQtkOhsJRJ",en,[],['https://lux.works/3agXiRO'],['https://pbs.twimg.com/media/EzG_rGTXAAA3uPY.jpg'],1,4,4,[],[],https://twitter.com/LuxResearch/status/1383097310423449610,False,,1,https://pbs.twimg.com/media/EzG_rGTXAAA3uPY.jpg,,,,,,,[],,,,
1382758822155067411,1382758822155067411,2021-04-15 23:42:48 IST,2021-04-15,23:42:48,+0530,69600690,luxresearch,Lux Research Inc.,,"Our expert, Chloe Herrera, will be presenting on Next Gen Lithium-ion Battery Manufacturing at The Singapore Battery Consortium’s webinar, “Battery Manufacturing Solutions” on Apr 2. This event is free to attend. Learn more &amp; register:  https://t.co/WesAooNVE4 #energytwitter",en,[],['https://lux.works/3siPDbH'],[],0,0,0,['energytwitter'],[],https://twitter.com/LuxResearch/status/1382758822155067411,False,,0,,,,,,,,[],,,,
