id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385636868356820993,1385636868356820993,2021-04-23 22:19:07 IST,2021-04-23,22:19:07,+0530,16581604,mikebloomberg,Mike Bloomberg,,".@SecYellen, @Lagarde, &amp; @McGuinnessEU are exemplary climate leaders. I'm grateful they were able to join us to share their insights at today's event, and for their support of @FSB_TCFD climate reporting guidelines.  https://t.co/ogkIEyAta6",en,"[{'screen_name': 'secyellen', 'name': 'secretary janet yellen', 'id': '1333171793201225728'}, {'screen_name': 'lagarde', 'name': 'christine lagarde', 'id': '304909941'}, {'screen_name': 'mcguinnesseu', 'name': 'mairead mcguinness', 'id': '166102184'}, {'screen_name': 'fsb_tcfd', 'name': 'tcfd', 'id': '4775391377'}]",['https://bloom.bg/2QpDEw0'],[],5,14,94,[],[],https://twitter.com/MikeBloomberg/status/1385636868356820993,False,,0,,,,,,,,[],,,,
1385606585129521155,1385606450282733571,2021-04-23 20:18:47 IST,2021-04-23,20:18:47,+0530,16581604,mikebloomberg,Mike Bloomberg,,"Cities and businesses hold the key to defeating climate change. And the more the federal government does to help them take action, the faster we can make progress.",en,[],[],[],4,13,124,[],[],https://twitter.com/MikeBloomberg/status/1385606585129521155,False,,0,,,,,,,,[],,,,
1385606450282733571,1385606450282733571,2021-04-23 20:18:15 IST,2021-04-23,20:18:15,+0530,16581604,mikebloomberg,Mike Bloomberg,,Thank you to @POTUS for organizing the #LeadersClimateSummit. We have a chance as a country to demonstrate what strong leadership looks like—which isn't only about setting ambitious goals. It's also about working as a team to meet them.  https://t.co/PIdKLjLo2k,en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]",[],[],15,39,318,['leadersclimatesummit'],[],https://twitter.com/MikeBloomberg/status/1385606450282733571,False,,1,https://pbs.twimg.com/media/EzqprjvX0AcNGOu.jpg,,,,,,,[],,,,
1385362350253948931,1385362350253948931,2021-04-23 04:08:17 IST,2021-04-23,04:08:17,+0530,16581604,mikebloomberg,Mike Bloomberg,,"At @bloombergdotorg, we’re big believers in the power of public art to inspire action &amp; build community — &amp; that’s exactly what @CityofCamdenGov is doing. The city is reclaiming public spaces &amp; revitalizing them. We're glad to support this inspiring work.  https://t.co/rE54gn3J9I  https://t.co/oZAD1HfoqD",en,"[{'screen_name': 'bloombergdotorg', 'name': 'bloomberg philanthropies', 'id': '370808273'}, {'screen_name': 'cityofcamdengov', 'name': 'city of camden gov', 'id': '353687751'}]",['http://www.anewviewcamden.com/'],"['https://pbs.twimg.com/media/EznLIrBX0ActRDK.jpg', 'https://pbs.twimg.com/media/EznLIsKX0AEOxhh.jpg', 'https://pbs.twimg.com/media/EznLItRX0AMyR74.jpg']",16,25,154,[],[],https://twitter.com/MikeBloomberg/status/1385362350253948931,False,,1,https://pbs.twimg.com/media/EznLIrBX0ActRDK.jpg,,,,,,,[],,,,
1385236896532553730,1385236896532553730,2021-04-22 19:49:47 IST,2021-04-22,19:49:47,+0530,16581604,mikebloomberg,Mike Bloomberg,,My statement on the Biden-Harris administration's new climate goal:  https://t.co/20OkIMXwD8 #EarthDay  https://t.co/Sm6Wof7GUd,en,[],['https://mikebloom.bg/3tHNwj3'],['https://pbs.twimg.com/media/EzlYYT8WUAE2wku.jpg'],20,61,243,['earthday'],[],https://twitter.com/MikeBloomberg/status/1385236896532553730,False,,1,https://pbs.twimg.com/media/EzlYYT8WUAE2wku.jpg,,,,,,,[],,,,
1385006724197896193,1385006724197896193,2021-04-22 04:35:09 IST,2021-04-22,04:35:09,+0530,16581604,mikebloomberg,Mike Bloomberg,,"Thanks to leadership from @TimmermansEU, @VDombrovskis &amp; @McGuinnessEU, the EU's new climate law and sustainable finance package will help reduce carbon emissions towards a net-zero economy.  Nations must join forces to go farther and faster at @POTUS' #ClimateLeadersSummit.",en,"[{'screen_name': 'timmermanseu', 'name': 'frans timmermans', 'id': '1391776140'}, {'screen_name': 'vdombrovskis', 'name': 'valdis dombrovskis', 'id': '42183750'}, {'screen_name': 'mcguinnesseu', 'name': 'mairead mcguinness', 'id': '166102184'}, {'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]",[],[],11,43,141,['climateleaderssummit'],[],https://twitter.com/MikeBloomberg/status/1385006724197896193,False,https://twitter.com/BloombergNRG/status/1384804121706958848,0,,,,,,,,[],,,,
1384991469845557248,1384991469845557248,2021-04-22 03:34:32 IST,2021-04-22,03:34:32,+0530,16581604,mikebloomberg,Mike Bloomberg,,"For four years, when Washington was trying to drag us backward, mayors stepped up to lead on climate change. Now, the federal government needs to empower local leaders, so they can build on this progress reducing emissions and creating jobs.  https://t.co/qJLzGXnBoE",en,[],['https://reut.rs/3dCnGrm'],[],5,24,202,[],[],https://twitter.com/MikeBloomberg/status/1384991469845557248,False,,0,,,,,,,,[],,,,
1384973872706035719,1384973872706035719,2021-04-22 02:24:37 IST,2021-04-22,02:24:37,+0530,16581604,mikebloomberg,Mike Bloomberg,,"Fighting climate change is good for our planet and good for business — and, today, @SecYellen demonstrated incredible leadership in support of this idea by embracing @FSB_TCFD. Looking forward to the work that follows.  https://t.co/JmlUA6w7g4",en,"[{'screen_name': 'secyellen', 'name': 'secretary janet yellen', 'id': '1333171793201225728'}, {'screen_name': 'fsb_tcfd', 'name': 'tcfd', 'id': '4775391377'}]",['https://bloom.bg/3apHuMD'],[],6,31,151,[],[],https://twitter.com/MikeBloomberg/status/1384973872706035719,False,,0,,,,,,,,[],,,,
1384938698882617346,1384938698882617346,2021-04-22 00:04:51 IST,2021-04-22,00:04:51,+0530,16581604,mikebloomberg,Mike Bloomberg,,"We’re in a pivotal moment ahead of #COP26, and launching the Glasgow Financial Alliance for Net Zero is a critical step to speed the #RacetoZero carbon emissions.  This progress wouldn't be possible without the leadership of @MarkJCarney, @TopNigel and the financial sector.",en,"[{'screen_name': 'markjcarney', 'name': 'mark carney', 'id': '192272849'}, {'screen_name': 'topnigel', 'name': 'nigel topping', 'id': '263246364'}]",[],[],8,26,122,"['cop26', 'racetozero']",[],https://twitter.com/MikeBloomberg/status/1384938698882617346,False,https://twitter.com/MarkJCarney/status/1384842654853308421,0,,,,,,,,[],,,,
1384628470739836928,1384628470739836928,2021-04-21 03:32:07 IST,2021-04-21,03:32:07,+0530,16581604,mikebloomberg,Mike Bloomberg,,"The jury has spoken, but this does not close the case on the life of George Floyd. The work of building a more racially equitable and just nation is up to all of us - and I remain fully committed to it.",en,[],[],[],127,185,2265,[],[],https://twitter.com/MikeBloomberg/status/1384628470739836928,False,,0,,,,,,,,[],,,,
