id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385670187123453958,1385670187123453958,2021-04-24 00:31:31 IST,2021-04-24,00:31:31,+0530,203652149,sjosephburns,Steve Burns,,Never Catch A Falling Knife  https://t.co/gFFUMqWU7R,en,[],['https://www.newtraderu.com/2020/04/30/never-catch-a-falling-knife/'],[],0,7,40,[],[],https://twitter.com/SJosephBurns/status/1385670187123453958,False,,0,,,,,,,,[],,,,
1385644167091658753,1385644167091658753,2021-04-23 22:48:08 IST,2021-04-23,22:48:08,+0530,203652149,sjosephburns,Steve Burns,,Stop buying things with monthly payments that trap you in your current job.,en,[],[],[],13,38,377,[],[],https://twitter.com/SJosephBurns/status/1385644167091658753,False,,0,,,,,,,,[],,,,
1385643860626485249,1385643860626485249,2021-04-23 22:46:55 IST,2021-04-23,22:46:55,+0530,203652149,sjosephburns,Steve Burns,,Retirement in the 21st century doesn’t mean to stop working.   The new retirement is to stop working a job under a boss.  It means financial independence to work on whatever you want.,en,[],[],[],9,73,333,[],[],https://twitter.com/SJosephBurns/status/1385643860626485249,False,,0,,,,,,,,[],,,,
1385642126562795520,1385642126562795520,2021-04-23 22:40:01 IST,2021-04-23,22:40:01,+0530,203652149,sjosephburns,Steve Burns,,👀 🕷📈📉,und,[],[],[],0,2,13,[],[],https://twitter.com/SJosephBurns/status/1385642126562795520,False,https://twitter.com/trendspider/status/1385641563108388873,0,,,,,,,,[],,,,
1385641728829534212,1385641728829534212,2021-04-23 22:38:26 IST,2021-04-23,22:38:26,+0530,203652149,sjosephburns,Steve Burns,,🔥👀🔥  https://t.co/PbuZBL5QJp,und,[],[],['https://pbs.twimg.com/media/EzrJzvEWUAsJ8Hf.jpg'],13,8,57,[],[],https://twitter.com/SJosephBurns/status/1385641728829534212,False,,1,https://pbs.twimg.com/media/EzrJzvEWUAsJ8Hf.jpg,,,,,,,[],,,,
1385639289518759942,1385639289518759942,2021-04-23 22:28:45 IST,2021-04-23,22:28:45,+0530,203652149,sjosephburns,Steve Burns,,"Everyone can make money trading, few can keep it and grow it long term.",en,[],[],[],4,39,277,[],[],https://twitter.com/SJosephBurns/status/1385639289518759942,False,,0,,,,,,,,[],,,,
1385639144223805461,1385637898310070275,2021-04-23 22:28:10 IST,2021-04-23,22:28:10,+0530,203652149,sjosephburns,Steve Burns,,"@AbhijeetRath7 @LoneStockTrader Everyone can make money trading, few can keep it long.",en,[],[],[],0,0,2,[],[],https://twitter.com/SJosephBurns/status/1385639144223805461,False,,0,,,,,,,,"[{'screen_name': 'AbhijeetRath7', 'name': 'Abhijeet Rath', 'id': '1385611510043475972'}, {'screen_name': 'LoneStockTrader', 'name': 'Lone Stock Trader', 'id': '780035775672913920'}]",,,,
1385638366704807945,1385638366704807945,2021-04-23 22:25:05 IST,2021-04-23,22:25:05,+0530,203652149,sjosephburns,Steve Burns,,Common Mistakes in Technical Analysis  https://t.co/1zW5k9aBx4,en,[],['https://www.newtraderu.com/2020/04/18/common-mistakes-in-technical-analysis/'],[],0,11,28,[],[],https://twitter.com/SJosephBurns/status/1385638366704807945,False,,0,,,,,,,,[],,,,
1385637898310070275,1385637898310070275,2021-04-23 22:23:13 IST,2021-04-23,22:23:13,+0530,203652149,sjosephburns,Steve Burns,,“Making money is not a sign that you’re getting better. Keeping it is.”   - @LoneStockTrader,en,"[{'screen_name': 'lonestocktrader', 'name': 'lone stock trader', 'id': '780035775672913920'}]",[],[],6,32,261,[],[],https://twitter.com/SJosephBurns/status/1385637898310070275,False,,0,,,,,,,,[],,,,
1385637374227517440,1385637374227517440,2021-04-23 22:21:08 IST,2021-04-23,22:21:08,+0530,203652149,sjosephburns,Steve Burns,,Grayscale Bitcoin Trust $GBTC Nears -19% Discount Amid Volatility. This is a discount to assets under management.  https://t.co/WR7Lu4c9ti: @TheStreet,en,"[{'screen_name': 'thestreet', 'name': 'thestreet', 'id': '15281391'}]",['https://www.thestreet.com/crypto/.amp/bitcoin/grayscale-bitcoin-trust-nears-19-percent-discount'],[],2,3,16,[],['gbtc'],https://twitter.com/SJosephBurns/status/1385637374227517440,False,,0,,,,,,,,[],,,,
1385626269002485761,1385574310753062914,2021-04-23 21:37:00 IST,2021-04-23,21:37:00,+0530,203652149,sjosephburns,Steve Burns,,@AbhijeetRath7 Profitable Trading Step by Step  https://t.co/aZhBPRVSBi,en,[],['https://www.newtraderu.com/2020/12/06/profitable-trading-step-by-step/'],[],2,0,1,[],[],https://twitter.com/SJosephBurns/status/1385626269002485761,False,,0,,,,,,,,"[{'screen_name': 'AbhijeetRath7', 'name': 'Abhijeet Rath', 'id': '1385611510043475972'}]",,,,
1385594851392172036,1385594851392172036,2021-04-23 19:32:10 IST,2021-04-23,19:32:10,+0530,203652149,sjosephburns,Steve Burns,,Is Technical Analysis BS?  https://t.co/lxHhzNjdFq,lt,[],['https://www.newtraderu.com/2020/04/28/is-technical-analysis-bs/'],[],4,3,28,[],[],https://twitter.com/SJosephBurns/status/1385594851392172036,False,,0,,,,,,,,[],,,,
1385588862525841415,1385588862525841415,2021-04-23 19:08:22 IST,2021-04-23,19:08:22,+0530,203652149,sjosephburns,Steve Burns,,Option Delta Explained  https://t.co/4UYEraJYls,en,[],['https://www.newtraderu.com/2021/04/23/option-delta-explained/'],[],0,2,15,[],[],https://twitter.com/SJosephBurns/status/1385588862525841415,False,,0,,,,,,,,[],,,,
1385579975709954052,1385579975709954052,2021-04-23 18:33:03 IST,2021-04-23,18:33:03,+0530,203652149,sjosephburns,Steve Burns,,"My favorite charting, backtesting, and scanning platform is @TrendSpider, it has everything a trader needs in one place:  https://t.co/D5i5dzzg0u   #NTUpartner  https://t.co/NRoM8QDR9A",en,"[{'screen_name': 'trendspider', 'name': 'trendspider', 'id': '969571031030616071'}]",['https://trendspider.com/?_go=steve64'],['https://pbs.twimg.com/media/EzqRC6vWYAUzDf6.png'],0,5,32,['ntupartner'],[],https://twitter.com/SJosephBurns/status/1385579975709954052,False,,1,https://pbs.twimg.com/media/EzqRC6vWYAUzDf6.png,,,,,,,[],,,,
1385578628633796608,1385578628633796608,2021-04-23 18:27:42 IST,2021-04-23,18:27:42,+0530,203652149,sjosephburns,Steve Burns,,I trade stocks and options not Forex. I recommend @austinsilverfx for those who want to learn to trade currencies.   #NTUpartner,en,"[{'screen_name': 'austinsilverfx', 'name': 'austin silver', 'id': '974443788973330432'}]",[],[],1,5,46,['ntupartner'],[],https://twitter.com/SJosephBurns/status/1385578628633796608,False,,0,,,,,,,,[],,,,
1385577933662793733,1385577933662793733,2021-04-23 18:24:56 IST,2021-04-23,18:24:56,+0530,203652149,sjosephburns,Steve Burns,,Market Wizards on Twitter:   @markminervini @basso_tom  @LarryDHite  @LindaRaschke  @rjparkerjr09  @opptrader1  @RayDalio @EdwardOThorp  @TradingTribe  @MARTINSCHWARTZ4,en,"[{'screen_name': 'markminervini', 'name': 'mark minervini', 'id': '105353526'}, {'screen_name': 'basso_tom', 'name': 'tom basso', 'id': '2308639909'}, {'screen_name': 'larrydhite', 'name': 'larry hite', 'id': '1149380702493970432'}, {'screen_name': 'lindaraschke', 'name': 'linda raschke', 'id': '23340242'}, {'screen_name': 'rjparkerjr09', 'name': 'jerry parker', 'id': '25882361'}, {'screen_name': 'opptrader1', 'name': 'the opportunistic trader', 'id': '1001541067689332736'}, {'screen_name': 'raydalio', 'name': 'ray dalio', 'id': '62603893'}, {'screen_name': 'edwardothorp', 'name': 'edward o. thorp', 'id': '806664930564796418'}, {'screen_name': 'tradingtribe', 'name': 'the trading tribe', 'id': '204597379'}, {'screen_name': 'martinschwartz4', 'name': 'martin schwartz', 'id': '407409843'}]",[],[],1,3,29,[],[],https://twitter.com/SJosephBurns/status/1385577933662793733,False,,0,,,,,,,,[],,,,
1385576878229049345,1385576878229049345,2021-04-23 18:20:45 IST,2021-04-23,18:20:45,+0530,203652149,sjosephburns,Steve Burns,,Top trading authors:  @Covel @jackschwager @markminervini  @vantharp  @TradeLikeCasino  @MarwoodJB @Rayner_Teo  @priceinaction,en,"[{'screen_name': 'covel', 'name': 'michael covel', 'id': '18069591'}, {'screen_name': 'jackschwager', 'name': 'jack schwager', 'id': '541253226'}, {'screen_name': 'markminervini', 'name': 'mark minervini', 'id': '105353526'}, {'screen_name': 'vantharp', 'name': 'van tharp', 'id': '52480432'}, {'screen_name': 'tradelikecasino', 'name': 'richard weissman', 'id': '410827049'}, {'screen_name': 'marwoodjb', 'name': 'joe marwood', 'id': '1672810880'}, {'screen_name': 'rayner_teo', 'name': 'rayner teo', 'id': '1677755504'}, {'screen_name': 'priceinaction', 'name': 'colibri trader', 'id': '2695448612'}]",[],[],2,12,42,[],[],https://twitter.com/SJosephBurns/status/1385576878229049345,False,,0,,,,,,,,[],,,,
