id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385601896862343170,1385601896862343170,2021-04-23 20:00:10 IST,2021-04-23,20:00:10,+0530,18639872,troweprice,T. Rowe Price,,Financial professionals: How will changes to government aid and policy shape the municipal bond market? Our experts discussed what may lay ahead in our recent webinar – listen to the replay now.  https://t.co/1obKDV0tM5  https://t.co/JiTnHebF8I,en,[],['https://trowe.com/3gAqoQ6'],['https://pbs.twimg.com/media/EzqllSBWEAALaKX.jpg'],0,0,0,[],[],https://twitter.com/TRowePrice/status/1385601896862343170,False,,1,https://pbs.twimg.com/media/EzqllSBWEAALaKX.jpg,,,,,,,[],,,,
1385579257951293445,1385579257951293445,2021-04-23 18:30:12 IST,2021-04-23,18:30:12,+0530,18639872,troweprice,T. Rowe Price,,"The percentage of families carrying credit card debt has increased between 2020 and 2021 from 43% to 57%, according to our 13th Annual Parents, Kids &amp; Money Survey. #MoneyConfidentKids  https://t.co/d4kIXRrkoy  https://t.co/ZRLid203oa",en,[],['https://trowe.com/32EHvbl'],['https://pbs.twimg.com/media/EzqQ_c0XEAEtPlc.png'],0,0,3,['moneyconfidentkids'],[],https://twitter.com/TRowePrice/status/1385579257951293445,False,,1,https://pbs.twimg.com/media/EzqQ_c0XEAEtPlc.png,,,,,,,[],,,,
1385284801750523907,1385284801750523907,2021-04-22 23:00:08 IST,2021-04-22,23:00:08,+0530,18639872,troweprice,T. Rowe Price,,"EMEA Multi-Asset Solutions Strategist, Michael Walsh, says that emerging market local bonds may offer relatively high income and the prospect of capital gains.  https://t.co/h8pHVgJsCS",en,[],['https://trowe.com/3enw5y2'],[],0,0,0,[],[],https://twitter.com/TRowePrice/status/1385284801750523907,False,,0,,,,,,,,[],,,,
1385262190303879175,1385262190303879175,2021-04-22 21:30:17 IST,2021-04-22,21:30:17,+0530,18639872,troweprice,T. Rowe Price,,Having a differentiated view on the durability of a company’s growth story can help to identify compelling opportunities. PM Larry Puglia and Associate PM Paul Greene explain.  https://t.co/IdlZroUxi1  https://t.co/V6uRARFRvA,en,[],['https://trowe.com/2QshMQF'],['https://pbs.twimg.com/media/EzlwnwrWEAco9y1.jpg'],0,1,2,[],[],https://twitter.com/TRowePrice/status/1385262190303879175,False,,1,https://pbs.twimg.com/media/EzlwnwrWEAco9y1.jpg,,,,,,,[],,,,
1385239491074568201,1385239491074568201,2021-04-22 20:00:05 IST,2021-04-22,20:00:05,+0530,18639872,troweprice,T. Rowe Price,,The pandemic has compelled a record number of families to have money conversations with their kids. Read more about our research here:  https://t.co/Xn23At5CrI  #MoneyConfidentKids  https://t.co/JPX8WBNo6Q,en,[],['https://trowe.com/3xgPFoo'],['https://pbs.twimg.com/media/Ezlb-cfXoAUZBgZ.png'],0,0,0,['moneyconfidentkids'],[],https://twitter.com/TRowePrice/status/1385239491074568201,False,,1,https://pbs.twimg.com/media/Ezlb-cfXoAUZBgZ.png,,,,,,,[],,,,
1385216868370239492,1385216868370239492,2021-04-22 18:30:12 IST,2021-04-22,18:30:12,+0530,18639872,troweprice,T. Rowe Price,,"On #EarthDay, we reflect on our progress and how we can continue to improve our environmental practices. We’re proud to join the Task Force on Climate-related Financial Disclosures to provide more transparency on climate risks. #TCFD #TRPAssociatesUS  https://t.co/6X370JiLPG  https://t.co/mSIITvvE80",en,[],['https://trowe.com/32Cs1o3'],['https://pbs.twimg.com/media/EzlHZr8WUAAPE8u.jpg'],0,0,0,"['earthday', 'tcfd', 'trpassociatesus']",[],https://twitter.com/TRowePrice/status/1385216868370239492,False,,1,https://pbs.twimg.com/media/EzlHZr8WUAAPE8u.jpg,,,,,,,[],,,,
1384591194387320834,1384589562601746435,2021-04-21 01:03:59 IST,2021-04-21,01:03:59,+0530,18639872,troweprice,T. Rowe Price,,"@mccarg Hello Grant, we regret to learn that you experienced a long hold time. Please call us at 1-800-225-5132 Mon-Fri from 8 a.m. - 8 p.m. ET, and utilize the callback feature, so you do not have to wait on hold. Thanks!",en,[],[],[],1,0,0,[],[],https://twitter.com/TRowePrice/status/1384591194387320834,False,,0,,,,,,,,"[{'screen_name': 'mccarg', 'name': 'Grant McCarthy', 'id': '119563025'}]",,,,
1384537416388775941,1384537416388775941,2021-04-20 21:30:18 IST,2021-04-20,21:30:18,+0530,18639872,troweprice,T. Rowe Price,,What should investors think of the recent rotation in value stocks? PM Larry Puglia and Associate PM Paul Greene share their views.  https://t.co/i5Ic4jfqJP,en,[],['https://trowe.com/32xfuCs'],[],0,0,0,[],[],https://twitter.com/TRowePrice/status/1384537416388775941,False,,0,,,,,,,,[],,,,
1384514725237731333,1384514725237731333,2021-04-20 20:00:08 IST,2021-04-20,20:00:08,+0530,18639872,troweprice,T. Rowe Price,,"The crash a year ago created opportunities as prices became disconnected from longer-term prospects. Rob Sharps, President and Head of Investments, discusses.  https://t.co/wgidHhlCR1  https://t.co/WriEQtq3r2",en,[],['https://trowe.com/3aqsr5r'],['https://pbs.twimg.com/media/EzbIzkwXIAUIrED.jpg'],0,0,0,[],[],https://twitter.com/TRowePrice/status/1384514725237731333,False,,1,https://pbs.twimg.com/media/EzbIzkwXIAUIrED.jpg,,,,,,,[],,,,
1384496464253050882,1384279078283333633,2021-04-20 18:47:34 IST,2021-04-20,18:47:34,+0530,18639872,troweprice,T. Rowe Price,,@Johnfcjr Thank you for your valuable feedback.,en,[],[],[],0,0,0,[],[],https://twitter.com/TRowePrice/status/1384496464253050882,False,,0,,,,,,,,"[{'screen_name': 'Johnfcjr', 'name': 'John C', 'id': '19169583'}]",,,,
