id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385678039959310336,1385626851800850432,2021-04-24 01:02:44 IST,2021-04-24,01:02:44,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@Amanda_Cavaleri @bradmillscan True. Lactaid tablets plus butter is still much cheaper than ghee,en,[],[],[],0,0,0,[],[],https://twitter.com/TYonClubhouse/status/1385678039959310336,False,,0,,,,,,,,"[{'screen_name': 'Amanda_Cavaleri', 'name': 'Amanda Cavaleri', 'id': '2499181332'}, {'screen_name': 'bradmillscan', 'name': 'Brad Mills ✍️🔑 $69,420', 'id': '246911146'}]",,,,
1385648233460867076,1385644573523726343,2021-04-23 23:04:17 IST,2021-04-23,23:04:17,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@JessicaVaugn @Cernovich  https://t.co/DIfcsyukeW,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzrPuLkVEAAMtMx.jpg'],1,0,1,[],[],https://twitter.com/TYonClubhouse/status/1385648233460867076,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzrPuLkVEAAMtMx.jpg,,,,,,,"[{'screen_name': 'JessicaVaugn', 'name': 'Jessica Vaugn', 'id': '50595242'}]",,,,
1385647871098122242,1385646461354905603,2021-04-23 23:02:51 IST,2021-04-23,23:02:51,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,"@ivan_bezdomny @Cernovich Being outside, not indoors, is one of the safest things you can do, especially if you’re not in close contact with anyone else.",en,[],[],[],0,0,2,[],[],https://twitter.com/TYonClubhouse/status/1385647871098122242,False,,0,,,,,,,,"[{'screen_name': 'ivan_bezdomny', 'name': 'Nikolai Yakovenko', 'id': '110505844'}, {'screen_name': 'Cernovich', 'name': 'Mike Cernovich', 'id': '358545917'}]",,,,
1385646366311944198,1385607456940720128,2021-04-23 22:56:52 IST,2021-04-23,22:56:52,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@SachinMeier @chamath He got BitClout at $6 each.,en,[],[],[],1,0,0,[],[],https://twitter.com/TYonClubhouse/status/1385646366311944198,False,,0,,,,,,,,"[{'screen_name': 'SachinMeier', 'name': 'Sachin Meier', 'id': '1012914103055192064'}, {'screen_name': 'chamath', 'name': 'Chamath Palihapitiya', 'id': '3291691'}]",,,,
1385645961133789186,1385577995407138821,2021-04-23 22:55:15 IST,2021-04-23,22:55:15,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@Investnoir Keep going back to the voice over rooms and you’ll have more followers but less Bitcoin.,en,[],[],[],0,0,1,[],[],https://twitter.com/TYonClubhouse/status/1385645961133789186,False,,0,,,,,,,,"[{'screen_name': 'Investnoir', 'name': ""Dante'"", 'id': '840759020449341440'}]",,,,
1385645640189808643,1385600693289971716,2021-04-23 22:53:59 IST,2021-04-23,22:53:59,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,"@str8edgeracer @BTCsessions @americanhodl41 When I do that, it’s a sign of how much I respect the people I’m speaking with at the time on Clubhouse.",en,[],[],[],1,0,0,[],[],https://twitter.com/TYonClubhouse/status/1385645640189808643,False,,0,,,,,,,,"[{'screen_name': 'str8edgeracer', 'name': 'C.J. Wilson', 'id': '20012454'}, {'screen_name': 'BTCsessions', 'name': 'BTC Sessions 😎', 'id': '2298103730'}, {'screen_name': 'americanhodl41', 'name': 'AMERICAN HODL PhD', 'id': '1383622117107765250'}]",,,,
1385642640436170753,1385627267003473920,2021-04-23 22:42:04 IST,2021-04-23,22:42:04,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@nic__carter Louisiana goes long Bitcoin in Louisiana Purchase,en,[],[],[],0,0,3,[],[],https://twitter.com/TYonClubhouse/status/1385642640436170753,False,,0,,,,,,,,"[{'screen_name': 'nic__carter', 'name': 'nic carter', 'id': '420308365'}]",,,,
1385641381809385474,1385620900326805505,2021-04-23 22:37:04 IST,2021-04-23,22:37:04,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@PayItForwardDad @GoingParabolic We got their sats.  https://t.co/ihu81d20pm,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzrJfEtVEAEnOBR.jpg'],0,0,0,[],[],https://twitter.com/TYonClubhouse/status/1385641381809385474,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzrJfEtVEAEnOBR.jpg,,,,,,,"[{'screen_name': 'PayItForwardDad', 'name': 'John Fakhoury', 'id': '1347657955706085385'}, {'screen_name': 'GoingParabolic', 'name': 'Jason A. Williams “Parabolic Guy”', 'id': '1194984822'}]",,,,
1385640888374726657,1385626851800850432,2021-04-23 22:35:06 IST,2021-04-23,22:35:06,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@bradmillscan It’s okay to use butter.,en,[],[],[],1,0,0,[],[],https://twitter.com/TYonClubhouse/status/1385640888374726657,False,,0,,,,,,,,"[{'screen_name': 'bradmillscan', 'name': 'Brad Mills ✍️🔑 $69,420', 'id': '246911146'}]",,,,
1385603352302555136,1385599283433414663,2021-04-23 20:05:57 IST,2021-04-23,20:05:57,+0530,1344080418694303749,tyonclubhouse,🇺🇲 Bitcoin Is Freedom Go Up Technology 🇺🇸,,@americanhodl41 If you 100x leveraged you’re entire stack you’d feel differently,en,[],[],[],0,0,1,[],[],https://twitter.com/TYonClubhouse/status/1385603352302555136,False,,0,,,,,,,,"[{'screen_name': 'americanhodl41', 'name': 'AMERICAN HODL PhD', 'id': '1383622117107765250'}]",,,,
