id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385690353060229123,1385690353060229123,2021-04-24 01:51:39 IST,2021-04-24,01:51:39,+0530,73181712,thejusticedept,Justice Department,,Justice Department Releases $58 Million in Solicitations to Combat the Distribution of Illicit Drugs and Improve Officer Wellness  https://t.co/1LcrJD5pv9,en,[],['https://www.justice.gov/opa/pr/justice-department-releases-58-million-solicitations-combat-distribution-illicit-drugs-and'],[],4,20,29,[],[],https://twitter.com/TheJusticeDept/status/1385690353060229123,False,,0,,,,,,,,[],,,,
1385682569576927233,1385682569576927233,2021-04-24 01:20:43 IST,2021-04-24,01:20:43,+0530,73181712,thejusticedept,Justice Department,,Attorney General Merrick Garland Recognizes Individuals and Organizations for Service to Crime Victims #NCVRW2021    https://t.co/83xMk5dxqp  https://t.co/ZaZG0zPz1h,en,[],['https://www.justice.gov/opa/pr/attorney-general-merrick-garland-recognizes-individuals-and-organizations-service-crime'],[],11,52,152,['ncvrw2021'],[],https://twitter.com/TheJusticeDept/status/1385682569576927233,False,,1,https://pbs.twimg.com/media/EzrnjpaVgAEXiKm.jpg,,,,,,,[],,,,
1385628905520967687,1385628905520967687,2021-04-23 21:47:29 IST,2021-04-23,21:47:29,+0530,73181712,thejusticedept,Justice Department,,Department of Justice partners with @Interior to begin implementation of the “Not Invisible Act”  https://t.co/04SI4aRgPz  https://t.co/dkoOL7JmeC,en,"[{'screen_name': 'interior', 'name': 'us department of the interior', 'id': '76348185'}]",['https://www.doi.gov/pressreleases/secretary-haaland-continues-pursuit-justice-indian-country-begins-implementation-not'],['https://pbs.twimg.com/media/Ezq-JYcXMAQMQJ-.png'],13,52,128,[],[],https://twitter.com/TheJusticeDept/status/1385628905520967687,False,,1,https://pbs.twimg.com/media/Ezq-JYcXMAQMQJ-.png,,,,,,,[],,,,
1385594618809487360,1385594618809487360,2021-04-23 19:31:14 IST,2021-04-23,19:31:14,+0530,73181712,thejusticedept,Justice Department,,"""The Department remains steadfast in its resolve to pursue justice on behalf of victims of human rights abuses committed in a tragically long list of countries both during and since World War II.”--Attorney General Garland #USHMM  https://t.co/JnPC7O0bK4",en,[],[],['https://pbs.twimg.com/media/Ezqea0WVcAEVcBu.png'],28,41,98,['ushmm'],[],https://twitter.com/TheJusticeDept/status/1385594618809487360,False,https://twitter.com/TheJusticeDept/status/1385584550164803588,1,https://pbs.twimg.com/media/Ezqea0WVcAEVcBu.png,,,,,,,[],,,,
1385584550164803588,1385584550164803588,2021-04-23 18:51:14 IST,2021-04-23,18:51:14,+0530,73181712,thejusticedept,Justice Department,,U.S. Holocaust Memorial Museum Honors DOJ with Elie Wiesel Award  https://t.co/AqK3uJJWpz,en,[],['https://www.justice.gov/opa/pr/us-holocaust-memorial-museum-honors-doj-elie-wiesel-award'],[],12,33,115,[],[],https://twitter.com/TheJusticeDept/status/1385584550164803588,False,,0,,,,,,,,[],,,,
1385366020962009088,1385366020962009088,2021-04-23 04:22:52 IST,2021-04-23,04:22:52,+0530,73181712,thejusticedept,Justice Department,,Five Individuals Charged for Roles in $65 Million Nationwide Conspiracy to Defraud Federal Health Care Programs   https://t.co/lbVUdsPgqT,en,[],['https://www.justice.gov/opa/pr/five-individuals-charged-roles-65-million-nationwide-conspiracy-defraud-federal-health-care'],[],31,136,258,[],[],https://twitter.com/TheJusticeDept/status/1385366020962009088,False,,0,,,,,,,,[],,,,
1385359541316067328,1385359541316067328,2021-04-23 03:57:08 IST,2021-04-23,03:57:08,+0530,73181712,thejusticedept,Justice Department,,Statement by Attorney General Merrick B. Garland on #EarthDay   https://t.co/dZhVsombBz,en,[],['https://www.justice.gov/opa/pr/statement-attorney-general-merrick-b-garland-earth-day'],[],18,38,94,['earthday'],[],https://twitter.com/TheJusticeDept/status/1385359541316067328,False,,0,,,,,,,,[],,,,
1385352342036430851,1385352342036430851,2021-04-23 03:28:31 IST,2021-04-23,03:28:31,+0530,73181712,thejusticedept,Justice Department,,Attorney General Merrick B. Garland Delivers Remarks at Joint DOJ-EPA Event with EPA Administrator Michael S. Regan: Promoting Justice for Victims of Environmental Crime   https://t.co/STaLqttuRo,en,[],['https://www.justice.gov/opa/speech/joint-doj-epa-event-epa-administrator-regan-promoting-justice-victims-environmental-crime'],[],21,47,89,[],[],https://twitter.com/TheJusticeDept/status/1385352342036430851,False,,0,,,,,,,,[],,,,
1385306158047678465,1385306158047678465,2021-04-23 00:25:00 IST,2021-04-23,00:25:00,+0530,73181712,thejusticedept,Justice Department,,"Ph.D. Chemist Convicted of Conspiracy to Steal Trade Secrets, Economic Espionage, Theft of Trade Secrets and Wire Fraud   https://t.co/9xGK4PcGeO",en,[],['https://www.justice.gov/opa/pr/phd-chemist-convicted-conspiracy-steal-trade-secrets-economic-espionage-theft-trade-secrets'],[],15,83,146,[],[],https://twitter.com/TheJusticeDept/status/1385306158047678465,False,,0,,,,,,,,[],,,,
1385275652589428736,1385275652589428736,2021-04-22 22:23:47 IST,2021-04-22,22:23:47,+0530,73181712,thejusticedept,Justice Department,,Six Language Recruiters Indicted for Recruiting Unqualified Linguists for Deployment with U.S. Armed Forces in Afghanistan   https://t.co/kvpqzgXRGF,en,[],['https://www.justice.gov/opa/pr/six-language-recruiters-indicted-recruiting-unqualified-linguists-deployment-us-armed-forces'],[],14,92,148,[],[],https://twitter.com/TheJusticeDept/status/1385275652589428736,False,,0,,,,,,,,[],,,,
