id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1365138680852062210,1365138680852062210,2021-02-26 08:46:39 IST,2021-02-26,08:46:39,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/xiZNynrsfX,en,[],['https://www.instagram.com/p/CLvXD0hB9nI/?igshid=6kz24vtob88u'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1365138680852062210,False,,0,,,,,,,,[],,,,
1364714441464549378,1364714441464549378,2021-02-25 04:40:52 IST,2021-02-25,04:40:52,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/6IuKDWIS8d,en,[],['https://www.instagram.com/p/CLsWI4zhLR6/?igshid=169btf4b3vcqb'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1364714441464549378,False,,0,,,,,,,,[],,,,
1364371976056406018,1364371976056406018,2021-02-24 06:00:02 IST,2021-02-24,06:00:02,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/CYLzezaMnl,en,[],['https://www.instagram.com/p/CLp6Zy8B8Io/?igshid=aaegxwhpresd'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1364371976056406018,False,,0,,,,,,,,[],,,,
1364217793160314880,1364217793160314880,2021-02-23 19:47:22 IST,2021-02-23,19:47:22,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/jgdY3thYSn,en,[],['https://www.instagram.com/p/CLo0Sb5hW7j/?igshid=1a0gswkj1lr5v'],[],0,0,0,[],[],https://twitter.com/TimLento/status/1364217793160314880,False,,0,,,,,,,,[],,,,
1363186384769404930,1363186384769404930,2021-02-20 23:28:55 IST,2021-02-20,23:28:55,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/lUFDBKr0Wr,en,[],['https://www.instagram.com/p/CLhfQjiBSda/?igshid=htutob396531'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1363186384769404930,False,,0,,,,,,,,[],,,,
1362561928527310849,1362561928527310849,2021-02-19 06:07:33 IST,2021-02-19,06:07:33,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/Ze1o8xwJF3,en,[],['https://www.instagram.com/p/CLdDSguhSSC/?igshid=1sdvzf32j6k8z'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1362561928527310849,False,,0,,,,,,,,[],,,,
1362157665829281792,1362157665829281792,2021-02-18 03:21:09 IST,2021-02-18,03:21:09,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/voFJIFhWMi,en,[],['https://www.instagram.com/p/CLaLc5dhY-i/?igshid=c9xo7zmgbcuv'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1362157665829281792,False,,0,,,,,,,,[],,,,
1362157378968371202,1362157378968371202,2021-02-18 03:20:01 IST,2021-02-18,03:20:01,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/hFERInjKWc,en,[],['https://www.instagram.com/p/CLaLUlchWhN/?igshid=1a6cswbubsfeu'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1362157378968371202,False,,0,,,,,,,,[],,,,
1361460311157571585,1361460311157571585,2021-02-16 05:10:07 IST,2021-02-16,05:10:07,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/QVXUAlCTmU,en,[],['https://www.instagram.com/p/CLVOVVahmOr/?igshid=b542h85nk667'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1361460311157571585,False,,0,,,,,,,,[],,,,
1361459027130134529,1361459027130134529,2021-02-16 05:05:01 IST,2021-02-16,05:05:01,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/EjW9W898Dj,en,[],['https://www.instagram.com/p/CLVNv1uBVqu/?igshid=13ms2f2974x8b'],[],0,0,3,[],[],https://twitter.com/TimLento/status/1361459027130134529,False,,0,,,,,,,,[],,,,
1361342653812658177,1361342653812658177,2021-02-15 21:22:35 IST,2021-02-15,21:22:35,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/FrZoLBS0Yq,en,[],['https://www.instagram.com/p/CLUY08Lhnnj/?igshid=eixh634nt7rg'],[],1,0,2,[],[],https://twitter.com/TimLento/status/1361342653812658177,False,,0,,,,,,,,[],,,,
1359870338344091648,1359870338344091648,2021-02-11 19:52:08 IST,2021-02-11,19:52:08,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/N42nzeMyH2,en,[],['https://www.instagram.com/p/CLJ7S8oBd66/?igshid=1su6heswtpyy0'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1359870338344091648,False,,0,,,,,,,,[],,,,
1359768191191425025,1359768191191425025,2021-02-11 13:06:14 IST,2021-02-11,13:06:14,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/NOlbnmL94j,en,[],['https://www.instagram.com/p/CLJM2GEBbPa/?igshid=1fvlqiifyrfuu'],[],0,3,3,[],[],https://twitter.com/TimLento/status/1359768191191425025,False,,0,,,,,,,,[],,,,
1359768066159239173,1359768066159239173,2021-02-11 13:05:44 IST,2021-02-11,13:05:44,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/JZhIz2BB3P,en,[],['https://www.instagram.com/p/CLJMydOBbzr/?igshid=gxonyes7oilq'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1359768066159239173,False,,0,,,,,,,,[],,,,
1359401655075295241,1359401655075295241,2021-02-10 12:49:45 IST,2021-02-10,12:49:45,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/dhbEmff9Zy,en,[],['https://www.instagram.com/p/CLGmKiahI7L/?igshid=1k9kknsm138v8'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1359401655075295241,False,,0,,,,,,,,[],,,,
1359401479732363264,1359401479732363264,2021-02-10 12:49:03 IST,2021-02-10,12:49:03,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/qcC4yJkJ7T,en,[],['https://www.instagram.com/p/CLGmFXhhqte/?igshid=1rydn780dzun0'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1359401479732363264,False,,0,,,,,,,,[],,,,
1359175659403231236,1359175659403231236,2021-02-09 21:51:44 IST,2021-02-09,21:51:44,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/cdL1lzk39z,en,[],['https://www.instagram.com/p/CLE_ZH2hml7/?igshid=xfgioxykuw4m'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1359175659403231236,False,,0,,,,,,,,[],,,,
1359175527186239488,1359175527186239488,2021-02-09 21:51:12 IST,2021-02-09,21:51:12,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/i6LhMjFU0h,en,[],['https://www.instagram.com/p/CLE_VQzhSrH/?igshid=1eh9lyhfq9fgj'],[],0,0,0,[],[],https://twitter.com/TimLento/status/1359175527186239488,False,,0,,,,,,,,[],,,,
1358044886625353734,1358044886625353734,2021-02-06 18:58:26 IST,2021-02-06,18:58:26,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/Dqe6NJN9lg,en,[],['https://www.instagram.com/p/CK89LQTBU0w/?igshid=1cww73yl4942l'],[],1,0,7,[],[],https://twitter.com/TimLento/status/1358044886625353734,False,,0,,,,,,,,[],,,,
1357810958987653122,1357810958987653122,2021-02-06 03:28:54 IST,2021-02-06,03:28:54,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/drQt076via,en,[],['https://www.instagram.com/p/CK7SzGHBwiI/?igshid=qytw9ccq8xx'],[],0,1,2,[],[],https://twitter.com/TimLento/status/1357810958987653122,False,,0,,,,,,,,[],,,,
1357687972527828992,1357687972527828992,2021-02-05 19:20:11 IST,2021-02-05,19:20:11,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/xHG2a7y5Fq,en,[],['https://www.instagram.com/p/CK6a3v_hjkJ/?igshid=1l9xyknrkg4yi'],[],0,0,0,[],[],https://twitter.com/TimLento/status/1357687972527828992,False,,0,,,,,,,,[],,,,
1357207487552901123,1357207487552901123,2021-02-04 11:30:55 IST,2021-02-04,11:30:55,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/uTA48DmW3b,en,[],['https://www.instagram.com/p/CK3AXy8BfFm/?igshid=1qk3avdfskdyq'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1357207487552901123,False,,0,,,,,,,,[],,,,
1356412498329673729,1356412498329673729,2021-02-02 06:51:55 IST,2021-02-02,06:51:55,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/v2wcta4S48,en,[],['https://www.instagram.com/p/CKxW2fph9vF/?igshid=170lmzg9lhc3q'],[],0,0,1,[],[],https://twitter.com/TimLento/status/1356412498329673729,False,,0,,,,,,,,[],,,,
1354914461908410373,1354914461908410373,2021-01-29 03:39:15 IST,2021-01-29,03:39:15,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/zAXiRxWfPg,en,[],['https://www.instagram.com/p/CKmtn9pBcLI/?igshid=1bkwqu7w4os00'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1354914461908410373,False,,0,,,,,,,,[],,,,
1354608746857689088,1354608746857689088,2021-01-28 07:24:27 IST,2021-01-28,07:24:27,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/MSZfge4XI1,en,[],['https://www.instagram.com/p/CKkimdGBK-d/?igshid=d38s18azkm3f'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1354608746857689088,False,,0,,,,,,,,[],,,,
1354210663510499333,1354210663510499333,2021-01-27 05:02:36 IST,2021-01-27,05:02:36,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/qZbTAP2157,en,[],['https://www.instagram.com/p/CKhtkdUBI2d/?igshid=115fssi4252gc'],[],0,0,3,[],[],https://twitter.com/TimLento/status/1354210663510499333,False,,0,,,,,,,,[],,,,
1353838770534158336,1353838770534158336,2021-01-26 04:24:50 IST,2021-01-26,04:24:50,+0530,15428604,timlento,Tim Lento,,Just posted a photo  https://t.co/a92xzCj6YA,en,[],['https://www.instagram.com/p/CKfEdJVB1Cy/?igshid=1fhnouifff9z8'],[],0,0,0,[],[],https://twitter.com/TimLento/status/1353838770534158336,False,,0,,,,,,,,[],,,,
1352747655374532609,1352747655374532609,2021-01-23 04:09:08 IST,2021-01-23,04:09:08,+0530,15428604,timlento,Tim Lento,,"Just posted a photo @ Dorado, Puerto Rico  https://t.co/nKpEHWXkby",en,[],['https://www.instagram.com/p/CKXURnMhXWS/?igshid=2cfrvmkpyfno'],[],1,0,1,[],[],https://twitter.com/TimLento/status/1352747655374532609,False,,0,,,,,,,,[],,,,
1352430236781182978,1352430236781182978,2021-01-22 07:07:50 IST,2021-01-22,07:07:50,+0530,15428604,timlento,Tim Lento,,"Just posted a photo @ Dorado, Puerto Rico  https://t.co/ELto4NmZwf",en,[],['https://www.instagram.com/p/CKVD7gCBKHq/?igshid=r5c7x8aokwwb'],[],0,0,0,[],[],https://twitter.com/TimLento/status/1352430236781182978,False,,0,,,,,,,,[],,,,
1349885513067618308,1349885513067618308,2021-01-15 06:36:00 IST,2021-01-15,06:36:00,+0530,15428604,timlento,Tim Lento,,"Just posted a photo @ Dorado, Puerto Rico  https://t.co/rvCenRdPh1",en,[],['https://www.instagram.com/p/CKC-uQUhJTE/?igshid=11bniqg9f30tc'],[],0,0,2,[],[],https://twitter.com/TimLento/status/1349885513067618308,False,,0,,,,,,,,[],,,,
1340664718822936576,1340664718822936576,2020-12-20 19:55:51 IST,2020-12-20,19:55:51,+0530,15428604,timlento,Tim Lento,," https://t.co/MuSDRpfSEo Verified $15,857.62 profit in $RSCF Profitly Sale! ~  https://t.co/lP9vKttkOb  Parabolic OTC, low temperature fre...",ro,[],"['https://profit.ly/500Ru8', 'http://bit.ly/2V5ZCDf']",[],0,0,4,[],['rscf'],https://twitter.com/TimLento/status/1340664718822936576,False,,0,,,,,,,,[],,,,
1340663779965734913,1340663779965734913,2020-12-20 19:52:08 IST,2020-12-20,19:52:08,+0530,15428604,timlento,Tim Lento,, https://t.co/ldhh0ZLa6n Verified $95.23 profit in $GWSO StocksToTrade 14-Day Trial ~  https://t.co/zEu3kSd8c0  Overextended OTC multiday...,en,[],"['https://profit.ly/500Ru7', 'https://bit.ly/3dJT6Zz']",[],0,0,3,[],['gwso'],https://twitter.com/TimLento/status/1340663779965734913,False,,0,,,,,,,,[],,,,
1340662879247360003,1340662879247360003,2020-12-20 19:48:33 IST,2020-12-20,19:48:33,+0530,15428604,timlento,Tim Lento,," https://t.co/FMQiPrQok0 Verified $9,602.48 loss in $MMEDF My Favorite Broker ~  https://t.co/267ZO3MeXB  OTC psychedelic company looked ...",en,[],"['https://profit.ly/500Ru6', 'https://bit.ly/2UZo8oX']",[],0,0,4,[],['mmedf'],https://twitter.com/TimLento/status/1340662879247360003,False,,0,,,,,,,,[],,,,
