id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385646115530416137,1385646115530416137,2021-04-23 22:55:52 IST,2021-04-23,22:55:52,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$TRKA looking good today. I'm still holding (and adding on dips) for $5+,en,[],[],[],1,0,3,[],['trka'],https://twitter.com/TradeSmartStock/status/1385646115530416137,False,,0,,,,,,,,[],,,,
1385225151982325761,1385225151982325761,2021-04-22 19:03:07 IST,2021-04-22,19:03:07,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$NIO Let's push higher [ $JMIA High of day,en,[],[],[],0,0,4,[],"['nio', 'jmia']",https://twitter.com/TradeSmartStock/status/1385225151982325761,False,,0,,,,,,,,[],,,,
1385071411094507521,1385071411094507521,2021-04-22 08:52:12 IST,2021-04-22,08:52:12,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,"$OSTK: Expecting a move back towards $80. Ideal entry between $65-$66 for a STARTER (next add at $61.50/$62.00). June 18, $80C idea  https://t.co/kPDiYFc8JA",en,[],[],['https://pbs.twimg.com/media/EzjDGIFWUAE9Ig5.jpg'],0,0,6,[],['ostk'],https://twitter.com/TradeSmartStock/status/1385071411094507521,False,,1,https://pbs.twimg.com/media/EzjDGIFWUAE9Ig5.jpg,,,,,,,[],,,,
1384939167382183940,1384939167382183940,2021-04-22 00:06:43 IST,2021-04-22,00:06:43,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$NIO $JMIA less is more. You may book some gains . . . more upsides though,en,[],[],[],0,1,1,[],"['nio', 'jmia']",https://twitter.com/TradeSmartStock/status/1384939167382183940,False,,0,,,,,,,,[],,,,
1384890085015969792,1384890085015969792,2021-04-21 20:51:40 IST,2021-04-21,20:51:40,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$JMIA Here we go! Calls up nicely so far,en,[],[],[],1,1,4,[],['jmia'],https://twitter.com/TradeSmartStock/status/1384890085015969792,False,,0,,,,,,,,[],,,,
1384870503660363780,1384870503660363780,2021-04-21 19:33:52 IST,2021-04-21,19:33:52,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,"$JMIA June 18, $45calls starter just under $1-$1.07 option price. Next add will be posted",en,[],[],[],0,1,5,[],['jmia'],https://twitter.com/TradeSmartStock/status/1384870503660363780,False,,0,,,,,,,,[],,,,
1384521636452487170,1384521636452487170,2021-04-20 20:27:35 IST,2021-04-20,20:27:35,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$TRKA new 3m floater IPO. $10+ by next week like the others,en,[],[],[],1,1,9,[],['trka'],https://twitter.com/TradeSmartStock/status/1384521636452487170,False,,0,,,,,,,,[],,,,
1384501842239950848,1384501842239950848,2021-04-20 19:08:56 IST,2021-04-20,19:08:56,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,"$TLGT Pennies had a bit of momentum yesterday, so adding between $0.52-$0.54 with a STOP at .50. SMALL for $0.60+ FDA news incoming  https://t.co/UQj1mtUYwM",en,[],[],['https://pbs.twimg.com/media/Eza9FHJXMAIr2-d.jpg'],1,0,7,[],['tlgt'],https://twitter.com/TradeSmartStock/status/1384501842239950848,False,,1,https://pbs.twimg.com/media/Eza9FHJXMAIr2-d.jpg,,,,,,,[],,,,
1384329919178629121,1384329919178629121,2021-04-20 07:45:46 IST,2021-04-20,07:45:46,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,$JMIA: Holding $NIO still and will start adding $JMIA for a reversal. Idea around $28.00-$28.40 STARTER for $33 and $38 (July calls)  https://t.co/4fpWccBfp4,en,[],[],['https://pbs.twimg.com/media/EzYgtSuXEAcyKqH.jpg'],0,0,11,[],"['jmia', 'nio', 'jmia']",https://twitter.com/TradeSmartStock/status/1384329919178629121,False,,1,https://pbs.twimg.com/media/EzYgtSuXEAcyKqH.jpg,,,,,,,[],,,,
1383953189154615299,1383953189154615299,2021-04-19 06:48:47 IST,2021-04-19,06:48:47,+0530,849754941807890432,tradesmartstock,TradeSmart-Stocks,,April 19 watchlist: $TIRX $ONCT $JMIA $PLUG $WW $NIO,en,[],[],[],1,1,23,[],"['tirx', 'onct', 'jmia', 'plug', 'ww', 'nio']",https://twitter.com/TradeSmartStock/status/1383953189154615299,False,,0,,,,,,,,[],,,,
