id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385412761006612484,1385387515583078401,2021-04-23 07:28:36 IST,2021-04-23,07:28:36,+0530,1285335881121923075,verdetrades,Vérdé,,@Hugh_Henne @DipDeity @ohheytommy @PJ_Matlock @notoriousalerts lolol,en,[],[],[],0,0,3,[],[],https://twitter.com/VerdeTrades/status/1385412761006612484,False,,0,,,,,,,,"[{'screen_name': 'Hugh_Henne', 'name': 'Hugh_Henne (Not Hef)', 'id': '946470689367842816'}, {'screen_name': 'DipDeity', 'name': 'Dan, Deity of Dips', 'id': '901997441033134080'}, {'screen_name': 'ohheytommy', 'name': 'Tommy Coops', 'id': '22453225'}, {'screen_name': 'PJ_Matlock', 'name': 'PJ Matlock', 'id': '888225282334871553'}, {'screen_name': 'notoriousalerts', 'name': 'Gary (Mystic Mac) 🍀', 'id': '147792246'}]",,,,
1385375282656333825,1385375282656333825,2021-04-23 04:59:41 IST,2021-04-23,04:59:41,+0530,1285335881121923075,verdetrades,Vérdé,,Happy Friday Eve y'all🙏🏼,en,[],[],[],3,0,31,[],[],https://twitter.com/VerdeTrades/status/1385375282656333825,False,,0,,,,,,,,[],,,,
1385299146542915585,1385297578284044291,2021-04-22 23:57:08 IST,2021-04-22,23:57:08,+0530,1285335881121923075,verdetrades,Vérdé,,@VDTrades @BaggyTrader also interested in seceding and forming Vérdéville--I'll keep you in the loop. start scoping out prospective locations,en,[],[],[],0,0,1,[],[],https://twitter.com/VerdeTrades/status/1385299146542915585,False,,0,,,,,,,,"[{'screen_name': 'VDTrades', 'name': 'Vin Diesel Trades (NOT Vin Diesel)', 'id': '1695293845'}, {'screen_name': 'BaggyTrader', 'name': 'Haggy 💭', 'id': '971162498102710272'}]",,,,
1385298395829579777,1385298395829579777,2021-04-22 23:54:09 IST,2021-04-22,23:54:09,+0530,1285335881121923075,verdetrades,Vérdé,,"On the bright side, if ole' #LazerEyes $BTC keeps this up there'll be no cap gains for me to be taxed on🙃",en,[],[],[],0,0,10,['lazereyes'],['btc'],https://twitter.com/VerdeTrades/status/1385298395829579777,False,,0,,,,,,,,[],,,,
1385297578284044291,1385297578284044291,2021-04-22 23:50:54 IST,2021-04-22,23:50:54,+0530,1285335881121923075,verdetrades,Vérdé,,I hear Sovereign Citizens aren't subject to US taxes--anyone have an initiation packet they could send me?,en,[],[],[],3,0,45,[],[],https://twitter.com/VerdeTrades/status/1385297578284044291,False,,0,,,,,,,,[],,,,
1385296281451499522,1385280796123013122,2021-04-22 23:45:45 IST,2021-04-22,23:45:45,+0530,1285335881121923075,verdetrades,Vérdé,,@esqtrading not on long term cap gains--that's the kicker here,en,[],[],[],1,0,3,[],[],https://twitter.com/VerdeTrades/status/1385296281451499522,False,,0,,,,,,,,"[{'screen_name': 'esqtrading', 'name': 'E S Q • T R A D I N G', 'id': '1283645233427673090'}]",,,,
1384246414029385729,1384245980376100864,2021-04-20 02:13:57 IST,2021-04-20,02:13:57,+0530,1285335881121923075,verdetrades,Vérdé,,"@Hugh_Henne ""I can't wait to buy puts on you fkers!"" -He said as he scurried off the plane in anger.",en,[],[],[],2,0,52,[],[],https://twitter.com/VerdeTrades/status/1384246414029385729,False,,0,,,,,,,,"[{'screen_name': 'Hugh_Henne', 'name': 'Hugh_Henne (Not Hef)', 'id': '946470689367842816'}]",,,,
1383940189203046401,1383927529958821889,2021-04-19 05:57:08 IST,2021-04-19,05:57:08,+0530,1285335881121923075,verdetrades,Vérdé,,"@DipDeity I fully expect a personal, handwritten note with my order.  https://t.co/q6JtkEKflv",en,[],[],['https://pbs.twimg.com/media/EzS-Q9yVoAAsmQy.jpg'],1,0,9,[],[],https://twitter.com/VerdeTrades/status/1383940189203046401,False,,1,https://pbs.twimg.com/media/EzS-Q9yVoAAsmQy.jpg,,,,,,,"[{'screen_name': 'DipDeity', 'name': 'Dan, Deity of Dips', 'id': '901997441033134080'}]",,,,
1383540538582831110,1383540538582831110,2021-04-18 03:29:03 IST,2021-04-18,03:29:03,+0530,1285335881121923075,verdetrades,Vérdé,,happy Saturday🙏🏼  https://t.co/CVCjoBNWQp,en,[],[],['https://pbs.twimg.com/media/EzNSyFUVEAwFEBK.jpg'],1,1,60,[],[],https://twitter.com/VerdeTrades/status/1383540538582831110,False,,1,https://pbs.twimg.com/media/EzNSyFUVEAwFEBK.jpg,,,,,,,[],,,,
1383189229015011329,1383189229015011329,2021-04-17 04:13:05 IST,2021-04-17,04:13:05,+0530,1285335881121923075,verdetrades,Vérdé,,"*Gets in Uber*  Driver's first Q: ""So y'all in that $DOGE or what??""  #Top.",en,[],[],[],6,8,90,['top'],['doge'],https://twitter.com/VerdeTrades/status/1383189229015011329,False,,0,,,,,,,,[],,,,
