id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1381750765664997379,1381750765664997379,2021-04-13 04:57:08 IST,2021-04-13,04:57:08,+0530,26280006,ameystone,Amey Stone,,"College Athletes Could Be Hot Prospects for Advisors, and ‘Pandora’s Box’ for Industry  https://t.co/rlXLaigu2w via @BarronsOnline   Happy to be sharing my own articles again!",en,"[{'screen_name': 'barronsonline', 'name': ""barron's"", 'id': '20449296'}]",['https://www.barrons.com/articles/college-athletes-could-be-hot-prospects-for-advisors-and-pandoras-box-for-industry-51618242131'],[],0,1,1,[],[],https://twitter.com/ameystone/status/1381750765664997379,False,,0,,,,,,,,[],,,,
1380700135265611785,1380525177637847041,2021-04-10 07:22:19 IST,2021-04-10,07:22:19,+0530,26280006,ameystone,Amey Stone,,@GurdeepPandher Nice jumps!,en,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1380700135265611785,False,,0,,,,,,,,"[{'screen_name': 'GurdeepPandher', 'name': 'Gurdeep Pandher of the Yukon', 'id': '1063742394'}]",,,,
1371979555771199489,1371886163896766473,2021-03-17 05:49:50 IST,2021-03-17,05:49:50,+0530,26280006,ameystone,Amey Stone,,@christaylor_nyc Congrats! Your kids will be so proud.,en,[],[],[],0,0,2,[],[],https://twitter.com/ameystone/status/1371979555771199489,False,,0,,,,,,,,"[{'screen_name': 'christaylor_nyc', 'name': 'Chris Taylor', 'id': '159279277'}]",,,,
1286868044321619968,1286837395946602496,2020-07-25 09:07:05 IST,2020-07-25,09:07:05,+0530,26280006,ameystone,Amey Stone,,"@christaylor_nyc Oh, the debates this has set off in my household. I'm going with gorillas and wolves.",en,[],[],[],0,0,1,[],[],https://twitter.com/ameystone/status/1286868044321619968,False,,0,,,,,,,,"[{'screen_name': 'christaylor_nyc', 'name': 'Chris Taylor', 'id': '159279277'}]",,,,
1259094234222690304,1258854252023361543,2020-05-09 17:43:52 IST,2020-05-09,17:43:52,+0530,26280006,ameystone,Amey Stone,,@WSintelligencer B0,und,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1259094234222690304,False,,0,,,,,,,,"[{'screen_name': 'WSintelligencer', 'name': 'Vito aka The Wall St Intelligencer', 'id': '1105207969980076032'}]",,,,
1224486995340222464,1224330217126150146,2020-02-04 05:47:04 IST,2020-02-04,05:47:04,+0530,26280006,ameystone,Amey Stone,,@haleighghghghgh It's just a cute little baby cockroach.,en,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1224486995340222464,False,,0,,,,,,,,[],,,,
1135028695570309127,1134227881570295810,2019-06-02 09:11:43 IST,2019-06-02,09:11:43,+0530,26280006,ameystone,Amey Stone,,@talkingbiznews Congrats!,en,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1135028695570309127,False,,0,,,,,,,,"[{'screen_name': 'talkingbiznews', 'name': 'Talking Biz News', 'id': '16892243'}]",,,,
1086047536933150720,1085737149016592385,2019-01-18 05:18:05 IST,2019-01-18,05:18:05,+0530,26280006,ameystone,Amey Stone,,@haleighghghghgh Don't just watch The Office. Live it.,en,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1086047536933150720,False,,0,,,,,,,,[],,,,
1086046959000059906,1086046959000059906,2019-01-18 05:15:47 IST,2019-01-18,05:15:47,+0530,26280006,ameystone,Amey Stone,,Right again!,en,[],[],[],0,0,0,[],[],https://twitter.com/ameystone/status/1086046959000059906,False,https://twitter.com/christinageist/status/1085733008227876866,0,,,,,,,,[],,,,
1031720793447833600,1031720793447833600,2018-08-21 07:23:00 IST,2018-08-21,07:23:00,+0530,26280006,ameystone,Amey Stone,,There's still time!,en,[],[],[],0,0,1,[],[],https://twitter.com/ameystone/status/1031720793447833600,False,https://twitter.com/GuerillaMemoir/status/1031295024984743937,0,,,,,,,,[],,,,
