id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384992658351804420,1384992658351804420,2021-04-22 03:39:16 IST,2021-04-22,03:39:16,+0530,37795176,blackrue,Ruell Black,,#SaddiqBey Finally getting an NBA Top Shot!  @DetroitPistons,en,"[{'screen_name': 'detroitpistons', 'name': 'detroit pistons', 'id': '16727749'}]",[],[],0,0,0,['saddiqbey'],[],https://twitter.com/blackrue/status/1384992658351804420,False,,0,,,,,,,,[],,,,
1384946194657513473,1384944490419478528,2021-04-22 00:34:38 IST,2021-04-22,00:34:38,+0530,37795176,blackrue,Ruell Black,,@spaqtothemoon lol,und,[],[],[],0,0,0,[],[],https://twitter.com/blackrue/status/1384946194657513473,False,,0,,,,,,,,"[{'screen_name': 'spaqtothemoon', 'name': '$FSRtoⓂ️ARS', 'id': '1303500074572492803'}]",,,,
1384943913832755201,1384943913832755201,2021-04-22 00:25:34 IST,2021-04-22,00:25:34,+0530,37795176,blackrue,Ruell Black,,$LOTZ is one to watch. Earnings are 5/10/2021 and here in AZ all I see is temp plates from cars people have purchased. $LOTZ is surging with the rest of the stocks that were left for dead. Also $LOTZ was on my weekly stock video.  https://t.co/lQfjbAzgJd,en,[],['https://youtu.be/0w5KQwWcIXg'],[],0,0,1,[],"['lotz', 'lotz', 'lotz']",https://twitter.com/blackrue/status/1384943913832755201,False,,0,,,,,,,,[],,,,
1384943850125471745,1384943297509142531,2021-04-22 00:25:19 IST,2021-04-22,00:25:19,+0530,37795176,blackrue,Ruell Black,,@peacock_matt23 lol,und,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384943850125471745,False,,0,,,,,,,,"[{'screen_name': 'peacock_matt23', 'name': 'Matt Peacock', 'id': '743107932192014339'}]",,,,
1384897538906542082,1384897538906542082,2021-04-21 21:21:18 IST,2021-04-21,21:21:18,+0530,37795176,blackrue,Ruell Black,,Esports Fight Club is #Verasity's Esports Stream 16 of China's top players in their tourney. @verasitytech,en,"[{'screen_name': 'verasitytech', 'name': 'verasity', 'id': '953284716945399809'}]",[],[],1,0,3,['verasity'],[],https://twitter.com/blackrue/status/1384897538906542082,False,https://twitter.com/EsFightClub/status/1384844997892231171,0,,,,,,,,[],,,,
1384896095373889540,1384896095373889540,2021-04-21 21:15:33 IST,2021-04-21,21:15:33,+0530,37795176,blackrue,Ruell Black,,#VRA token  besides Proof of View tech. They have a burgeoning esports stream on the network which i am sure also uses Proof of View.... Reporting 86k concurrent views on there DOTA 2 tourney.,en,[],[],[],0,0,0,['vra'],[],https://twitter.com/blackrue/status/1384896095373889540,False,https://twitter.com/verasitytech/status/1384884584479866882,0,,,,,,,,[],,,,
1384645068934443011,1384645068934443011,2021-04-21 04:38:04 IST,2021-04-21,04:38:04,+0530,37795176,blackrue,Ruell Black,,Crypto which was sleeping a bit in the last few days like the stock market .... is waking up....,en,[],[],[],0,0,2,[],[],https://twitter.com/blackrue/status/1384645068934443011,False,,0,,,,,,,,[],,,,
1384639696915992581,1384638691952320516,2021-04-21 04:16:43 IST,2021-04-21,04:16:43,+0530,37795176,blackrue,Ruell Black,,@erikaash13 lol I feel ya doc.,en,[],[],[],0,0,0,[],[],https://twitter.com/blackrue/status/1384639696915992581,False,,0,,,,,,,,"[{'screen_name': 'erikaash13', 'name': 'Erika C$, MD', 'id': '45937492'}]",,,,
1384635181449945089,1384634698328989697,2021-04-21 03:58:47 IST,2021-04-21,03:58:47,+0530,37795176,blackrue,Ruell Black,,Nailed it !!!  https://t.co/8LKbHExR2O,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Ezc2W0PUYAQhyFY.jpg'],0,0,1,[],[],https://twitter.com/blackrue/status/1384635181449945089,False,,1,https://pbs.twimg.com/tweet_video_thumb/Ezc2W0PUYAQhyFY.jpg,,,,,,,[],,,,
1384634698328989697,1384634698328989697,2021-04-21 03:56:52 IST,2021-04-21,03:56:52,+0530,37795176,blackrue,Ruell Black,,@LukeJacobi its still going .....  https://t.co/hEXxf2SbKJ,en,[],[],['https://pbs.twimg.com/media/Ezc14nUUcAQf7F7.png'],1,0,1,[],[],https://twitter.com/blackrue/status/1384634698328989697,False,,1,https://pbs.twimg.com/media/Ezc14nUUcAQf7F7.png,,,,,,,[],,,,
1384624372715905026,1378074761058643969,2021-04-21 03:15:50 IST,2021-04-21,03:15:50,+0530,37795176,blackrue,Ruell Black,,@MrT @tide @Hanes wow!!! love it !  Now I need Mr. T NFT and an Ice-T NFT and .... Stone cold messing up the T symmetry but lets get a Stone cold NFT as well...,en,[],[],[],0,0,0,[],[],https://twitter.com/blackrue/status/1384624372715905026,False,,0,,,,,,,,"[{'screen_name': 'MrT', 'name': 'Mr. T', 'id': '472872558'}, {'screen_name': 'tide', 'name': 'Tide', 'id': '84163148'}, {'screen_name': 'Hanes', 'name': 'Hanes', 'id': '34338674'}]",,,,
1384623255579861005,1384623255579861005,2021-04-21 03:11:23 IST,2021-04-21,03:11:23,+0530,37795176,blackrue,Ruell Black,,@sylo boom!!! @LukeJacobi  https://t.co/Fed21lfiMg,en,"[{'screen_name': 'lukejacobi', 'name': 'hot stocks luke', 'id': '1577535906'}]",[],['https://pbs.twimg.com/media/EzcrfvLVUAEVdTC.png'],0,0,1,[],[],https://twitter.com/blackrue/status/1384623255579861005,False,,1,https://pbs.twimg.com/media/EzcrfvLVUAEVdTC.png,,,,,,,[],,,,
1384622515218120704,1384574263168946178,2021-04-21 03:08:27 IST,2021-04-21,03:08:27,+0530,37795176,blackrue,Ruell Black,,@LuizCabratzii @erikaash13 Mad respect for you homie!,en,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384622515218120704,False,,0,,,,,,,,"[{'screen_name': 'LuizCabratzii', 'name': 'Flyvito', 'id': '532822002'}, {'screen_name': 'erikaash13', 'name': 'Erika C$, MD', 'id': '45937492'}]",,,,
1384585567623467009,1384574263168946178,2021-04-21 00:41:38 IST,2021-04-21,00:41:38,+0530,37795176,blackrue,Ruell Black,,@LuizCabratzii @erikaash13 My man @LuizCabratzii always dropping Knowledge!!,en,"[{'screen_name': 'luizcabratzii', 'name': 'flyvito', 'id': '532822002'}]",[],[],1,0,1,[],[],https://twitter.com/blackrue/status/1384585567623467009,False,,0,,,,,,,,"[{'screen_name': 'LuizCabratzii', 'name': 'Flyvito', 'id': '532822002'}, {'screen_name': 'erikaash13', 'name': 'Erika C$, MD', 'id': '45937492'}]",,,,
1384552451248836608,1384549610916515843,2021-04-20 22:30:02 IST,2021-04-20,22:30:02,+0530,37795176,blackrue,Ruell Black,,@eezeemonee lol,und,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384552451248836608,False,,0,,,,,,,,"[{'screen_name': 'eezeemonee', 'name': 'Jason Titus', 'id': '2918822815'}]",,,,
1384536608121057280,1384533569889087488,2021-04-20 21:27:05 IST,2021-04-20,21:27:05,+0530,37795176,blackrue,Ruell Black,,@TheStreet @FibonnaciTrade Here we go... they love to throw dirt on your name @chamath  but Real Retail has got your back.,en,"[{'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}]",[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384536608121057280,False,,0,,,,,,,,"[{'screen_name': 'TheStreet', 'name': 'TheStreet', 'id': '15281391'}, {'screen_name': 'FibonnaciTrade', 'name': 'Fibonacci Investments', 'id': '1287715792096813058'}]",,,,
1384536224459722755,1384533448354840585,2021-04-20 21:25:34 IST,2021-04-20,21:25:34,+0530,37795176,blackrue,Ruell Black,,@Sarah_Katilyn LOL I remember that!! To this day because that movie I either speed past or leave a healthy wide berth been me and those fellas.,en,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384536224459722755,False,,0,,,,,,,,"[{'screen_name': 'Sarah_Katilyn', 'name': 'Sarah Katilyn', 'id': '864215590709456896'}]",,,,
1384294686634872834,1384294686634872834,2021-04-20 05:25:46 IST,2021-04-20,05:25:46,+0530,37795176,blackrue,Ruell Black,,"Ruell report live in 10 mins on @Benzinga. We are going to cover crypto coins that were created to impact and change the way the world transacts with money. (ie clearing times, money conversion, remittances (western union), loans to friends etc).  https://t.co/R2Yc0BSaor",en,"[{'screen_name': 'benzinga', 'name': 'benzinga', 'id': '44060322'}]",['https://www.youtube.com/watch?v=TcxVy3KsMmU'],[],0,2,2,[],[],https://twitter.com/blackrue/status/1384294686634872834,False,,0,,,,,,,,[],,,,
1384294238972567553,1371555709104525312,2021-04-20 05:24:00 IST,2021-04-20,05:24:00,+0530,37795176,blackrue,Ruell Black,,"Ruell report live in 10 mins. We are going to cover crypto coins that were created to impact and change the way the world transacts with money. (ie clearing times, money conversion, remittances (western union), loans to friends etc).  https://t.co/R2Yc0BSaor",en,[],['https://www.youtube.com/watch?v=TcxVy3KsMmU'],[],0,1,1,[],[],https://twitter.com/blackrue/status/1384294238972567553,False,,0,,,,,,,,[],,,,
1384283104072794119,1384283104072794119,2021-04-20 04:39:45 IST,2021-04-20,04:39:45,+0530,37795176,blackrue,Ruell Black,,$LEAF had a nice end of the day surge ... may that means things are settled between them and Graham holdings on the sale of $LEAF.... and since people bought at Close. i am assuming Graham is coughing up more than 8.50 a share ( not financial advice) . Just an educated guess.,en,[],[],[],0,0,1,[],"['leaf', 'leaf']",https://twitter.com/blackrue/status/1384283104072794119,False,,0,,,,,,,,[],,,,
1384196860970094599,1384196860970094599,2021-04-19 22:57:03 IST,2021-04-19,22:57:03,+0530,37795176,blackrue,Ruell Black,,$CLOV just broke the 10 handle,en,[],[],[],0,0,2,[],['clov'],https://twitter.com/blackrue/status/1384196860970094599,False,,0,,,,,,,,[],,,,
1384196744263569408,1384196744263569408,2021-04-19 22:56:35 IST,2021-04-19,22:56:35,+0530,37795176,blackrue,Ruell Black,,I love $VRA,en,[],[],[],0,0,1,[],['vra'],https://twitter.com/blackrue/status/1384196744263569408,False,https://twitter.com/LfgVra/status/1384194979254267909,0,,,,,,,,[],,,,
1384180884656443400,1384103594333331456,2021-04-19 21:53:34 IST,2021-04-19,21:53:34,+0530,37795176,blackrue,Ruell Black,,@Vlada_UBIX @SURAJ_041 @UBIX_Network Thx 🙏 I keep this in mind and debate to buy 1 mil or wait with my 110k for lower requirements. Thx so much for taking the time to answer! ❤️,en,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1384180884656443400,False,,0,,,,,,,,"[{'screen_name': 'Vlada_UBIX', 'name': 'Vlada Green', 'id': '1382738929019928588'}, {'screen_name': 'SURAJ_041', 'name': 'Suraj', 'id': '899617051'}, {'screen_name': 'UBIX_Network', 'name': 'UBIX.Network', 'id': '1119113775418712065'}]",,,,
1384168666921459723,1384103594333331456,2021-04-19 21:05:01 IST,2021-04-19,21:05:01,+0530,37795176,blackrue,Ruell Black,,@Vlada_UBIX @SURAJ_041 @UBIX_Network Question for you @Vlada_UBIX do you know if users with less than 1mil UBX will be able to stake on MakeMeMoney?   Many people on the UBIX telegram are debating this because the MMM slider on their site starts at 1 mil but textbox allows lower numbers. I currently have 110K Ubx.,en,"[{'screen_name': 'vlada_ubix', 'name': 'vlada green', 'id': '1382738929019928588'}]",[],[],1,0,0,[],[],https://twitter.com/blackrue/status/1384168666921459723,False,,0,,,,,,,,"[{'screen_name': 'Vlada_UBIX', 'name': 'Vlada Green', 'id': '1382738929019928588'}, {'screen_name': 'SURAJ_041', 'name': 'Suraj', 'id': '899617051'}, {'screen_name': 'UBIX_Network', 'name': 'UBIX.Network', 'id': '1119113775418712065'}]",,,,
1384159995319644160,1371555709104525312,2021-04-19 20:30:33 IST,2021-04-19,20:30:33,+0530,37795176,blackrue,Ruell Black,,"Gonna be a great show today we are going to cover crypto coins that were created to impact and change the way the world transacts with money. (ie clearing times, money conversion, remittances (western union), loans to friends etc). See you at 8pm on the @Benzinga youtube.",en,"[{'screen_name': 'benzinga', 'name': 'benzinga', 'id': '44060322'}]",[],[],1,0,0,[],[],https://twitter.com/blackrue/status/1384159995319644160,False,,0,,,,,,,,[],,,,
1384159532515938326,1384146915604897795,2021-04-19 20:28:43 IST,2021-04-19,20:28:43,+0530,37795176,blackrue,Ruell Black,,"@Benzinga @nealstweets @STORYInvestors @chriskatje @SJisrael @LukeJacobi @JasonRaznick @JavierHasse @EinsteinoWallSt @rfaloona Boom!!! Gonna be a great show today we are going to cover crypto coins that were created to impact and change the way the world transacts with money. (ie clearing times, money conversion, remittances (western union), loans to friends etc).",en,[],[],[],0,0,3,[],[],https://twitter.com/blackrue/status/1384159532515938326,False,,0,,,,,,,,"[{'screen_name': 'Benzinga', 'name': 'Benzinga', 'id': '44060322'}, {'screen_name': 'nealstweets', 'name': 'Neal Hamilton', 'id': '706173343'}, {'screen_name': 'STORYInvestors', 'name': 'Money Mitch', 'id': '814870750620487680'}, {'screen_name': 'chriskatje', 'name': 'Chris Katje', 'id': '1009613448'}, {'screen_name': 'SJisrael', 'name': 'Spencer Israel', 'id': '24998789'}, {'screen_name': 'LukeJacobi', 'name': 'Hot Stocks Luke', 'id': '1577535906'}, {'screen_name': 'JasonRaznick', 'name': 'JasonRaznick', 'id': '13471032'}, {'screen_name': 'JavierHasse', 'name': 'Javier Hasse', 'id': '879711720'}, {'screen_name': 'EinsteinoWallSt', 'name': 'Peter Tuchman', 'id': '2534228049'}, {'screen_name': 'rfaloona', 'name': 'Ryan Faloona', 'id': '18495601'}]",,,,
1384020594417573894,1383200724243320840,2021-04-19 11:16:38 IST,2021-04-19,11:16:38,+0530,37795176,blackrue,Ruell Black,,@derrysown @beeple lol thx bro!,en,[],[],[],0,0,0,[],[],https://twitter.com/blackrue/status/1384020594417573894,False,,0,,,,,,,,"[{'screen_name': 'derrysown', 'name': 'ALLCAPS', 'id': '930973415627821056'}, {'screen_name': 'beeple', 'name': 'beeple', 'id': '34097500'}]",,,,
1383564019454283778,1383482109663186955,2021-04-18 05:02:22 IST,2021-04-18,05:02:22,+0530,37795176,blackrue,Ruell Black,,@_ZEROSYSTEM @SpacGuru @YouTube for sure bro no problem!!!,en,[],[],[],0,0,2,[],[],https://twitter.com/blackrue/status/1383564019454283778,False,,0,,,,,,,,"[{'screen_name': '_ZEROSYSTEM', 'name': 'In The Loop Radio', 'id': '3093792994'}, {'screen_name': 'SpacGuru', 'name': 'Spac Guru', 'id': '2342334844'}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': '10228272'}]",,,,
1383482109663186955,1383482109663186955,2021-04-17 23:36:53 IST,2021-04-17,23:36:53,+0530,37795176,blackrue,Ruell Black,,CLOV is the next GME - Blackrue Investing - Short Squeeze  shout out to @SpacGuru and @_ZEROSYSTEM   https://t.co/2X2dfHsBfL via @YouTube,en,"[{'screen_name': 'spacguru', 'name': 'spac guru', 'id': '2342334844'}, {'screen_name': '_zerosystem', 'name': 'in the loop radio', 'id': '3093792994'}, {'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/tAP2bnbZBwE'],[],1,3,4,[],[],https://twitter.com/blackrue/status/1383482109663186955,False,,0,,,,,,,,[],,,,
1383410472385343489,1383408890520367108,2021-04-17 18:52:13 IST,2021-04-17,18:52:13,+0530,37795176,blackrue,Ruell Black,,@SpacGuru @S3Partners @ihors3 Thx for the recap Guru.  https://t.co/yox8T0QSEj,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzLcfPQUYAQ9dba.jpg'],1,0,1,[],[],https://twitter.com/blackrue/status/1383410472385343489,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzLcfPQUYAQ9dba.jpg,,,,,,,"[{'screen_name': 'SpacGuru', 'name': 'Spac Guru', 'id': '2342334844'}, {'screen_name': 'S3Partners', 'name': 'S3 Partners', 'id': '2964381029'}, {'screen_name': 'ihors3', 'name': 'Ihor Dusaniwsky', 'id': '702154317596336128'}]",,,,
1383406682894602248,1383406682894602248,2021-04-17 18:37:10 IST,2021-04-17,18:37:10,+0530,37795176,blackrue,Ruell Black,,May be time to #SQUEEZECLOV short squeeze $clov that is! Great fact check of DD by the Guru. Over 148% short w/locked ceo shares @erikaash13 @LuizCabratzii @_ZEROSYSTEM @stockshowdamn @LukeJacobi @JasonRaznick @chriskatje @STORYInvestors @gnostyk1 @fredrick_sylla @freedbyfinance,en,"[{'screen_name': 'erikaash13', 'name': 'erika c$, md', 'id': '45937492'}, {'screen_name': 'luizcabratzii', 'name': 'flyvito', 'id': '532822002'}, {'screen_name': '_zerosystem', 'name': 'in the loop radio', 'id': '3093792994'}, {'screen_name': 'stockshowdamn', 'name': 'the best dam stock show', 'id': '1307510315018579968'}, {'screen_name': 'lukejacobi', 'name': 'hot stocks luke', 'id': '1577535906'}, {'screen_name': 'jasonraznick', 'name': 'jasonraznick', 'id': '13471032'}, {'screen_name': 'chriskatje', 'name': 'chris katje', 'id': '1009613448'}, {'screen_name': 'storyinvestors', 'name': 'money mitch', 'id': '814870750620487680'}, {'screen_name': 'gnostyk1', 'name': 'cq', 'id': '1239289492642693122'}, {'screen_name': 'fredrick_sylla', 'name': 'fredrick sylla', 'id': '704121394712473600'}, {'screen_name': 'freedbyfinance', 'name': 'paid for patience', 'id': '3883026449'}]",[],[],2,5,16,['squeezeclov'],['clov'],https://twitter.com/blackrue/status/1383406682894602248,False,https://twitter.com/SpacGuru/status/1383403681173819400,0,,,,,,,,[],,,,
1383208626949484544,1383208626949484544,2021-04-17 05:30:10 IST,2021-04-17,05:30:10,+0530,37795176,blackrue,Ruell Black,,$AMP and $VRA going offfff,en,[],[],[],0,1,4,[],"['amp', 'vra']",https://twitter.com/blackrue/status/1383208626949484544,False,,0,,,,,,,,[],,,,
1383205494995652610,1383200724243320840,2021-04-17 05:17:43 IST,2021-04-17,05:17:43,+0530,37795176,blackrue,Ruell Black,,@beeple Just kidding of course but I think people fancy that it is that easy. I love your stuff bro!,en,[],[],[],0,0,1,[],[],https://twitter.com/blackrue/status/1383205494995652610,False,,0,,,,,,,,"[{'screen_name': 'beeple', 'name': 'beeple', 'id': '34097500'}]",,,,
1383204879930298370,1383200724243320840,2021-04-17 05:15:16 IST,2021-04-17,05:15:16,+0530,37795176,blackrue,Ruell Black,,@beeple Yeah I heard this Guy got 69 million for a NFT png. So I am going to fire up the Microsoft Paint and get going... its not like I need 13 years experience in graphic design or anything.... I got 2nd place in an art show in the 2nd grade how hard could it be.... lol,en,[],[],[],2,0,4,[],[],https://twitter.com/blackrue/status/1383204879930298370,False,,0,,,,,,,,"[{'screen_name': 'beeple', 'name': 'beeple', 'id': '34097500'}]",,,,
1383166734526337027,1383152854236426245,2021-04-17 02:43:42 IST,2021-04-17,02:43:42,+0530,37795176,blackrue,Ruell Black,,@bits_bits_bits @verasitytech And that you can stake $VRA right now in the verawallet,en,[],[],[],1,0,1,[],['vra'],https://twitter.com/blackrue/status/1383166734526337027,False,,0,,,,,,,,"[{'screen_name': 'bits_bits_bits', 'name': 'Saylor V', 'id': '1254801964342353923'}, {'screen_name': 'verasitytech', 'name': 'Verasity', 'id': '953284716945399809'}]",,,,
1383166581249765376,1383152854236426245,2021-04-17 02:43:05 IST,2021-04-17,02:43:05,+0530,37795176,blackrue,Ruell Black,,@bits_bits_bits Exactly! Love the way you think. That's exactly what I am thinking. $VRA also has patented Proof of View technology. Specifically designed to prove a view &amp; rid platforms of fake bot views and bot signups. That is why (plus the up and running esports) i am high on @verasitytech,en,"[{'screen_name': 'verasitytech', 'name': 'verasity', 'id': '953284716945399809'}]",[],[],1,0,2,[],['vra'],https://twitter.com/blackrue/status/1383166581249765376,False,,0,,,,,,,,"[{'screen_name': 'bits_bits_bits', 'name': 'Saylor V', 'id': '1254801964342353923'}]",,,,
1383161598353678339,1383152854236426245,2021-04-17 02:23:17 IST,2021-04-17,02:23:17,+0530,37795176,blackrue,Ruell Black,,@bits_bits_bits @verasitytech @ecomi_ @zilliqa @harmonyprotocol @Cardano @VidyCoin @amptoken @FlexaHQ @UBIX_Network @telcoin_team gotcha definitely makes sense what you are saying especially with the winklevoss billions behind amp and nifty gateway etc. What have you heard about $Nano @nano it seems to be another in this space and they claim speed as their claim to fame,en,"[{'screen_name': 'nano', 'name': 'nano', 'id': '704476690139885568'}]",[],[],1,0,1,[],['nano'],https://twitter.com/blackrue/status/1383161598353678339,False,,0,,,,,,,,"[{'screen_name': 'bits_bits_bits', 'name': 'Saylor V', 'id': '1254801964342353923'}, {'screen_name': 'verasitytech', 'name': 'Verasity', 'id': '953284716945399809'}, {'screen_name': 'ecomi_', 'name': 'Ecomi', 'id': '978697175151595520'}, {'screen_name': 'zilliqa', 'name': 'Zilliqa', 'id': '872984298973941764'}, {'screen_name': 'harmonyprotocol', 'name': 'Harmony', 'id': '1006055524666826754'}, {'screen_name': 'Cardano', 'name': 'Cardano Community', 'id': '825920479055671296'}, {'screen_name': 'VidyCoin', 'name': 'VidyCoin (VIDY & VIDYX)', 'id': '975908968626192385'}, {'screen_name': 'amptoken', 'name': 'Amp', 'id': '1202049471871361024'}, {'screen_name': 'FlexaHQ', 'name': 'Flexa', 'id': '959183169554735105'}, {'screen_name': 'UBIX_Network', 'name': 'UBIX.Network', 'id': '1119113775418712065'}, {'screen_name': 'telcoin_team', 'name': 'Telcoin', 'id': '897349503816040448'}]",,,,
1383157275095822338,1383152854236426245,2021-04-17 02:06:06 IST,2021-04-17,02:06:06,+0530,37795176,blackrue,Ruell Black,,"@bits_bits_bits @verasitytech @ecomi_ @zilliqa @harmonyprotocol @Cardano @VidyCoin @amptoken @FlexaHQ @UBIX_Network I have been looking into money management Cryptos lately.... Saylor how would you compare $SYLO, $TEL (@telcoin_team ) and $AMP",en,"[{'screen_name': 'telcoin_team', 'name': 'telcoin', 'id': '897349503816040448'}]",[],[],1,0,1,[],"['sylo', 'tel', 'amp']",https://twitter.com/blackrue/status/1383157275095822338,False,,0,,,,,,,,"[{'screen_name': 'bits_bits_bits', 'name': 'Saylor V', 'id': '1254801964342353923'}, {'screen_name': 'verasitytech', 'name': 'Verasity', 'id': '953284716945399809'}, {'screen_name': 'ecomi_', 'name': 'Ecomi', 'id': '978697175151595520'}, {'screen_name': 'zilliqa', 'name': 'Zilliqa', 'id': '872984298973941764'}, {'screen_name': 'harmonyprotocol', 'name': 'Harmony', 'id': '1006055524666826754'}, {'screen_name': 'Cardano', 'name': 'Cardano Community', 'id': '825920479055671296'}, {'screen_name': 'VidyCoin', 'name': 'VidyCoin (VIDY & VIDYX)', 'id': '975908968626192385'}, {'screen_name': 'amptoken', 'name': 'Amp', 'id': '1202049471871361024'}, {'screen_name': 'FlexaHQ', 'name': 'Flexa', 'id': '959183169554735105'}, {'screen_name': 'UBIX_Network', 'name': 'UBIX.Network', 'id': '1119113775418712065'}]",,,,
