id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385352080345341953,1385078878742351874,2021-04-23 03:27:29 IST,2021-04-23,03:27:29,+0530,464245847,commentiquette,Comment Etiquette,,@ih8tethescene @ImDavidFerreira @Leahkmoser @verndredi @jamiejerwa Me too thanks,en,[],[],[],0,1,1,[],[],https://twitter.com/commentiquette/status/1385352080345341953,False,,0,,,,,,,,"[{'screen_name': 'ih8tethescene', 'name': 'iHateTheScene.com', 'id': '1360828784'}, {'screen_name': 'ImDavidFerreira', 'name': 'David Ferreira', 'id': '1105344666'}, {'screen_name': 'Leahkmoser', 'name': 'Leah Moser', 'id': '840792607441747971'}, {'screen_name': 'verndredi', 'name': 'mak🌪 NOT MARS MONTH :(', 'id': '751094355126083587'}, {'screen_name': 'jamiejerwa', 'name': 'jamieeee', 'id': '1237545420592570368'}]",,,,
1385332887705120769,1385332887705120769,2021-04-23 02:11:13 IST,2021-04-23,02:11:13,+0530,464245847,commentiquette,Comment Etiquette,,Going straight to my sex playlist 💘,en,[],[],[],21,13,406,[],[],https://twitter.com/commentiquette/status/1385332887705120769,False,https://twitter.com/hotterdad/status/1385271075584552963,0,,,,,,,,[],,,,
1384615960829599749,1384615960829599749,2021-04-21 02:42:24 IST,2021-04-21,02:42:24,+0530,464245847,commentiquette,Comment Etiquette,, https://t.co/a7uQJwqx9X,und,[],[],['https://pbs.twimg.com/tweet_video_thumb/Ezck4CCVUA8lF7x.jpg'],39,19,743,[],[],https://twitter.com/commentiquette/status/1384615960829599749,False,,1,https://pbs.twimg.com/tweet_video_thumb/Ezck4CCVUA8lF7x.jpg,,,,,,,[],,,,
1384383636242268161,1384383636242268161,2021-04-20 11:19:14 IST,2021-04-20,11:19:14,+0530,464245847,commentiquette,Comment Etiquette,,It's gone.  https://t.co/DyO8Glr17S,en,[],['https://www.youtube.com/watch?v=-d588bhfncg'],[],55,23,635,[],[],https://twitter.com/commentiquette/status/1384383636242268161,False,,0,,,,,,,,[],,,,
1382563858322059265,1382563858322059265,2021-04-15 10:48:05 IST,2021-04-15,10:48:05,+0530,464245847,commentiquette,Comment Etiquette,,This is like tech support day over here. Is anyone else having problems posting to Yahoo Answers? The fate of a certain lesson hangs in the balance.,en,[],[],[],124,34,2107,[],[],https://twitter.com/commentiquette/status/1382563858322059265,False,,0,,,,,,,,[],,,,
1382469121518956545,1382465035742572545,2021-04-15 04:31:38 IST,2021-04-15,04:31:38,+0530,464245847,commentiquette,Comment Etiquette,,@ETH_Nation @Henzoid me too thanks,en,[],[],[],1,0,60,[],[],https://twitter.com/commentiquette/status/1382469121518956545,False,,0,,,,,,,,"[{'screen_name': 'ETH_Nation', 'name': 'Jeremy Nation: Pro Black Activism', 'id': '854360383624159232'}, {'screen_name': 'Henzoid', 'name': 'Henzoid', 'id': '2262914624'}]",,,,
1382466399470112768,1382465035742572545,2021-04-15 04:20:49 IST,2021-04-15,04:20:49,+0530,464245847,commentiquette,Comment Etiquette,,@Completionist @henzoid figured it out. It's adblock doing something weird.,en,[],[],[],1,0,41,[],[],https://twitter.com/commentiquette/status/1382466399470112768,False,,0,,,,,,,,"[{'screen_name': 'Completionist', 'name': 'Jirard Khalil The Completionist', 'id': '18609494'}]",,,,
1382465742155653121,1382465035742572545,2021-04-15 04:18:12 IST,2021-04-15,04:18:12,+0530,464245847,commentiquette,Comment Etiquette,,@Henzoid YES. I knew complaining on twitter would be faster than googling. Thanks pimp.,en,[],[],[],6,3,376,[],[],https://twitter.com/commentiquette/status/1382465742155653121,False,,0,,,,,,,,"[{'screen_name': 'Henzoid', 'name': 'Henzoid', 'id': '2262914624'}]",,,,
1382465035742572545,1382465035742572545,2021-04-15 04:15:24 IST,2021-04-15,04:15:24,+0530,464245847,commentiquette,Comment Etiquette,,"Has anyone else ever had an issue with google docs where the formatting gets fucked up, pushes the text too far to the right, doesn't let you highlight text or place your cursor anywhere? And it's only happening to one specific google account, on one device only. This shit sucks?",en,[],[],[],71,8,1000,[],[],https://twitter.com/commentiquette/status/1382465035742572545,False,,0,,,,,,,,[],,,,
1381767254312767490,1381766575938736133,2021-04-13 06:02:40 IST,2021-04-13,06:02:40,+0530,464245847,commentiquette,Comment Etiquette,,@neongrizzlyshop  https://t.co/juIfbbIav6,und,[],[],['https://pbs.twimg.com/media/Ey0F_YoVEAI2akl.jpg'],8,1,235,[],[],https://twitter.com/commentiquette/status/1381767254312767490,False,,1,https://pbs.twimg.com/media/Ey0F_YoVEAI2akl.jpg,,,,,,,[],,,,
1381421243400777728,1379905212882722816,2021-04-12 07:07:44 IST,2021-04-12,07:07:44,+0530,464245847,commentiquette,Comment Etiquette,,@AlphaOmicronGa1 Thanks for the free content bitch,en,[],[],[],4,0,12,[],[],https://twitter.com/commentiquette/status/1381421243400777728,False,,0,,,,,,,,"[{'screen_name': 'AlphaOmicronGa1', 'name': 'AlphaOmicronGames', 'id': '1245392973900189696'}]",,,,
1381391995906584582,1381127438655123457,2021-04-12 05:11:31 IST,2021-04-12,05:11:31,+0530,464245847,commentiquette,Comment Etiquette,,@LewSpears The Lindbergh baby,en,[],[],[],11,1,293,[],[],https://twitter.com/commentiquette/status/1381391995906584582,False,,0,,,,,,,,"[{'screen_name': 'LewSpears', 'name': 'Lewis Spears', 'id': '563539450'}]",,,,
