id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385692708539351043,1385692708539351043,2021-04-24 02:01:01 IST,2021-04-24,02:01:01,+0530,170049408,davidgokhshtein,David Gokhshtein,,$DOGE has gone from $0.18 to $0.24 since yesterday. 🐣,en,[],[],[],3,9,40,[],['doge'],https://twitter.com/davidgokhshtein/status/1385692708539351043,False,,0,,,,,,,,[],,,,
1385692354749816835,1385692354749816835,2021-04-24 01:59:36 IST,2021-04-24,01:59:36,+0530,170049408,davidgokhshtein,David Gokhshtein,,There’s so many new #cryptocurrencies with the word “safe” in it.,en,[],[],[],28,1,41,['cryptocurrencies'],[],https://twitter.com/davidgokhshtein/status/1385692354749816835,False,,0,,,,,,,,[],,,,
1385692158628347917,1385692158628347917,2021-04-24 01:58:50 IST,2021-04-24,01:58:50,+0530,170049408,davidgokhshtein,David Gokhshtein,,$ETH 🔥🔥🔥🔥🔥,und,[],[],[],1,3,33,[],['eth'],https://twitter.com/davidgokhshtein/status/1385692158628347917,False,https://twitter.com/vitalikbuterin/status/1385689333236047873,0,,,,,,,,[],,,,
1385691771028582404,1385691771028582404,2021-04-24 01:57:17 IST,2021-04-24,01:57:17,+0530,170049408,davidgokhshtein,David Gokhshtein,,Pandemic Recovery and Small Business Optimism: Is There A Roadmap Forward?  https://t.co/oFsScYr2dY,en,[],['https://gokhshteinmedia.com/article/pandemic-recovery-and-small-business-optimism-is-there-a-roadmap-forward'],[],3,1,14,[],[],https://twitter.com/davidgokhshtein/status/1385691771028582404,False,,0,,,,,,,,[],,,,
1385691675201261582,1385691675201261582,2021-04-24 01:56:54 IST,2021-04-24,01:56:54,+0530,170049408,davidgokhshtein,David Gokhshtein,,How Technology Makes Wine Even Better  https://t.co/cX01HDc5Rg,en,[],['https://gokhshteinmedia.com/article/how-technology-makes-wine-even-better'],[],4,1,16,[],[],https://twitter.com/davidgokhshtein/status/1385691675201261582,False,,0,,,,,,,,[],,,,
1385691587620085762,1385691587620085762,2021-04-24 01:56:34 IST,2021-04-24,01:56:34,+0530,170049408,davidgokhshtein,David Gokhshtein,,Crypto Gets Game-Day Treatment  https://t.co/qUs1KrBZGP,en,[],['https://gokhshteinmedia.com/article/crypto-gets-game-day-treatment'],[],2,3,20,[],[],https://twitter.com/davidgokhshtein/status/1385691587620085762,False,,0,,,,,,,,[],,,,
1385691505235480578,1385691505235480578,2021-04-24 01:56:14 IST,2021-04-24,01:56:14,+0530,170049408,davidgokhshtein,David Gokhshtein,,The New World of “Business As Usual”  https://t.co/MPUObAlXIJ,en,[],['https://gokhshteinmedia.com/article/the-new-world-of-business-as-usual'],[],0,1,15,[],[],https://twitter.com/davidgokhshtein/status/1385691505235480578,False,,0,,,,,,,,[],,,,
1385689259990990853,1385689259990990853,2021-04-24 01:47:19 IST,2021-04-24,01:47:19,+0530,170049408,davidgokhshtein,David Gokhshtein,,Having control of your emotions and being patience will help you win in the #crypto market.   That also applies to life.,en,[],[],[],21,43,240,['crypto'],[],https://twitter.com/davidgokhshtein/status/1385689259990990853,False,,0,,,,,,,,[],,,,
1385689024254275587,1385681950673879041,2021-04-24 01:46:22 IST,2021-04-24,01:46:22,+0530,170049408,davidgokhshtein,David Gokhshtein,,@sweetsinner3 @MONkEY_Millions @sexualcrypto @coinbase @CoinbasePro @Gemini @RobinhoodApp 😂 that’s her side of the story.,en,[],[],[],1,1,3,[],[],https://twitter.com/davidgokhshtein/status/1385689024254275587,False,,0,,,,,,,,"[{'screen_name': 'sweetsinner3', 'name': '🅡 S 🅡 Niamh 🔥🍀', 'id': '27843263'}, {'screen_name': 'MONkEY_Millions', 'name': '🛡Elite🐒👑', 'id': '1329979211688407040'}, {'screen_name': 'sexualcrypto', 'name': 'eceocrypto', 'id': '1323231469653938178'}, {'screen_name': 'coinbase', 'name': 'Coinbase', 'id': '574032254'}, {'screen_name': 'CoinbasePro', 'name': 'Coinbase Pro', 'id': '720487892670410753'}, {'screen_name': 'Gemini', 'name': 'Gemini', 'id': '2815661158'}, {'screen_name': 'RobinhoodApp', 'name': 'Robinhood', 'id': '1265037073'}]",,,,
1385686843778347009,1385686843778347009,2021-04-24 01:37:43 IST,2021-04-24,01:37:43,+0530,170049408,davidgokhshtein,David Gokhshtein,,$500 right now in $USDT. What are you buying?   Comment below.,en,[],[],[],713,27,314,[],['usdt'],https://twitter.com/davidgokhshtein/status/1385686843778347009,False,,0,,,,,,,,[],,,,
1385686582879981568,1385686582879981568,2021-04-24 01:36:40 IST,2021-04-24,01:36:40,+0530,170049408,davidgokhshtein,David Gokhshtein,,A lot of people will miss out on $ETH because they are following a maxi off a cliff.   Chase gains not clout.,en,[],[],[],10,7,91,[],['eth'],https://twitter.com/davidgokhshtein/status/1385686582879981568,False,,0,,,,,,,,[],,,,
1385682570285883397,1385681950673879041,2021-04-24 01:20:44 IST,2021-04-24,01:20:44,+0530,170049408,davidgokhshtein,David Gokhshtein,,@sexualcrypto I’m not late at all but thanks 😊,en,[],[],[],0,0,12,[],[],https://twitter.com/davidgokhshtein/status/1385682570285883397,False,,0,,,,,,,,"[{'screen_name': 'sexualcrypto', 'name': 'eceocrypto', 'id': '1323231469653938178'}]",,,,
1385682497175003139,1385682497175003139,2021-04-24 01:20:26 IST,2021-04-24,01:20:26,+0530,170049408,davidgokhshtein,David Gokhshtein,,"I don’t get the $DOGE tweets from some of the haters. Yeah, it went down. So did the rest of the market.   Now it’s going up. Like the rest of the market.   I like to hear myself talk sometimes, but y’all take it to new levels.",en,[],[],[],39,50,292,[],['doge'],https://twitter.com/davidgokhshtein/status/1385682497175003139,False,,0,,,,,,,,[],,,,
1385681950673879041,1385681950673879041,2021-04-24 01:18:16 IST,2021-04-24,01:18:16,+0530,170049408,davidgokhshtein,David Gokhshtein,,$RSR is now becoming one of my favorite plays.   I would recommend researching the project.,en,[],[],[],27,27,197,[],['rsr'],https://twitter.com/davidgokhshtein/status/1385681950673879041,False,,0,,,,,,,,[],,,,
1385680616532889602,1385680616532889602,2021-04-24 01:12:58 IST,2021-04-24,01:12:58,+0530,170049408,davidgokhshtein,David Gokhshtein,,"I did want to see #Bitcoin go to $43,000 for selfish reasons.   But I’m also tired of the dips.",en,[],[],[],24,20,213,['bitcoin'],[],https://twitter.com/davidgokhshtein/status/1385680616532889602,False,,0,,,,,,,,[],,,,
1385680278367215622,1385680278367215622,2021-04-24 01:11:37 IST,2021-04-24,01:11:37,+0530,170049408,davidgokhshtein,David Gokhshtein,,Looks like the market is slowly coming back.   I’m so shocked. (Sarcasm),en,[],[],[],34,56,462,[],[],https://twitter.com/davidgokhshtein/status/1385680278367215622,False,,0,,,,,,,,[],,,,
1385673111094366210,1385658289908862976,2021-04-24 00:43:08 IST,2021-04-24,00:43:08,+0530,170049408,davidgokhshtein,David Gokhshtein,,@cvpayne Charles when #Bitcoin?,en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/davidgokhshtein/status/1385673111094366210,False,,0,,,,,,,,"[{'screen_name': 'cvpayne', 'name': 'Charles V Payne', 'id': '19400611'}]",,,,
1385654562686652417,1385654562686652417,2021-04-23 23:29:26 IST,2021-04-23,23:29:26,+0530,170049408,davidgokhshtein,David Gokhshtein,,"Also, I don’t believe the 43% CGT will actually pass in Congress.   They’ll lose a ton of tax revenue if it goes through.   People are more than willing to get up now and move to other countries. Everything is pretty much done remotely anyway.",en,[],[],[],25,28,234,[],[],https://twitter.com/davidgokhshtein/status/1385654562686652417,False,,0,,,,,,,,[],,,,
1385654072603119616,1385654072603119616,2021-04-23 23:27:29 IST,2021-04-23,23:27:29,+0530,170049408,davidgokhshtein,David Gokhshtein,,Green Weekend. No doubt.,en,[],[],[],60,89,659,[],[],https://twitter.com/davidgokhshtein/status/1385654072603119616,False,,0,,,,,,,,[],,,,
1385653794114056196,1385647034930171909,2021-04-23 23:26:23 IST,2021-04-23,23:26:23,+0530,170049408,davidgokhshtein,David Gokhshtein,,@IssaHenry92 Make room for me,en,[],[],[],1,0,2,[],[],https://twitter.com/davidgokhshtein/status/1385653794114056196,False,,0,,,,,,,,"[{'screen_name': 'IssaHenry92', 'name': 'Henry', 'id': '1136287644508405761'}]",,,,
1385653634772393985,1385647034930171909,2021-04-23 23:25:45 IST,2021-04-23,23:25:45,+0530,170049408,davidgokhshtein,David Gokhshtein,,@Von_Skal Your eyes...,en,[],[],[],2,0,2,[],[],https://twitter.com/davidgokhshtein/status/1385653634772393985,False,,0,,,,,,,,"[{'screen_name': 'Von_Skal', 'name': 'WarAnts', 'id': '2276108526'}]",,,,
1385653576769363974,1385647034930171909,2021-04-23 23:25:31 IST,2021-04-23,23:25:31,+0530,170049408,davidgokhshtein,David Gokhshtein,,@MTrach88 Thanks Mike. You’re awesome.,en,[],[],[],0,0,1,[],[],https://twitter.com/davidgokhshtein/status/1385653576769363974,False,,0,,,,,,,,"[{'screen_name': 'MTrach88', 'name': 'Mike Trachtenberg', 'id': '242807352'}]",,,,
1385653530866950146,1385647034930171909,2021-04-23 23:25:20 IST,2021-04-23,23:25:20,+0530,170049408,davidgokhshtein,David Gokhshtein,,@micktheskinz I play ping pong on Sunday’s.,en,[],[],[],1,0,7,[],[],https://twitter.com/davidgokhshtein/status/1385653530866950146,False,,0,,,,,,,,"[{'screen_name': 'micktheskinz', 'name': 'MicktheSkinz Ⓥ', 'id': '952208282382491649'}]",,,,
1385653391247003650,1385647034930171909,2021-04-23 23:24:47 IST,2021-04-23,23:24:47,+0530,170049408,davidgokhshtein,David Gokhshtein,,@EscoBartCaptial You want to see my toes.,en,[],[],[],0,0,2,[],[],https://twitter.com/davidgokhshtein/status/1385653391247003650,False,,0,,,,,,,,"[{'screen_name': 'EscoBartCaptial', 'name': '⁶👁️⃤', 'id': '330856003'}]",,,,
1385647901540560900,1385647034930171909,2021-04-23 23:02:58 IST,2021-04-23,23:02:58,+0530,170049408,davidgokhshtein,David Gokhshtein,,@SK3435 For onlyfans?,en,[],[],[],2,0,5,[],[],https://twitter.com/davidgokhshtein/status/1385647901540560900,False,,0,,,,,,,,"[{'screen_name': 'SK3435', 'name': 'SAFEMOON', 'id': '1381606653917851650'}]",,,,
1385647758426660868,1385647034930171909,2021-04-23 23:02:24 IST,2021-04-23,23:02:24,+0530,170049408,davidgokhshtein,David Gokhshtein,,@BITKING77 Huh?,und,[],[],[],3,0,2,[],[],https://twitter.com/davidgokhshtein/status/1385647758426660868,False,,0,,,,,,,,"[{'screen_name': 'BITKING77', 'name': '👑BITKING👑', 'id': '1001567698952704000'}]",,,,
1385647034930171909,1385647034930171909,2021-04-23 22:59:31 IST,2021-04-23,22:59:31,+0530,170049408,davidgokhshtein,David Gokhshtein,,Anymore dips and I’ll have no choice but to create an OnlyFans page.   👀,en,[],[],[],159,88,997,[],[],https://twitter.com/davidgokhshtein/status/1385647034930171909,False,,0,,,,,,,,[],,,,
1385639713780994051,1385639713780994051,2021-04-23 22:30:26 IST,2021-04-23,22:30:26,+0530,170049408,davidgokhshtein,David Gokhshtein,,$VET has done an excellent job holding strong throughout this dip.,en,[],[],[],24,63,547,[],['vet'],https://twitter.com/davidgokhshtein/status/1385639713780994051,False,,0,,,,,,,,[],,,,
1385638616211279874,1385638616211279874,2021-04-23 22:26:04 IST,2021-04-23,22:26:04,+0530,170049408,davidgokhshtein,David Gokhshtein,,$XRP dipped under a $1 yesterday and quickly bounced back.,en,[],[],[],18,26,322,[],['xrp'],https://twitter.com/davidgokhshtein/status/1385638616211279874,False,,0,,,,,,,,[],,,,
1385638325114056706,1385638325114056706,2021-04-23 22:24:55 IST,2021-04-23,22:24:55,+0530,170049408,davidgokhshtein,David Gokhshtein,,"You will never hear a wealthy person laugh at anyone for investing their money, but you will often hear a broke person laughing at everyone who invests their money.",en,[],[],[],38,131,670,[],[],https://twitter.com/davidgokhshtein/status/1385638325114056706,False,,0,,,,,,,,[],,,,
1385637466087075847,1385637466087075847,2021-04-23 22:21:30 IST,2021-04-23,22:21:30,+0530,170049408,davidgokhshtein,David Gokhshtein,,#NFT’s need #IPFS   That’s why they need PAC Protocol.   Made it very simple.   Do your own research and you’ll understand why.,en,[],[],[],8,11,74,"['nft', 'ipfs']",[],https://twitter.com/davidgokhshtein/status/1385637466087075847,False,,0,,,,,,,,[],,,,
1385636376805322752,1385636376805322752,2021-04-23 22:17:10 IST,2021-04-23,22:17:10,+0530,170049408,davidgokhshtein,David Gokhshtein,,"When you reach a certain age, you’ll realise that nobody cares anyway",en,[],[],[],24,48,381,[],[],https://twitter.com/davidgokhshtein/status/1385636376805322752,False,,0,,,,,,,,[],,,,
1385634032562679808,1385634032562679808,2021-04-23 22:07:51 IST,2021-04-23,22:07:51,+0530,170049408,davidgokhshtein,David Gokhshtein,,You wanted a dip. Biden gave you one.   Now what?,en,[],[],[],159,132,1108,[],[],https://twitter.com/davidgokhshtein/status/1385634032562679808,False,,0,,,,,,,,[],,,,
