id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385698038417661952,1385698038417661952,2021-04-24 02:22:12 IST,2021-04-24,02:22:12,+0530,144274618,economics,Bloomberg Economics,,"Biden invites world leaders to join the U.S. in driving a “fourth industrial revolution” to transform the energy sector, create jobs and overcome the threat of climate change  https://t.co/oALc8JrqU6",en,[],['https://trib.al/AOgXpHK'],[],0,1,0,[],[],https://twitter.com/economics/status/1385698038417661952,False,,0,,,,,,,,[],,,,
1385695409088122885,1385695409088122885,2021-04-24 02:11:45 IST,2021-04-24,02:11:45,+0530,144274618,economics,Bloomberg Economics,,"There's a new price surge confounding consumers. After toilet paper, bleach wipes, Bitcoin even puppies, add a new hot commodity: wood  https://t.co/WIhsgJcJpX",en,[],['https://trib.al/Li1WV8G'],[],0,3,0,[],[],https://twitter.com/economics/status/1385695409088122885,False,,0,,,,,,,,[],,,,
1385684114511220737,1385684114511220737,2021-04-24 01:26:52 IST,2021-04-24,01:26:52,+0530,144274618,economics,Bloomberg Economics,,Mexico’s central bank won’t send any surplus to the government from its 2020 results  https://t.co/0JHwNsoNw2,en,[],['https://trib.al/ES3ONuS'],[],1,3,6,[],[],https://twitter.com/economics/status/1385684114511220737,False,,0,,,,,,,,[],,,,
1385668900239597568,1385668900239597568,2021-04-24 00:26:24 IST,2021-04-24,00:26:24,+0530,144274618,economics,Bloomberg Economics,,"Chile’s congress will likely give final approval to legislation allowing billions of dollars in fresh pension withdrawals, setting up a showdown with President Pinera  https://t.co/g7OcjIzlqx",en,[],['https://trib.al/ULUhFtj'],[],0,3,3,[],[],https://twitter.com/economics/status/1385668900239597568,False,,0,,,,,,,,[],,,,
1385655844377972738,1385655844377972738,2021-04-23 23:34:32 IST,2021-04-23,23:34:32,+0530,144274618,economics,Bloomberg Economics,,"The UK and Australia have agreed to most of a free-trade agreement, with a deal between the countries now expected in June  https://t.co/CpfzTKtMzI",en,[],['https://trib.al/FGE1zH9'],[],0,2,5,[],[],https://twitter.com/economics/status/1385655844377972738,False,,0,,,,,,,,[],,,,
1385652438091411460,1385652438091411460,2021-04-23 23:21:00 IST,2021-04-23,23:21:00,+0530,144274618,economics,Bloomberg Economics,,What happened in the world economy this week – in charts  https://t.co/6n9JWwiAxA,en,[],['https://trib.al/SH7sqNQ'],[],0,3,3,[],[],https://twitter.com/economics/status/1385652438091411460,False,,0,,,,,,,,[],,,,
1385648351719395338,1385648351719395338,2021-04-23 23:04:45 IST,2021-04-23,23:04:45,+0530,144274618,economics,Bloomberg Economics,,Treasury Secretary Janet Yellen and ECB President Christine Lagarde wrap up a week of events on fighting climate change by renewing their call to financial institutions to mobilize private capital in the effort  https://t.co/OfY3qr2yS9,en,[],['https://trib.al/u5nLWlx'],[],1,3,5,[],[],https://twitter.com/economics/status/1385648351719395338,False,,0,,,,,,,,[],,,,
1385643589099741191,1385643589099741191,2021-04-23 22:45:50 IST,2021-04-23,22:45:50,+0530,144274618,economics,Bloomberg Economics,,A proposed capital gains tax increase would pose an existential threat to actively managed mutual funds (via @bopinion)  https://t.co/fdG9Z0EOWR,en,"[{'screen_name': 'bopinion', 'name': 'bloomberg opinion', 'id': '227682918'}]",['https://trib.al/thdo6QS'],[],1,1,1,[],[],https://twitter.com/economics/status/1385643589099741191,False,,0,,,,,,,,[],,,,
1385640420760244226,1385640420760244226,2021-04-23 22:33:14 IST,2021-04-23,22:33:14,+0530,144274618,economics,Bloomberg Economics,,Switzerland and the European Union fail to resolve their differences over a stalled bilateral agreement originally finalized more than two years ago  https://t.co/mijMLKe8N6,en,[],['https://trib.al/yb75rJq'],[],0,2,10,[],[],https://twitter.com/economics/status/1385640420760244226,False,,0,,,,,,,,[],,,,
1385637461414580231,1385637461414580231,2021-04-23 22:21:29 IST,2021-04-23,22:21:29,+0530,144274618,economics,Bloomberg Economics,,Joe Biden will take his first trip outside the U.S. as President this June to attend the G-7 Summit in the UK and a NATO meeting in Brussels  https://t.co/xNdyM5WumB,en,[],['https://trib.al/Tkokk4g'],[],0,4,10,[],[],https://twitter.com/economics/status/1385637461414580231,False,,0,,,,,,,,[],,,,
1385634478190641158,1385634478190641158,2021-04-23 22:09:38 IST,2021-04-23,22:09:38,+0530,144274618,economics,Bloomberg Economics,,"Central banks could play a role in helping the world shift to clean energy, Poland's president says during the climate summit hosted by Biden  https://t.co/P4lO3rUyi8",en,[],['https://trib.al/VZK9sGV'],[],0,4,3,[],[],https://twitter.com/economics/status/1385634478190641158,False,,0,,,,,,,,[],,,,
1385631450230308865,1385631450230308865,2021-04-23 21:57:36 IST,2021-04-23,21:57:36,+0530,144274618,economics,Bloomberg Economics,,"Norway’s government wants to make sure banks don’t stop providing cash, as the country becomes the world leader in abandoning physical notes and coins  https://t.co/dnMWcSnIUx",en,[],['https://trib.al/q0ZaUh9'],[],0,5,2,[],[],https://twitter.com/economics/status/1385631450230308865,False,,0,,,,,,,,[],,,,
