id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1273390251155902471,1273386306987417602,2020-06-18 04:31:08 IST,2020-06-18,04:31:08,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@APatelThompson Awesome Avni!!,und,[],[],[],0,0,1,[],[],https://twitter.com/ferranprieto/status/1273390251155902471,False,,0,,,,,,,,"[{'screen_name': 'APatelThompson', 'name': 'Avni Patel Thompson', 'id': '165385234'}]",,,,
1257618662443421696,1257607231752810496,2020-05-05 16:00:29 IST,2020-05-05,16:00:29,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@Carlossainz55 @CSainz_oficial 👏👏👏👏👏👏👏,und,[],[],[],0,0,0,[],[],https://twitter.com/ferranprieto/status/1257618662443421696,False,,0,,,,,,,,"[{'screen_name': 'Carlossainz55', 'name': 'Carlos Sainz', 'id': '353786894'}, {'screen_name': 'CSainz_oficial', 'name': 'Carlos Sainz', 'id': '407952890'}]",,,,
1213918604686696449,1213905653372080128,2020-01-06 01:52:03 IST,2020-01-06,01:52:03,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,"@APatelThompson Can’t wait to see what you are building Avni, you are a superstar!!",en,[],[],[],0,0,1,[],[],https://twitter.com/ferranprieto/status/1213918604686696449,False,,0,,,,,,,,"[{'screen_name': 'APatelThompson', 'name': 'Avni Patel Thompson', 'id': '165385234'}]",,,,
1184670943584641029,1184670943584641029,2019-10-17 08:52:17 IST,2019-10-17,08:52:17,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@HBSAlumni #HBSGNN HBS Club of Michigan in Detroit!  https://t.co/vYl1Tc8bC6,in,[],[],"['https://pbs.twimg.com/media/EHDL8AjW4AAxfn2.jpg', 'https://pbs.twimg.com/media/EHDL8AhWoAA3KzQ.jpg', 'https://pbs.twimg.com/media/EHDL8AjWoAAwjWb.jpg', 'https://pbs.twimg.com/media/EHDL8AiXYAUroVb.jpg']",1,1,2,['hbsgnn'],[],https://twitter.com/ferranprieto/status/1184670943584641029,False,,1,https://pbs.twimg.com/media/EHDL8AjW4AAxfn2.jpg,,,,,,,[],,,,
1147444613650755584,1147427602761691138,2019-07-06 15:28:09 IST,2019-07-06,15:28:09,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@threekola @FCBbasket Enhorabuena Niko!,eu,[],[],[],0,0,0,[],[],https://twitter.com/ferranprieto/status/1147444613650755584,False,,0,,,,,,,,"[{'screen_name': 'FCBbasket', 'name': 'Barça Basket', 'id': '138713484'}]",,,,
1101616486794313729,1101613706021097478,2019-03-02 04:23:32 IST,2019-03-02,04:23:32,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@JmCalderon @paugasol 👏👏👏,und,[],[],[],0,1,2,[],[],https://twitter.com/ferranprieto/status/1101616486794313729,False,,0,,,,,,,,"[{'screen_name': 'JmCalderon', 'name': 'José Manuel Calderón', 'id': '308973177'}, {'screen_name': 'paugasol', 'name': 'Pau Gasol', 'id': '163559269'}]",,,,
1082427273372946434,1082427273372946434,2019-01-08 05:32:27 IST,2019-01-08,05:32:27,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@DetroitPistons #itsadetroitthing  https://t.co/zxApi9iHnA,und,[],[],['https://pbs.twimg.com/media/DwWN1l7X4AA85jy.jpg'],0,0,0,['itsadetroitthing'],[],https://twitter.com/ferranprieto/status/1082427273372946434,False,,1,https://pbs.twimg.com/media/DwWN1l7X4AA85jy.jpg,,,,,,,[],,,,
966523374041206784,966523374041206784,2018-02-22 09:31:44 IST,2018-02-22,09:31:44,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,"Stoneman Douglas students: I am so incredibly proud of you, you are an inspiration to us all",en,[],[],[],0,0,0,[],[],https://twitter.com/ferranprieto/status/966523374041206784,False,,0,,,,,,,,[],,,,
899994455259795457,899994455259795457,2017-08-22 19:29:33 IST,2017-08-22,19:29:33,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,I love you #Barcelona #notenimpor #wearenotafraid #rambla…  https://t.co/9Xh5t2Pp7Z,en,[],['https://www.instagram.com/p/BYGT8h6gPFGAnzj_STuBkzmpJj70LUK4mKf27U0/'],[],1,0,0,"['barcelona', 'notenimpor', 'wearenotafraid', 'rambla']",[],https://twitter.com/ferranprieto/status/899994455259795457,False,,0,,,,,,,,[],,,,
822212537861214214,822134700064067589,2017-01-20 04:11:59 IST,2017-01-20,04:11:59,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@jmessler @PlayersTribune Congrats!!,en,[],[],[],0,0,1,[],[],https://twitter.com/ferranprieto/status/822212537861214214,False,,0,,,,,,,,"[{'screen_name': 'jmessler', 'name': 'Jaymee Messler', 'id': '18688375'}, {'screen_name': 'PlayersTribune', 'name': ""The Players' Tribune"", 'id': '415605847'}]",,,,
760235065930571776,760235065930571776,2016-08-02 03:35:38 IST,2016-08-02,03:35:38,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,Gorgeous San Sebastián!  https://t.co/22UxXngSJV,fi,[],['https://www.instagram.com/p/BIlQvu4jxsodefbpFe8upbsqNq0OjTioqHMjAc0/'],[],0,0,6,[],[],https://twitter.com/ferranprieto/status/760235065930571776,False,,0,,,,,,,,[],,,,
699024173239308289,699024173239308289,2016-02-15 05:45:24 IST,2016-02-15,05:45:24,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,LIVE on #Periscope: All Star game - shoot around   https://t.co/2SMzAtVqP4,en,[],['https://www.pscp.tv/w/aZEQHDE5NDQ1MzV8MW1yeG1PRGFOb2RHebRRgGbotKo-LGXyPilcLwalUSdFPBfYKQ5qHE1mz7DJ'],[],0,0,1,['periscope'],[],https://twitter.com/ferranprieto/status/699024173239308289,False,,0,,,,,,,,[],,,,
696775203280416768,696774757589487616,2016-02-09 00:48:48 IST,2016-02-09,00:48:48,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,"@HBSAlumni @scottbelsky @benchmark @pchakravarty @csteins great news for @benchmark and for entrepreneurs, and very well deserved!",en,"[{'screen_name': 'scottbelsky', 'name': 'scott belsky', 'id': '15698507'}, {'screen_name': 'benchmark', 'name': 'benchmark', 'id': '43976252'}, {'screen_name': 'pchakravarty', 'name': 'prateek chakravarty', 'id': '45991410'}, {'screen_name': 'csteins', 'name': 'christopher steiner', 'id': '24329880'}, {'screen_name': 'benchmark', 'name': 'benchmark', 'id': '43976252'}]",[],[],0,1,0,[],[],https://twitter.com/ferranprieto/status/696775203280416768,False,,0,,,,,,,,[],,,,
696744987845902341,696741180353024000,2016-02-08 22:48:44 IST,2016-02-08,22:48:44,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,@scottbelsky Congrats!,en,[],[],[],0,0,1,[],[],https://twitter.com/ferranprieto/status/696744987845902341,False,,0,,,,,,,,[],,,,
645635946491215872,645635946491215872,2015-09-20 21:59:39 IST,2015-09-20,21:59:39,+0530,55896064,ferranprieto,Fernando “Ferran” Prieto,,Ready for the final!! #EuroBasket2015 #SomosEquipo  http://t.co/6t3rxXU7I0,en,[],[],['https://pbs.twimg.com/media/CPXCZ82UAAI74gN.jpg'],0,0,2,"['eurobasket2015', 'somosequipo']",[],https://twitter.com/ferranprieto/status/645635946491215872,False,,1,https://pbs.twimg.com/media/CPXCZ82UAAI74gN.jpg,,,,,,,[],,,,
