id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1384923316432084994,1384902125101199360,2021-04-21 23:03:43 IST,2021-04-21,23:03:43,+0530,20348377,jeffweiner,Jeff Weiner,,@johnolilly @zoink One of my favorite people in tech sharing an image of two of my favorite start-ups (Figma in new browser from The Browser Company).,en,[],[],[],3,1,15,[],[],https://twitter.com/jeffweiner/status/1384923316432084994,False,,0,,,,,,,,"[{'screen_name': 'johnolilly', 'name': 'John Lilly', 'id': '756129'}, {'screen_name': 'zoink', 'name': 'Dylan Field at #Config2021', 'id': '9445792'}]",,,,
1341157444207173635,1341144845335875584,2020-12-22 04:33:46 IST,2020-12-22,04:33:46,+0530,20348377,jeffweiner,Jeff Weiner,,@mgsiegler Lol. Apparently my first @ pocket tweet. :),en,[],[],[],1,0,5,[],[],https://twitter.com/jeffweiner/status/1341157444207173635,False,,0,,,,,,,,"[{'screen_name': 'mgsiegler', 'name': 'M.G. Siegler', 'id': '652193'}]",,,,
1330597289971359745,1330544777620754434,2020-11-23 01:11:29 IST,2020-11-23,01:11:29,+0530,20348377,jeffweiner,Jeff Weiner,,"@erikahjames @WhartonUGR Thank you for having me, Dean @erikahjames. Looking forward to continuing to work together on some of these important themes.",en,"[{'screen_name': 'erikahjames', 'name': 'dean erika james', 'id': '76972624'}]",[],[],1,0,2,[],[],https://twitter.com/jeffweiner/status/1330597289971359745,False,,0,,,,,,,,"[{'screen_name': 'erikahjames', 'name': 'Dean Erika James', 'id': '76972624'}, {'screen_name': 'WhartonUGR', 'name': 'Wharton Undergrad', 'id': '293538855'}]",,,,
1291512890051108865,1291510002121940993,2020-08-07 04:44:02 IST,2020-08-07,04:44:02,+0530,20348377,jeffweiner,Jeff Weiner,,"@carlquintanilla 1. The Job switching episode is my all-time favorite and an incredibly prescient statement on modern life. To this day, I use it as an analogy for keeping up with one’s inbox. 2. Hollywood lore suggests that the fight in the grape stomping episode actually turned real.",en,[],[],[],1,0,3,[],[],https://twitter.com/jeffweiner/status/1291512890051108865,False,,0,,,,,,,,"[{'screen_name': 'carlquintanilla', 'name': 'Carl Quintanilla', 'id': '114782468'}]",,,,
1245750307377709057,1245750307377709057,2020-04-02 21:59:52 IST,2020-04-02,21:59:52,+0530,20348377,jeffweiner,Jeff Weiner,,Our Commitment to Our Customers and Members on the Frontlines  https://t.co/cKL6z0jOjB via @hireonlinkedin,en,"[{'screen_name': 'hireonlinkedin', 'name': 'linkedin talent solutions', 'id': '39598389'}]",['https://business.linkedin.com/talent-solutions/blog/product-updates/2020/commitment-to-customers-and-members-on-frontlines'],[],79,24,136,[],[],https://twitter.com/jeffweiner/status/1245750307377709057,False,,0,,,,,,,,[],,,,
1245750229741105153,1245686961408524291,2020-04-02 21:59:34 IST,2020-04-02,21:59:34,+0530,20348377,jeffweiner,Jeff Weiner,,@janrezab @LinkedIn Our Commitment to Our Customers and Members on the Frontlines  https://t.co/cKL6z0jOjB via @hireonlinkedin,en,"[{'screen_name': 'hireonlinkedin', 'name': 'linkedin talent solutions', 'id': '39598389'}]",['https://business.linkedin.com/talent-solutions/blog/product-updates/2020/commitment-to-customers-and-members-on-frontlines'],[],1,0,3,[],[],https://twitter.com/jeffweiner/status/1245750229741105153,False,,0,,,,,,,,"[{'screen_name': 'janrezab', 'name': 'Jan Rezab', 'id': '15237868'}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': '13058772'}]",,,,
1225486565729808385,1225470525306073088,2020-02-06 23:59:00 IST,2020-02-06,23:59:00,+0530,20348377,jeffweiner,Jeff Weiner,,"@dickc Thanks for the kind words, @dickc. Look forward to catching  up soon.",en,"[{'screen_name': 'dickc', 'name': 'dick costolo', 'id': '6385432'}]",[],[],4,0,13,[],[],https://twitter.com/jeffweiner/status/1225486565729808385,False,,0,,,,,,,,"[{'screen_name': 'dickc', 'name': 'dick costolo', 'id': '6385432'}]",,,,
1225185829720489984,1225156818432905216,2020-02-06 04:03:59 IST,2020-02-06,04:03:59,+0530,20348377,jeffweiner,Jeff Weiner,,@SimoneStolzoff @HeatherLandy Lol. May be one of best descriptions of @Ryros I've seen yet.,en,"[{'screen_name': 'ryros', 'name': 'ryan roslansky', 'id': '17218096'}]",[],[],1,1,8,[],[],https://twitter.com/jeffweiner/status/1225185829720489984,False,,0,,,,,,,,"[{'screen_name': 'SimoneStolzoff', 'name': 'Simone Stolzoff', 'id': '526630929'}, {'screen_name': 'HeatherLandy', 'name': 'Heather Landy', 'id': '323292704'}]",,,,
1225094844965478402,1225094844965478402,2020-02-05 22:02:26 IST,2020-02-05,22:02:26,+0530,20348377,jeffweiner,Jeff Weiner,,Couldn't be more excited to start my next play as LinkedIn's Executive Chairman on June 1st. Congrats to @Ryros on becoming our next CEO.  https://t.co/txanyXU3Xh,en,"[{'screen_name': 'ryros', 'name': 'ryan roslansky', 'id': '17218096'}]",['https://www.linkedin.com/pulse/its-time-my-next-play-linkedins-new-ceo-jeff-weiner/'],[],41,86,645,[],[],https://twitter.com/jeffweiner/status/1225094844965478402,False,,0,,,,,,,,[],,,,
1203789135166631936,1203789135166631936,2019-12-09 03:01:09 IST,2019-12-09,03:01:09,+0530,20348377,jeffweiner,Jeff Weiner,,Wonder what kind of odds you would have gotten 12 months ago on Warriors being one of worst teams in NBA and Niners being one of best in NFL within a year.,en,[],[],[],26,15,122,[],[],https://twitter.com/jeffweiner/status/1203789135166631936,False,,0,,,,,,,,[],,,,
1203778721405997056,1203778035071123457,2019-12-09 02:19:46 IST,2019-12-09,02:19:46,+0530,20348377,jeffweiner,Jeff Weiner,,@dyett Coaches included. Play calling has been excellent.,en,[],[],[],0,0,3,[],[],https://twitter.com/jeffweiner/status/1203778721405997056,False,,0,,,,,,,,"[{'screen_name': 'dyett', 'name': 'James Dyett', 'id': '26826595'}]",,,,
