id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385353630556073989,1385240665777479684,2021-04-23 03:33:38 IST,2021-04-23,03:33:38,+0530,18816166,kevinroose,Kevin Roose,,"@isaach Ah, my mistake",en,[],[],[],0,0,5,[],[],https://twitter.com/kevinroose/status/1385353630556073989,False,,0,,,,,,,,"[{'screen_name': 'isaach', 'name': 'Isaac Hepworth', 'id': '7852612'}]",,,,
1385351824257994752,1385240665777479684,2021-04-23 03:26:28 IST,2021-04-23,03:26:28,+0530,18816166,kevinroose,Kevin Roose,,"Just one data point on this: person who would know tells me there are E5 engineers at FB (pretty junior, usually 4-5 years out of college) making $200k base salaries plus $700k in RSUs and $100-150k signing bonuses.",en,[],[],[],19,14,129,[],[],https://twitter.com/kevinroose/status/1385351824257994752,False,,0,,,,,,,,[],,,,
1385268983495077893,1385262293735284737,2021-04-22 21:57:17 IST,2021-04-22,21:57:17,+0530,18816166,kevinroose,Kevin Roose,,@bborrman @BrandyZadrozny I’m just mad you didn’t announce your YOLO in time to be a source.,en,[],[],[],1,0,22,[],[],https://twitter.com/kevinroose/status/1385268983495077893,False,,0,,,,,,,,"[{'screen_name': 'bborrman', 'name': 'Brandon', 'id': '47454782'}, {'screen_name': 'BrandyZadrozny', 'name': 'Brandy Zadrozny', 'id': '360743972'}]",,,,
1385250458298720256,1385250167046115329,2021-04-22 20:43:40 IST,2021-04-22,20:43:40,+0530,18816166,kevinroose,Kevin Roose,,@WilliamShatner ok sir,es,[],[],[],2,0,12,[],[],https://twitter.com/kevinroose/status/1385250458298720256,False,,0,,,,,,,,"[{'screen_name': 'WilliamShatner', 'name': 'William Shatner', 'id': '15227791'}]",,,,
1385249905451704327,1385248589073502212,2021-04-22 20:41:28 IST,2021-04-22,20:41:28,+0530,18816166,kevinroose,Kevin Roose,,@TheStalwart @WilliamShatner We did it joe,en,[],[],[],1,0,20,[],[],https://twitter.com/kevinroose/status/1385249905451704327,False,,0,,,,,,,,"[{'screen_name': 'TheStalwart', 'name': 'Joe Weisenthal', 'id': '14096763'}, {'screen_name': 'WilliamShatner', 'name': 'William Shatner', 'id': '15227791'}]",,,,
1385249488906899459,1385240665777479684,2021-04-22 20:39:49 IST,2021-04-22,20:39:49,+0530,18816166,kevinroose,Kevin Roose,,@karenkho Yep! These things can coexist!,en,[],[],[],1,0,5,[],[],https://twitter.com/kevinroose/status/1385249488906899459,False,,0,,,,,,,,"[{'screen_name': 'karenkho', 'name': 'Karen K. Ho', 'id': '17768442'}]",,,,
1385247205448105987,1385240665777479684,2021-04-22 20:30:45 IST,2021-04-22,20:30:45,+0530,18816166,kevinroose,Kevin Roose,,"@adamnash And that’s just wages! Think of all the vesting RSUs, IPOs, crypto gains, etc etc.",en,[],[],[],3,0,5,[],[],https://twitter.com/kevinroose/status/1385247205448105987,False,,0,,,,,,,,"[{'screen_name': 'adamnash', 'name': 'Adam Nash', 'id': '1421521'}]",,,,
1385242209105100804,1385240665777479684,2021-04-22 20:10:53 IST,2021-04-22,20:10:53,+0530,18816166,kevinroose,Kevin Roose,,"Which is to say: the K-shaped recovery is extremely real, but the top leg of the K is not small, and it’s going parabolic.",en,[],[],[],12,13,203,[],[],https://twitter.com/kevinroose/status/1385242209105100804,False,,0,,,,,,,,[],,,,
1385241396672667651,1385240665777479684,2021-04-22 20:07:40 IST,2021-04-22,20:07:40,+0530,18816166,kevinroose,Kevin Roose,,"Google, eg, had 132,000 employees making a *median* salary of $250k as of last year. And that was before all the salary resets and retention bonuses being given now.",en,[],[],[],10,37,248,[],[],https://twitter.com/kevinroose/status/1385241396672667651,False,,0,,,,,,,,[],,,,
1385240665777479684,1385240665777479684,2021-04-22 20:04:45 IST,2021-04-22,20:04:45,+0530,18816166,kevinroose,Kevin Roose,,"One takeaway from YOLO economy discourse is that a lot of people do not fully grasp how much richer early/mid-career employees in certain industries (tech, mostly) have gotten in the past year.",en,[],[],[],15,53,759,[],[],https://twitter.com/kevinroose/status/1385240665777479684,False,,0,,,,,,,,[],,,,
