id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385695211238662147,1385695211238662147,2021-04-24 02:10:57 IST,2021-04-24,02:10:57,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,"Goodness me, Arsenal are poor. Super League my a**e  https://t.co/dHpoSqymaD",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Ezr6cjZX0AI2umk.jpg'],1,0,2,[],[],https://twitter.com/mhewson_CMC/status/1385695211238662147,False,,1,https://pbs.twimg.com/tweet_video_thumb/Ezr6cjZX0AI2umk.jpg,,,,,,,[],,,,
1385663441092976641,1385663441092976641,2021-04-24 00:04:43 IST,2021-04-24,00:04:43,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,Arsene Wenger believes all of Europe 'wants to destroy the Premier League'  https://t.co/gu36w4WI8F,en,[],['https://www.telegraph.co.uk/football/2021/04/23/arsene-wenger-believes-europe-wants-destroy-premier-league/'],[],1,0,1,[],[],https://twitter.com/mhewson_CMC/status/1385663441092976641,False,,0,,,,,,,,[],,,,
1385617671044182039,1385617671044182039,2021-04-23 21:02:50 IST,2021-04-23,21:02:50,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,Have a good weekend all - I'm off to the chippy.  https://t.co/KHvKcFvml9,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Ezqz630XoAYmZ5u.jpg'],9,0,19,[],[],https://twitter.com/mhewson_CMC/status/1385617671044182039,False,,1,https://pbs.twimg.com/tweet_video_thumb/Ezqz630XoAYmZ5u.jpg,,,,,,,[],,,,
1385615058911236101,1385615058911236101,2021-04-23 20:52:28 IST,2021-04-23,20:52:28,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,"The week ahead: US rate decision; Tesla, BP, Lloyds, Barclays results  https://t.co/qDT1srHulU  @CMCMarkets #USD",en,"[{'screen_name': 'cmcmarkets', 'name': 'cmc markets', 'id': '20762756'}]",['https://www.cmcmarkets.com/en-gb/news-and-analysis/the-week-ahead-us-rate-decision-tesla-bp-lloyds-barclays-results?ts=1619190974'],[],1,2,5,['usd'],[],https://twitter.com/mhewson_CMC/status/1385615058911236101,False,,0,,,,,,,,[],,,,
1385614266917654529,1385614266917654529,2021-04-23 20:49:19 IST,2021-04-23,20:49:19,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,Services data pulls stocks off their lows  https://t.co/IQdR7GAIih #FTSE100 #gbp @CMCMarkets,en,"[{'screen_name': 'cmcmarkets', 'name': 'cmc markets', 'id': '20762756'}]",['https://www.cmcmarkets.com/en-gb/news-and-analysis/services-data-pulls-stocks-off-their-lows?ts=1619190982'],[],0,2,1,"['ftse100', 'gbp']",[],https://twitter.com/mhewson_CMC/status/1385614266917654529,False,,0,,,,,,,,[],,,,
1385594512765038592,1385594512765038592,2021-04-23 19:30:49 IST,2021-04-23,19:30:49,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,"US New Home Sales (Mar) rise 20.7%, exp: 14.2%, prev: -18.2%",en,[],[],[],1,1,2,[],[],https://twitter.com/mhewson_CMC/status/1385594512765038592,False,,0,,,,,,,,[],,,,
1385590624615870471,1385590624615870471,2021-04-23 19:15:22 IST,2021-04-23,19:15:22,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,"US Services flash PMI (Apr) comes in at 63.1, exp: 61.5, manufacturing at 60.6",en,[],[],[],0,1,4,[],[],https://twitter.com/mhewson_CMC/status/1385590624615870471,False,,0,,,,,,,,[],,,,
1385553027801694208,1385551574639030272,2021-04-23 16:45:58 IST,2021-04-23,16:45:58,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,@MrMBrown they must have had a day off yesterday...,en,[],[],[],1,0,1,[],[],https://twitter.com/mhewson_CMC/status/1385553027801694208,False,,0,,,,,,,,"[{'screen_name': 'MrMBrown', 'name': 'Michael Brown', 'id': '380185975'}]",,,,
1385518706835566597,1385515267359399938,2021-04-23 14:29:36 IST,2021-04-23,14:29:36,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,@notayesmansecon @MrMBrown I haven't forgotten that Shaun - I referenced it in my morning note,en,[],[],[],1,0,1,[],[],https://twitter.com/mhewson_CMC/status/1385518706835566597,False,,0,,,,,,,,"[{'screen_name': 'notayesmansecon', 'name': 'Shaun Richards', 'id': '182438498'}, {'screen_name': 'MrMBrown', 'name': 'Michael Brown', 'id': '380185975'}]",,,,
1385515801504006144,1385515267359399938,2021-04-23 14:18:03 IST,2021-04-23,14:18:03,+0530,21183938,mhewson_cmc,Michael Hewson 🇬🇧,,@MrMBrown everybody loves a PMI - its a triggering event..👀👀  https://t.co/eCY4xi5QhZ,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzpXRkaWUAESF6k.jpg'],2,0,4,[],[],https://twitter.com/mhewson_CMC/status/1385515801504006144,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzpXRkaWUAESF6k.jpg,,,,,,,"[{'screen_name': 'MrMBrown', 'name': 'Michael Brown', 'id': '380185975'}]",,,,
