id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385397414719234052,1385397414719234052,2021-04-23 06:27:37 IST,2021-04-23,06:27:37,+0530,745273,naval,Naval,,Every Theory Is Held Inside a Physical Substrate  https://t.co/oZv9VPOKQD  https://t.co/rFvWz4ey47,en,[],['http://nav.al/substrate'],[],19,75,442,[],[],https://twitter.com/naval/status/1385397414719234052,False,,1,https://pbs.twimg.com/amplify_video_thumb/1385397041270910977/img/edMgZcMmAPF-jJcP.jpg,,,,,,,[],,,,
1384278469882748942,1384278469882748942,2021-04-20 04:21:20 IST,2021-04-20,04:21:20,+0530,745273,naval,Naval,,Is the Universe Discrete or Continuous?  https://t.co/F4CqQlBwjj  https://t.co/SZiVMZ7kme,en,[],['http://nav.al/discrete'],[],55,115,772,[],[],https://twitter.com/naval/status/1384278469882748942,False,,1,https://pbs.twimg.com/amplify_video_thumb/1384277165433180175/img/9DUkRiimRFsSGQ9I.jpg,,,,,,,[],,,,
1384249232127795208,1384157407098523653,2021-04-20 02:25:09 IST,2021-04-20,02:25:09,+0530,745273,naval,Naval,,"@akirathedon @WilliamShatner Ironic, he’s living in the past.",en,[],[],[],4,5,113,[],[],https://twitter.com/naval/status/1384249232127795208,False,,0,,,,,,,,"[{'screen_name': 'akirathedon', 'name': 'AKIRA THE DON', 'id': '18225967'}, {'screen_name': 'WilliamShatner', 'name': 'William Shatner', 'id': '15227791'}]",,,,
1383968370031091715,1383968370031091715,2021-04-19 07:49:06 IST,2021-04-19,07:49:06,+0530,745273,naval,Naval,,Speak truth.   About what matters.  Say it well.,en,[],[],[],123,1026,6865,[],[],https://twitter.com/naval/status/1383968370031091715,False,,0,,,,,,,,[],,,,
1383966312389431301,1383966312389431301,2021-04-19 07:40:56 IST,2021-04-19,07:40:56,+0530,745273,naval,Naval,,You can’t buy a real kiss.,en,[],[],[],373,1176,12101,[],[],https://twitter.com/naval/status/1383966312389431301,False,,0,,,,,,,,[],,,,
1383958262974803975,1383953084204732419,2021-04-19 07:08:57 IST,2021-04-19,07:08:57,+0530,745273,naval,Naval,,We are all artists. The only question is if you acknowledge it or not.,en,[],[],[],53,373,2484,[],[],https://twitter.com/naval/status/1383958262974803975,False,,0,,,,,,,,[],,,,
1383953084204732419,1383953084204732419,2021-04-19 06:48:22 IST,2021-04-19,06:48:22,+0530,745273,naval,Naval,,A life of poetry is one in which every action counts.,en,[],[],[],80,488,4221,[],[],https://twitter.com/naval/status/1383953084204732419,False,,0,,,,,,,,[],,,,
1383943315972792324,1383943315972792324,2021-04-19 06:09:33 IST,2021-04-19,06:09:33,+0530,745273,naval,Naval,,The problem with genius is that you have to tolerate madness.,en,[],[],[],290,1950,14851,[],[],https://twitter.com/naval/status/1383943315972792324,False,,0,,,,,,,,[],,,,
1383925843890634767,1383903036490219523,2021-04-19 05:00:07 IST,2021-04-19,05:00:07,+0530,745273,naval,Naval,,"@_jacksmith Originally from the late, great @AmuseChimp",en,"[{'screen_name': 'amusechimp', 'name': 'amused chimp 🇺🇸', 'id': '83470331'}]",[],[],12,8,379,[],[],https://twitter.com/naval/status/1383925843890634767,False,,0,,,,,,,,"[{'screen_name': '_jacksmith', 'name': 'Jack Smith', 'id': '20411717'}]",,,,
1383896610585776129,1383164504423366664,2021-04-19 03:03:58 IST,2021-04-19,03:03:58,+0530,745273,naval,Naval,,@elevatenate  https://t.co/ZqEMvtp8lA,und,[],['https://twitter.com/naval/status/1383856991286693893'],[],2,2,2,[],[],https://twitter.com/naval/status/1383896610585776129,False,https://twitter.com/naval/status/1383856991286693893,0,,,,,,,,"[{'screen_name': 'elevatenate', 'name': 'Elevate', 'id': '2754981065'}]",,,,
