id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385694175367254019,1385694175367254019,2021-04-24 02:06:51 IST,2021-04-24,02:06:51,+0530,17469289,nypost,New York Post,,Congressmen send letter to State Department asking to save USCG Cutter Adak  https://t.co/d67XjLqa3n  https://t.co/YxM4TwUCQY,en,[],['https://trib.al/EKLk2sX'],['https://pbs.twimg.com/media/Ezr5gk8WYAIV2-Q.jpg'],0,1,4,[],[],https://twitter.com/nypost/status/1385694175367254019,False,,1,https://pbs.twimg.com/media/Ezr5gk8WYAIV2-Q.jpg,,,,,,,[],,,,
1385694174037557249,1385694174037557249,2021-04-24 02:06:50 IST,2021-04-24,02:06:50,+0530,17469289,nypost,New York Post,,Blinken authorizes US diplomatic missions to fly LGBTQ Pride flag  https://t.co/K2iiTpAZq3  https://t.co/BufPhlkQdg,en,[],['https://trib.al/uN3SIU6'],['https://pbs.twimg.com/media/Ezr5ggkXEAM5aXE.jpg'],6,4,4,[],[],https://twitter.com/nypost/status/1385694174037557249,False,,1,https://pbs.twimg.com/media/Ezr5ggkXEAM5aXE.jpg,,,,,,,[],,,,
1385690758502563842,1385690758502563842,2021-04-24 01:53:16 IST,2021-04-24,01:53:16,+0530,17469289,nypost,New York Post,,Lindsay Lohan's dad Michael busted for allegedly steering addicts into rehab for cash  https://t.co/rdB6t03zub  https://t.co/Iu1HuC5vlj,en,[],['https://trib.al/JqGiw3r'],['https://pbs.twimg.com/media/Ezr2Zs-WQAMNMqb.jpg'],29,21,65,[],[],https://twitter.com/nypost/status/1385690758502563842,False,,1,https://pbs.twimg.com/media/Ezr2Zs-WQAMNMqb.jpg,,,,,,,[],,,,
1385689083045990405,1385689083045990405,2021-04-24 01:46:36 IST,2021-04-24,01:46:36,+0530,17469289,nypost,New York Post,,'Friday' singer Rebecca Black relives surviving internet infamy 10 years later  https://t.co/fZ1NbgUE56  https://t.co/q4wVxeRjdB,en,[],['https://trib.al/NoK27Ev'],['https://pbs.twimg.com/media/Ezr04JaXIAInqfU.jpg'],10,2,28,[],[],https://twitter.com/nypost/status/1385689083045990405,False,,1,https://pbs.twimg.com/media/Ezr04JaXIAInqfU.jpg,,,,,,,[],,,,
1385688518467407874,1385688518467407874,2021-04-24 01:44:22 IST,2021-04-24,01:44:22,+0530,17469289,nypost,New York Post,,"Americans are eating lots of unhealthy food – except at school, study finds  https://t.co/QdDsIrNycR  https://t.co/PgWd42Gahc",en,[],['https://trib.al/fhePzvg'],['https://pbs.twimg.com/media/Ezr0XS0XsAAmGge.jpg'],12,9,23,[],[],https://twitter.com/nypost/status/1385688518467407874,False,,1,https://pbs.twimg.com/media/Ezr0XS0XsAAmGge.jpg,,,,,,,[],,,,
1385687363913924608,1385687363913924608,2021-04-24 01:39:47 IST,2021-04-24,01:39:47,+0530,17469289,nypost,New York Post,,Central Park monument gets cleaned up after night of vandalism  https://t.co/CgTAeoWSNn  https://t.co/YvWbayAj3F,en,[],['https://trib.al/xH57q8R'],['https://pbs.twimg.com/media/EzrzUGOXoA4iKxs.jpg'],17,20,47,[],[],https://twitter.com/nypost/status/1385687363913924608,False,,1,https://pbs.twimg.com/media/EzrzUGOXoA4iKxs.jpg,,,,,,,[],,,,
1385686453443776512,1385686453443776512,2021-04-24 01:36:09 IST,2021-04-24,01:36:09,+0530,17469289,nypost,New York Post,,Insiders say Joy Behar misgendering Caitlyn Jenner wasn't 'malicious'  https://t.co/Fy3yGRyaV1  https://t.co/pmgomZFrLW,en,[],['https://trib.al/qwSmVj2'],['https://pbs.twimg.com/media/EzryfG7X0AIwQvm.jpg'],113,11,55,[],[],https://twitter.com/nypost/status/1385686453443776512,False,,1,https://pbs.twimg.com/media/EzryfG7X0AIwQvm.jpg,,,,,,,[],,,,
1385685695948279810,1385685695948279810,2021-04-24 01:33:09 IST,2021-04-24,01:33:09,+0530,17469289,nypost,New York Post,,Virginia State Police probing sheriff deputy's shooting of Isaiah Brown during a dispute call  https://t.co/tpSyzUyXLu  https://t.co/sd0smLFCLv,en,[],['https://trib.al/7TFZCWp'],['https://pbs.twimg.com/media/EzrxzBOWUAED5zk.jpg'],2,5,9,[],[],https://twitter.com/nypost/status/1385685695948279810,False,,1,https://pbs.twimg.com/media/EzrxzBOWUAED5zk.jpg,,,,,,,[],,,,
1385685688885006337,1385685688885006337,2021-04-24 01:33:07 IST,2021-04-24,01:33:07,+0530,17469289,nypost,New York Post,,New York Times refuses to recognize union for tech workers  https://t.co/oiYujBoqPJ  https://t.co/reoS4QW0JM,en,[],['https://trib.al/P8YfP5Y'],['https://pbs.twimg.com/media/EzrxykyXoAM5fHl.jpg'],6,18,21,[],[],https://twitter.com/nypost/status/1385685688885006337,False,,1,https://pbs.twimg.com/media/EzrxykyXoAM5fHl.jpg,,,,,,,[],,,,
1385685687421345796,1385685687421345796,2021-04-24 01:33:07 IST,2021-04-24,01:33:07,+0530,17469289,nypost,New York Post,,Rangers vs. White Sox prediction: Dane Dunning will beat former team  https://t.co/YoyDsYaGF2  https://t.co/9lWN5zTRvI,en,[],['https://trib.al/RQ9nkQ5'],['https://pbs.twimg.com/media/EzrxygoWUAMvtIW.jpg'],0,2,7,[],[],https://twitter.com/nypost/status/1385685687421345796,False,,1,https://pbs.twimg.com/media/EzrxygoWUAMvtIW.jpg,,,,,,,[],,,,
1385684548172881920,1385684548172881920,2021-04-24 01:28:35 IST,2021-04-24,01:28:35,+0530,17469289,nypost,New York Post,,"Gov. Cuomo refuses to address sexual harassment claims, calls to resign  https://t.co/hooxbsZvE5  https://t.co/GGwdnahLz6",en,[],['https://trib.al/I3I6SRy'],['https://pbs.twimg.com/media/EzrwwMvWEAEjR5A.jpg'],37,45,98,[],[],https://twitter.com/nypost/status/1385684548172881920,False,,1,https://pbs.twimg.com/media/EzrwwMvWEAEjR5A.jpg,,,,,,,[],,,,
1385684547833110528,1385684547833110528,2021-04-24 01:28:35 IST,2021-04-24,01:28:35,+0530,17469289,nypost,New York Post,,DHS may soon release more migrants into US: report  https://t.co/5xNQW9Q0w3  https://t.co/wCjpahbzkf,en,[],['https://trib.al/UdyXlov'],['https://pbs.twimg.com/media/EzrwwLqXIAYmQZj.jpg'],5,11,13,[],[],https://twitter.com/nypost/status/1385684547833110528,False,,1,https://pbs.twimg.com/media/EzrwwLqXIAYmQZj.jpg,,,,,,,[],,,,
1385683410639785984,1385683410639785984,2021-04-24 01:24:04 IST,2021-04-24,01:24:04,+0530,17469289,nypost,New York Post,,Chiefs trade with Ravens for Orlando Brown in major NFL Draft shakeup  https://t.co/LOJ9EO4RvF  https://t.co/Pvmq8t31aG,en,[],['https://trib.al/lNm0Q6x'],['https://pbs.twimg.com/media/Ezrvt_FXEAEwK8j.jpg'],2,1,7,[],[],https://twitter.com/nypost/status/1385683410639785984,False,,1,https://pbs.twimg.com/media/Ezrvt_FXEAEwK8j.jpg,,,,,,,[],,,,
1385681717327970305,1385681717327970305,2021-04-24 01:17:20 IST,2021-04-24,01:17:20,+0530,17469289,nypost,New York Post,,Biden calls Turkey's Erdogan ahead of possible Armenian genocide recognition  https://t.co/nLE1ocm2bI  https://t.co/p93bdV37ZK,en,[],['https://trib.al/oMbHGvw'],['https://pbs.twimg.com/media/EzruLa_WUAE9lTq.jpg'],16,10,34,[],[],https://twitter.com/nypost/status/1385681717327970305,False,,1,https://pbs.twimg.com/media/EzruLa_WUAE9lTq.jpg,,,,,,,[],,,,
1385680017280147460,1385680017280147460,2021-04-24 01:10:35 IST,2021-04-24,01:10:35,+0530,17469289,nypost,New York Post,,"Amish teen Linda Stoltzfoos was strangled, suffocated and stabbed  https://t.co/eofv38AeYZ  https://t.co/1gw00ec4TD",en,[],['https://trib.al/75ZYw3P'],['https://pbs.twimg.com/media/EzrsobIXMAIBRYg.jpg'],73,144,189,[],[],https://twitter.com/nypost/status/1385680017280147460,False,,1,https://pbs.twimg.com/media/EzrsobIXMAIBRYg.jpg,,,,,,,[],,,,
1385678894783733764,1385678894783733764,2021-04-24 01:06:07 IST,2021-04-24,01:06:07,+0530,17469289,nypost,New York Post,,Gary Sanchez's playing time at risk with Kyle Higashioka's powerful start  https://t.co/SgOum0nnDJ  https://t.co/ygzZejJj1R,en,[],['https://trib.al/FZf7v2D'],['https://pbs.twimg.com/media/EzrrnHWXMAM1f8H.jpg'],5,3,13,[],[],https://twitter.com/nypost/status/1385678894783733764,False,,1,https://pbs.twimg.com/media/EzrrnHWXMAM1f8H.jpg,,,,,,,[],,,,
1385678322185785345,1385678322185785345,2021-04-24 01:03:51 IST,2021-04-24,01:03:51,+0530,17469289,nypost,New York Post,,Norwegian climber first to test positive for COVID on Mount Everest  https://t.co/OZmQpElhAJ  https://t.co/Q3GFmrs3VA,en,[],['https://trib.al/WJab0ii'],['https://pbs.twimg.com/media/EzrrFwtWEAQjW8n.jpg'],28,7,42,[],[],https://twitter.com/nypost/status/1385678322185785345,False,,1,https://pbs.twimg.com/media/EzrrFwtWEAQjW8n.jpg,,,,,,,[],,,,
1385677757473075202,1385677757473075202,2021-04-24 01:01:36 IST,2021-04-24,01:01:36,+0530,17469289,nypost,New York Post,,Remains of black teen killed in Philadelphia police bombing used in online class  https://t.co/AbZdDP6iS5  https://t.co/XwsJmpBAkX,en,[],['https://trib.al/YGntApO'],['https://pbs.twimg.com/media/Ezrqk6yXMAYGwwe.jpg'],12,15,9,[],[],https://twitter.com/nypost/status/1385677757473075202,False,,1,https://pbs.twimg.com/media/Ezrqk6yXMAYGwwe.jpg,,,,,,,[],,,,
1385677181918105601,1385677181918105601,2021-04-24 00:59:19 IST,2021-04-24,00:59:19,+0530,17469289,nypost,New York Post,,Woman plunges 250 feet from overlook at Georgia state park  https://t.co/LnULSuz3kv  https://t.co/odz9xjYivi,en,[],['https://trib.al/5vBHLgg'],['https://pbs.twimg.com/media/EzrqDavXIAQjc8h.jpg'],13,11,34,[],[],https://twitter.com/nypost/status/1385677181918105601,False,,1,https://pbs.twimg.com/media/EzrqDavXIAQjc8h.jpg,,,,,,,[],,,,
