id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385696274800943104,1385690682510217216,2021-04-24 02:15:11 IST,2021-04-24,02:15:11,+0530,842022356562399232,rossreports,catherine ross,,"@jonznspace Well, thank you! ❤️",en,[],[],[],0,0,0,[],[],https://twitter.com/rossreports/status/1385696274800943104,False,,0,,,,,,,,"[{'screen_name': 'jonznspace', 'name': 'SPACE PIRATES', 'id': '9793932'}]",,,,
1385692141029056517,1385690682510217216,2021-04-24 01:58:45 IST,2021-04-24,01:58:45,+0530,842022356562399232,rossreports,catherine ross,,@arthurDoges @Benzinga 🤔,und,[],[],[],0,0,1,[],[],https://twitter.com/rossreports/status/1385692141029056517,False,,0,,,,,,,,"[{'screen_name': 'arthurDoges', 'name': 'DogèMusubi', 'id': '1355230348695670787'}, {'screen_name': 'Benzinga', 'name': 'Benzinga', 'id': '44060322'}]",,,,
1385690682510217216,1385690682510217216,2021-04-24 01:52:58 IST,2021-04-24,01:52:58,+0530,842022356562399232,rossreports,catherine ross,,I’m gonna tell my future kids this was Van Gogh  https://t.co/DU5iCtOaAi,en,[],[],['https://pbs.twimg.com/media/Ezr2UB9XEAMlk9O.jpg'],6,12,73,[],[],https://twitter.com/rossreports/status/1385690682510217216,False,,1,https://pbs.twimg.com/media/Ezr2UB9XEAMlk9O.jpg,,,,,,,[],,,,
1385659559012978689,1385659559012978689,2021-04-23 23:49:17 IST,2021-04-23,23:49:17,+0530,842022356562399232,rossreports,catherine ross,,"Sysorex, largest publicly traded Ethereum mining company in US, talks merger, government contracts, Web 3.0 –– my latest on @Benzinga    https://t.co/ETX31FVL8p",en,"[{'screen_name': 'benzinga', 'name': 'benzinga', 'id': '44060322'}]",['https://www.benzinga.com/fintech/21/04/20773958/sysorex-largest-publicly-traded-ethereum-mining-company-in-us-talks-merger-government-contracts-web'],[],0,5,11,[],[],https://twitter.com/rossreports/status/1385659559012978689,False,,0,,,,,,,,[],,,,
1385631018955288577,1385536337084833794,2021-04-23 21:55:53 IST,2021-04-23,21:55:53,+0530,842022356562399232,rossreports,catherine ross,,@jimbomber2 😅,und,[],[],[],0,0,1,[],[],https://twitter.com/rossreports/status/1385631018955288577,False,,0,,,,,,,,"[{'screen_name': 'jimbomber2', 'name': 'jimbomber', 'id': '1313559587463794691'}]",,,,
1385536337084833794,1385536337084833794,2021-04-23 15:39:39 IST,2021-04-23,15:39:39,+0530,842022356562399232,rossreports,catherine ross,,working at a crypto media be like  https://t.co/nSv3YU9Kb3,en,[],[],['https://pbs.twimg.com/media/Ezpp9FgXEAAyv2O.jpg'],1,0,10,[],[],https://twitter.com/rossreports/status/1385536337084833794,False,,1,https://pbs.twimg.com/media/Ezpp9FgXEAAyv2O.jpg,,,,,,,[],,,,
1384869893347086336,1384869893347086336,2021-04-21 19:31:26 IST,2021-04-21,19:31:26,+0530,842022356562399232,rossreports,catherine ross,,"Trump's tweets are being sold as NFTs, profits will be donated to charities ""he hates."" I love it  https://t.co/1YFz5nzWIT",en,[],[],['https://pbs.twimg.com/media/EzgLqDUX0AAb8RX.jpg'],1,0,10,[],[],https://twitter.com/rossreports/status/1384869893347086336,False,,1,https://pbs.twimg.com/media/EzgLqDUX0AAb8RX.jpg,,,,,,,[],,,,
1384821905853669376,1384821904457011202,2021-04-21 16:20:45 IST,2021-04-21,16:20:45,+0530,842022356562399232,rossreports,catherine ross,,4. Don’t write a prologue.  5. Use quotation marks with dialogue.  6. Don’t keep a thesaurus within reaching distance.  7. Read each sentence at least three times in search of words to cut.  8. Don’t introduce 20 characters in the first chapter (if you’re writing a book).,en,[],[],[],0,0,5,[],[],https://twitter.com/rossreports/status/1384821905853669376,False,,0,,,,,,,,[],,,,
1384821904457011202,1384821904457011202,2021-04-21 16:20:45 IST,2021-04-21,16:20:45,+0530,842022356562399232,rossreports,catherine ross,,"I know that John Grisham’s books are usually called ‘beach reading’ type of literature, but his writing tips actually make sense.  1. Write a page every day.  2. Don’t write the first sentence until you know the last.  3. Write your one page each day at the same time and place.",en,[],[],[],1,1,10,[],[],https://twitter.com/rossreports/status/1384821904457011202,False,,0,,,,,,,,[],,,,
1384523997279309825,1384523997279309825,2021-04-20 20:36:58 IST,2021-04-20,20:36:58,+0530,842022356562399232,rossreports,catherine ross,,It’s an exciting day for Benzinga   https://t.co/PrF7NrW5eW,en,[],['https://www.benzinga.com/node/20679640'],[],1,0,11,[],[],https://twitter.com/rossreports/status/1384523997279309825,False,,0,,,,,,,,[],,,,
1384509597118050305,1384481074512900096,2021-04-20 19:39:45 IST,2021-04-20,19:39:45,+0530,842022356562399232,rossreports,catherine ross,,@Bitguy07 @Benzinga @TripleDTrader @SJisrael @JasonRaznick @LukeJacobi @nealstweets @rfaloona @ElliotLane10 @STORYInvestors @chriskatje if you say so!,en,[],[],[],2,0,4,[],[],https://twitter.com/rossreports/status/1384509597118050305,False,,0,,,,,,,,"[{'screen_name': 'Bitguy07', 'name': 'Dai Ly', 'id': '911758046199730177'}, {'screen_name': 'Benzinga', 'name': 'Benzinga', 'id': '44060322'}, {'screen_name': 'TripleDTrader', 'name': 'Dennis Dick', 'id': '80697114'}, {'screen_name': 'SJisrael', 'name': 'Spencer Israel', 'id': '24998789'}, {'screen_name': 'JasonRaznick', 'name': 'JasonRaznick', 'id': '13471032'}, {'screen_name': 'LukeJacobi', 'name': 'Hot Stocks Luke', 'id': '1577535906'}, {'screen_name': 'nealstweets', 'name': 'Neal Hamilton', 'id': '706173343'}, {'screen_name': 'rfaloona', 'name': 'Ryan Faloona', 'id': '18495601'}, {'screen_name': 'ElliotLane10', 'name': 'Elliot Lane', 'id': '969024375365230592'}, {'screen_name': 'STORYInvestors', 'name': 'Money Mitch', 'id': '814870750620487680'}, {'screen_name': 'chriskatje', 'name': 'Chris Katje', 'id': '1009613448'}]",,,,
1384464209430425600,1384464209430425600,2021-04-20 16:39:24 IST,2021-04-20,16:39:24,+0530,842022356562399232,rossreports,catherine ross,,Happy #Dogeday 🐶,en,[],[],[],0,1,15,['dogeday'],[],https://twitter.com/rossreports/status/1384464209430425600,False,,0,,,,,,,,[],,,,
1384436248824197125,1384301321759596549,2021-04-20 14:48:17 IST,2021-04-20,14:48:17,+0530,842022356562399232,rossreports,catherine ross,,"@jpgrygus Yeah, cause it’s obviously a real name 😉",en,[],[],[],1,0,1,[],[],https://twitter.com/rossreports/status/1384436248824197125,False,,0,,,,,,,,"[{'screen_name': 'jpgrygus', 'name': 'Wall Street Hamster', 'id': '1243857322067161089'}]",,,,
1384316217830293511,1384123793711386628,2021-04-20 06:51:20 IST,2021-04-20,06:51:20,+0530,842022356562399232,rossreports,catherine ross,,@BTCAaron We all do..,en,[],[],[],0,0,0,[],[],https://twitter.com/rossreports/status/1384316217830293511,False,,0,,,,,,,,"[{'screen_name': 'BTCAaron', 'name': 'Double A', 'id': '36533187'}]",,,,
1384313289895825409,1384301321759596549,2021-04-20 06:39:42 IST,2021-04-20,06:39:42,+0530,842022356562399232,rossreports,catherine ross,,@Teslaenergyweb 👀,und,[],[],[],0,0,0,[],[],https://twitter.com/rossreports/status/1384313289895825409,False,,0,,,,,,,,"[{'screen_name': 'Teslaenergyweb', 'name': '𝕋𝕖𝕤𝕝𝕒 𝔼𝕟𝕖𝕣𝕘𝕪 𝕎𝕖𝕓', 'id': '1307237453883793410'}]",,,,
1384304261417226243,1384274713208184832,2021-04-20 06:03:49 IST,2021-04-20,06:03:49,+0530,842022356562399232,rossreports,catherine ross,,@mdudas Poorly,en,[],[],[],0,0,1,[],[],https://twitter.com/rossreports/status/1384304261417226243,False,,0,,,,,,,,"[{'screen_name': 'mdudas', 'name': 'Mike Dudas', 'id': '7184612'}]",,,,
1384301780926832644,1384301321759596549,2021-04-20 05:53:58 IST,2021-04-20,05:53:58,+0530,842022356562399232,rossreports,catherine ross,,"That being said, I think revealing the identity of SN would be damaging to the industry. It would shift the focus from the value of the creation to the personality.",en,[],[],[],2,0,11,[],[],https://twitter.com/rossreports/status/1384301780926832644,False,,0,,,,,,,,[],,,,
1384301321759596549,1384301321759596549,2021-04-20 05:52:08 IST,2021-04-20,05:52:08,+0530,842022356562399232,rossreports,catherine ross,,Satoshi Nakomoto is Russian.,in,[],[],[],6,1,12,[],[],https://twitter.com/rossreports/status/1384301321759596549,False,,0,,,,,,,,[],,,,
1384291142049533952,1384177814555922440,2021-04-20 05:11:41 IST,2021-04-20,05:11:41,+0530,842022356562399232,rossreports,catherine ross,,@BearBrown4 Thank you for this. ❤️,en,[],[],[],0,0,1,[],[],https://twitter.com/rossreports/status/1384291142049533952,False,,0,,,,,,,,"[{'screen_name': 'BearBrown4', 'name': 'Berdarien', 'id': '586708437'}]",,,,
1384253858747097097,1384253298287407108,2021-04-20 02:43:32 IST,2021-04-20,02:43:32,+0530,842022356562399232,rossreports,catherine ross,,@fintechfrank 👀,und,[],[],[],0,0,2,[],[],https://twitter.com/rossreports/status/1384253858747097097,False,,0,,,,,,,,"[{'screen_name': 'fintechfrank', 'name': 'Frank Chaparro', 'id': '2933805082'}]",,,,
1384253139432341506,1384113341887508485,2021-04-20 02:40:41 IST,2021-04-20,02:40:41,+0530,842022356562399232,rossreports,catherine ross,,@karimhelpme @coinmetrics @khannib @LucasNuzzi @GalaxyDigitalHQ @intangiblecoins Congrats! 🎈,en,[],[],[],0,0,2,[],[],https://twitter.com/rossreports/status/1384253139432341506,False,,0,,,,,,,,"[{'screen_name': 'karimhelpme', 'name': 'karim helmy 🦌🏝', 'id': '880633667168731138'}, {'screen_name': 'coinmetrics', 'name': 'CoinMetrics.io', 'id': '867328053416001536'}, {'screen_name': 'khannib', 'name': 'Antoine Le Calvez', 'id': '294808909'}, {'screen_name': 'LucasNuzzi', 'name': 'Lucas Nuzzi', 'id': '100416493'}, {'screen_name': 'GalaxyDigitalHQ', 'name': 'Galaxy Digital', 'id': '1164262615339675648'}, {'screen_name': 'intangiblecoins', 'name': 'Alex Thorn 🎲', 'id': '895400381852811266'}]",,,,
1384197102117347328,1384177814555922440,2021-04-19 22:58:00 IST,2021-04-19,22:58:00,+0530,842022356562399232,rossreports,catherine ross,,@drewtuck Thank you 🌷,en,[],[],[],0,0,1,[],[],https://twitter.com/rossreports/status/1384197102117347328,False,,0,,,,,,,,"[{'screen_name': 'drewtuck', 'name': 'Drew T', 'id': '124490452'}]",,,,
