id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385682325879640066,1385681393448071168,2021-04-24 01:19:45 IST,2021-04-24,01:19:45,+0530,1235654964720041990,thedesertwolfe,Neo,,@MelodicRM Happens almost every friday on options expiry... use the vwap as the guide. Easy money,en,[],[],[],0,0,1,[],[],https://twitter.com/thedesertwolfe/status/1385682325879640066,False,,0,,,,,,,,"[{'screen_name': 'MelodicRM', 'name': 'Ryan', 'id': '795387510113189888'}]",,,,
1385681393448071168,1385681393448071168,2021-04-24 01:16:03 IST,2021-04-24,01:16:03,+0530,1235654964720041990,thedesertwolfe,Neo,,Dump on cue... maybe 416.20...,en,[],[],[],3,0,12,[],[],https://twitter.com/thedesertwolfe/status/1385681393448071168,False,https://twitter.com/thedesertwolfe/status/1385676324908453888,0,,,,,,,,[],,,,
1385676324908453888,1385676324908453888,2021-04-24 00:55:55 IST,2021-04-24,00:55:55,+0530,1235654964720041990,thedesertwolfe,Neo,,$SPY i think it dumps to 415.90 within the next 20 mins. Right to the vwap.,en,[],[],[],2,0,22,[],['spy'],https://twitter.com/thedesertwolfe/status/1385676324908453888,False,,0,,,,,,,,[],,,,
1385646892969861120,1385646892969861120,2021-04-23 22:58:58 IST,2021-04-23,22:58:58,+0530,1235654964720041990,thedesertwolfe,Neo,,"Got meetings till around 3, hold it down fam. Lets finish strong💪",en,[],[],[],1,0,20,[],[],https://twitter.com/thedesertwolfe/status/1385646892969861120,False,,0,,,,,,,,[],,,,
1385646335349698560,1385646335349698560,2021-04-23 22:56:45 IST,2021-04-23,22:56:45,+0530,1235654964720041990,thedesertwolfe,Neo,,$PENN she wants to go. Just do it. Do it now.  https://t.co/3PCDnISJ3I,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EzrN_ZpX0AQJR7t.jpg'],1,0,8,[],['penn'],https://twitter.com/thedesertwolfe/status/1385646335349698560,False,,1,https://pbs.twimg.com/tweet_video_thumb/EzrN_ZpX0AQJR7t.jpg,,,,,,,[],,,,
1385645519217823746,1385645519217823746,2021-04-23 22:53:30 IST,2021-04-23,22:53:30,+0530,1235654964720041990,thedesertwolfe,Neo,,#HODL 👌 God Bless those diamond hands lmao i couldnt hold a 5% loss. 43% takes some balls. Or half a brain.,en,[],[],[],9,1,32,['hodl'],[],https://twitter.com/thedesertwolfe/status/1385645519217823746,False,https://twitter.com/billspacman/status/1385528155117608960,0,,,,,,,,[],,,,
1385643094620651520,1385640811291885571,2021-04-23 22:43:52 IST,2021-04-23,22:43:52,+0530,1235654964720041990,thedesertwolfe,Neo,,@cvndtt Thanks! Reposted,en,[],[],[],1,0,0,[],[],https://twitter.com/thedesertwolfe/status/1385643094620651520,False,,0,,,,,,,,"[{'screen_name': 'cvndtt', 'name': 'Cavin Vest 💼🚶🏻\u200d♂️', 'id': '1366872717778186246'}]",,,,
1385643054216925187,1385643054216925187,2021-04-23 22:43:42 IST,2021-04-23,22:43:42,+0530,1235654964720041990,thedesertwolfe,Neo,,$PENN $DKNG Florida Sports Betting Approved...needs to pass Vote for legalization.  https://t.co/ekWuA54J6k,en,[],['https://www.actionnetwork.com/legal-online-sports-betting/florida-online-retail-sports-betting-approved-groundbreaking-gaming-deal'],[],0,5,19,[],"['penn', 'dkng']",https://twitter.com/thedesertwolfe/status/1385643054216925187,False,,0,,,,,,,,[],,,,
1385641449232994309,1385626896025718784,2021-04-23 22:37:20 IST,2021-04-23,22:37:20,+0530,1235654964720041990,thedesertwolfe,Neo,,"@MetaMarket6400 Volume across the market on tech, not specifically the QQQ which is why i think it’s being manipluated",en,[],[],[],0,0,1,[],[],https://twitter.com/thedesertwolfe/status/1385641449232994309,False,,0,,,,,,,,"[{'screen_name': 'MetaMarket6400', 'name': 'META 📈 #TRT', 'id': '1282771455881740290'}]",,,,
1385640811291885571,1385640811291885571,2021-04-23 22:34:48 IST,2021-04-23,22:34:48,+0530,1235654964720041990,thedesertwolfe,Neo,,$PENN added some at 89.50 for maybe some news on Florida legalizing sports betting and bartsool and $dkng to run their books. Pure spec  https://t.co/kx64gUIS5e  https://t.co/SoI3GZIkM1,en,[],['https://www.tampabay.com/news/florida-politics/2021/04/22/sports-betting-may-be-heading-to-florida-in-deal-agreed-to-by-desantis-seminole-tribe/'],['https://pbs.twimg.com/media/EzrI-QxXIAI-BGk.jpg'],3,0,7,[],"['penn', 'dkng']",https://twitter.com/thedesertwolfe/status/1385640811291885571,False,,1,https://pbs.twimg.com/media/EzrI-QxXIAI-BGk.jpg,,,,,,,[],,,,
1385630953951965186,1385627494678634499,2021-04-23 21:55:37 IST,2021-04-23,21:55:37,+0530,1235654964720041990,thedesertwolfe,Neo,,@ohheytommy My market indicator is no longer the $spy... its wether tommy had a cold shower or not.,en,[],[],[],0,0,17,[],['spy'],https://twitter.com/thedesertwolfe/status/1385630953951965186,False,,0,,,,,,,,"[{'screen_name': 'ohheytommy', 'name': 'Tommy Coops', 'id': '22453225'}]",,,,
1385626896025718784,1385626896025718784,2021-04-23 21:39:30 IST,2021-04-23,21:39:30,+0530,1235654964720041990,thedesertwolfe,Neo,,$SQQQ adding some for a late day market dip. Volume is very low and its friday. ... or QQQ could get manipulated and rip eod. We’ll see. Probably holding this over the weekend.,en,[],[],[],3,0,9,[],['sqqq'],https://twitter.com/thedesertwolfe/status/1385626896025718784,False,,0,,,,,,,,[],,,,
