id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385264517211463681,1385264517211463681,2021-04-22 21:39:32 IST,2021-04-22,21:39:32,+0530,1157701777317224448,tradernickfx,TraderNick,,"My biggest career goal is to do something that keeps me excited every day. Making money is cool, but making money doing what you love is the dream.",en,[],[],[],1,1,17,[],[],https://twitter.com/tradernickfx/status/1385264517211463681,False,,0,,,,,,,,[],,,,
1384900194802745354,1384900194802745354,2021-04-21 21:31:51 IST,2021-04-21,21:31:51,+0530,1157701777317224448,tradernickfx,TraderNick,,Do you trade the Pound/Dollar? Here are some tips and tricks!🤓  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/9MqeHlY8YP,en,[],[],[],1,2,2,[],[],https://twitter.com/tradernickfx/status/1384900194802745354,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384899083819683840/pu/img/-Y6H9wWrp0I0HemM.jpg,,,,,,,[],,,,
1384175275949256711,1384175275949256711,2021-04-19 21:31:17 IST,2021-04-19,21:31:17,+0530,1157701777317224448,tradernickfx,TraderNick,,How was your march performance? And have caught the big mover on NZD/JPY?  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/kPYXN5flzM,en,[],[],[],0,1,1,[],[],https://twitter.com/tradernickfx/status/1384175275949256711,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384174567707402247/pu/img/RDNFIVELlEhTCPce.jpg,,,,,,,[],,,,
1382363311115735040,1382363311115735040,2021-04-14 21:31:11 IST,2021-04-14,21:31:11,+0530,1157701777317224448,tradernickfx,TraderNick,,"Do you trade USD/CAD? If yes, then here are some tips!🤓  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/wDdMQJFoHv",en,[],[],[],0,2,6,[],[],https://twitter.com/tradernickfx/status/1382363311115735040,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1382362037192421380/pu/img/wxAPGkUijy_U4V8w.jpg,,,,,,,[],,,,
1379879393842102275,1379879393842102275,2021-04-08 01:00:59 IST,2021-04-08,01:00:59,+0530,1157701777317224448,tradernickfx,TraderNick,,Just posted a photo  https://t.co/lhtwtFVbMC,en,[],['https://www.instagram.com/p/CNYGW0VgG87/?igshid=1t5zs7s3wey0c'],[],0,0,1,[],[],https://twitter.com/tradernickfx/status/1379879393842102275,False,,0,,,,,,,,[],,,,
1379826359162306572,1379826359162306572,2021-04-07 21:30:14 IST,2021-04-07,21:30:14,+0530,1157701777317224448,tradernickfx,TraderNick,,Here are some tips on how to trade GBP/JPY!   Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/7p11l9A1XN,en,[],[],[],0,2,9,[],[],https://twitter.com/tradernickfx/status/1379826359162306572,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1379825059875946497/pu/img/4JgX0cPGuCYRMaMS.jpg,,,,,,,[],,,,
1379101742982443018,1379101742982443018,2021-04-05 21:30:52 IST,2021-04-05,21:30:52,+0530,1157701777317224448,tradernickfx,TraderNick,,Who else caught this ginormous move??🤭  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/XmqnQdrhkM,en,[],[],[],0,1,4,[],[],https://twitter.com/tradernickfx/status/1379101742982443018,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1379100395885191174/pu/img/51WAgID0W7pUhaM5.jpg,,,,,,,[],,,,
1377289723295760386,1377289723295760386,2021-03-31 21:30:33 IST,2021-03-31,21:30:33,+0530,1157701777317224448,tradernickfx,TraderNick,,Another live trade this time on EUR/USD that got hit with big news. Has the same happened to you? Or did you catch the move to the upside after news hit?  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/7xAGZbogNs,en,[],[],[],0,1,9,[],[],https://twitter.com/tradernickfx/status/1377289723295760386,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1377288448860643329/pu/img/zA8F8RLmzcsnHrny.jpg,,,,,,,[],,,,
1376576242472923139,1376576242472923139,2021-03-29 22:15:26 IST,2021-03-29,22:15:26,+0530,1157701777317224448,tradernickfx,TraderNick,,How's your risk to reward ratio? 👀  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/51PQ99USs1,en,[],[],[],0,2,9,[],[],https://twitter.com/tradernickfx/status/1376576242472923139,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1376574946118369282/pu/img/hbCgQfcDOkU-S7ww.jpg,,,,,,,[],,,,
1374753147621683210,1374753147621683210,2021-03-24 21:31:06 IST,2021-03-24,21:31:06,+0530,1157701777317224448,tradernickfx,TraderNick,,"Do you use Flag patterns in your strategy? If not, here is some insight🤓  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/TpHv2OVXQT",en,[],[],[],0,2,4,[],[],https://twitter.com/tradernickfx/status/1374753147621683210,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1374752760617373701/pu/img/mzB8FfEyzHU4pq6u.jpg,,,,,,,[],,,,
1374028177677422600,1374028177677422600,2021-03-22 21:30:20 IST,2021-03-22,21:30:20,+0530,1157701777317224448,tradernickfx,TraderNick,,Here are some tips on how to trade  with supply and demand! Do you use is in your strategy?  Interested in joining our trading community? Use the link in our bio with code ‘TTVIP’ to get $5 OFF.  https://t.co/OXWxtjvTnx,en,[],[],[],2,2,4,[],[],https://twitter.com/tradernickfx/status/1374028177677422600,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1374027221724229632/pu/img/W_SN9yxhO_2amgkS.jpg,,,,,,,[],,,,
1372216237187592201,1372216237187592201,2021-03-17 21:30:20 IST,2021-03-17,21:30:20,+0530,1157701777317224448,tradernickfx,TraderNick,,😂🤭  https://t.co/VfluLuBkx1,und,[],[],[],3,4,8,[],[],https://twitter.com/tradernickfx/status/1372216237187592201,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1372215581307441152/pu/img/SKZQzp8Vl_J_1gvS.jpg,,,,,,,[],,,,
